dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,flash_fused_conv_ms,flash_fused_conv_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0.02646096982061863,14238.0,0.0434208195656538,14238.0,0.08608819916844368,14238.0,0.009205890819430351,113904.0,0.2983931917697191,14238.0,0.0,0.0,0.9648557752370834,71190.0,0.0,0.0,0.38308301009237766,71190.0,0.0,0.0,80.5011612828821,71190.0,0.0,0.0,2.804605755954981,71190.0,0.18934719264507294,0.0,9.837121237069368,0.0,60.759244952350855,0.0,2.797571709379554,0.0,186.73042906448245,0.0,346.32291086018085,0.0,85.13227757066488,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,1,0.02753501757979393,14238.0,0.04295003600418568,14238.0,0.08575501851737499,14238.0,0.009352806955575943,113904.0,0.29425695538520813,14238.0,0.0,0.0,0.9698288049548864,71190.0,0.0,0.0,0.39027631282806396,71190.0,0.0,0.0,81.05491776950657,71190.0,0.0,0.0,2.8042178601026535,71190.0,0.08683581836521626,0.0,0.9938809089362621,0.0,61.39029935002327,0.0,2.80759553425014,0.0,186.98284099809825,0.0,338.8279920909554,0.0,85.60100523754954,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,2,0.02831290476024151,14238.0,0.04442315548658371,14238.0,0.0933459959924221,14238.0,0.010538147762417793,113904.0,0.32174703665077686,14238.0,0.0,0.0,0.9692290332168341,71190.0,0.0,0.0,0.388704938814044,71190.0,0.0,0.0,80.05802822299302,71190.0,0.0,0.0,2.8005882631987333,71190.0,0.08586584590375423,0.0,1.1012752074748278,0.0,61.307793483138084,0.0,2.799911191686988,0.0,186.86629505828023,0.0,337.7588118892163,0.0,84.59080965258181,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,3,0.026619061827659607,14238.0,0.04326202906668186,14238.0,0.08513079956173897,14238.0,0.009422190487384796,113904.0,0.29711611568927765,14238.0,0.0,0.0,0.9664662647992373,71190.0,0.0,0.0,0.39477553218603134,71190.0,0.0,0.0,81.14116522483528,71190.0,0.0,0.0,2.809845143929124,71190.0,0.08737482130527496,0.0,0.9717419743537903,0.0,61.5101084113121,0.0,2.8008008375763893,0.0,187.07207101397216,0.0,339.0913319308311,0.0,85.68975003436208,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,4,0.026606954634189606,14238.0,0.04150206223130226,14238.0,0.0860260333865881,14238.0,0.008983071893453598,113904.0,0.299741979688406,14238.0,0.0,0.0,0.9633221197873354,71190.0,0.0,0.0,0.3855160903185606,71190.0,0.0,0.0,80.71562298573554,71190.0,0.0,0.0,2.8475290164351463,71190.0,0.08700601756572723,0.0,0.9877870324999094,0.0,61.24361674301326,0.0,2.8128628619015217,0.0,186.6929337847978,0.0,338.0900069605559,0.0,85.29567578807473,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,0,0.020000850781798363,7119.0,0.04011392593383789,7119.0,0.08656410500407219,7119.0,0.009204959496855736,56952.0,0.2946259919553995,7119.0,0.08166022598743439,505449.0,0.6883118767291307,35595.0,0.7597657386213541,177975.0,0.3586853854358196,71190.0,0.09414111264050007,71190.0,23.585224989801645,71190.0,0.0,0.0,3.1889849342405796,71190.0,0.06748875603079796,0.0,0.987455016002059,0.0,61.42972083762288,0.0,2.8053191490471363,0.0,180.40745495818555,0.0,276.51299303397536,0.0,29.701760038733482,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,1,0.02566492184996605,7119.0,0.041842926293611526,7119.0,0.08593290112912655,7119.0,0.008624978363513947,56952.0,0.29944186098873615,7119.0,0.0799249392002821,505449.0,0.6879449356347322,35595.0,0.762344803661108,177975.0,0.36580231972038746,71190.0,0.0934686977416277,71190.0,23.809338454157114,71190.0,0.0,0.0,3.1795529648661613,71190.0,0.0674314796924591,0.0,0.9993782732635736,0.0,61.28161191008985,0.0,2.7939227875322104,0.0,180.341875879094,0.0,276.5178941190243,0.0,29.922857182100415,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,2,0.020826933905482292,7119.0,0.04109600558876991,7119.0,0.0851568765938282,7119.0,0.008729053661227226,56952.0,0.2896529622375965,7119.0,0.07968302816152573,505449.0,0.6839619018137455,35595.0,0.7478212937712669,177975.0,0.35910517908632755,71190.0,0.09347614832222462,71190.0,23.589433869346976,71190.0,0.0,0.0,3.186249639838934,71190.0,0.06599375046789646,0.0,0.9970657993108034,0.0,61.240707291290164,0.0,2.773558720946312,0.0,180.64237385988235,0.0,276.46697708405554,0.0,29.655511025339365,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,3,0.022316118702292442,7119.0,0.045746099203825,7119.0,0.09368290193378925,7119.0,0.009497860446572304,56952.0,0.3153430297970772,7119.0,0.08709984831511974,505449.0,0.690265791490674,35595.0,0.7571014575660229,177975.0,0.36320905201137066,71190.0,0.09326566942036152,71190.0,23.707672487944365,71190.0,0.0,0.0,3.200820181518793,71190.0,0.06694416515529156,0.0,1.0952833108603954,0.0,61.491160886362195,0.0,2.7811862528324127,0.0,180.4191959090531,0.0,276.8725899513811,0.0,29.84138485044241,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,4,0.02219201996922493,7119.0,0.04646088927984238,7119.0,0.09171501733362675,7119.0,0.009917886927723885,56952.0,0.32601109705865383,7119.0,0.0917299184948206,505449.0,0.6835886742919683,35595.0,0.7557077333331108,177975.0,0.35809469409286976,71190.0,0.09321654215455055,71190.0,23.647647816687822,71190.0,0.0,0.0,3.198558697476983,71190.0,0.06613973528146744,0.0,1.0810061357915401,0.0,61.141790356487036,0.0,2.7998799923807383,0.0,180.7233509607613,0.0,276.736174011603,0.0,29.749634908512235,0.0
