dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,resolved_policy,energy,num_edges_runtime,edge_embedding.edge_length_norm_ms,edge_embedding.radial_basis_ms,edge_embedding.cutoff_ms,edge_embedding.radial_combine_ms,edge_embedding.spherical_harmonics_ms,top_input_embedding_ms,top_interaction_other_ms,0_convolution.weight_nn_ms,0_convolution.edge_src_gather_ms,0_convolution.message_tp_ms,0_convolution.aggregation_ms,0_convolution.denominator_ms,0_convolution.total_ms,1_convolution.weight_nn_ms,1_convolution.edge_src_gather_ms,1_convolution.message_tp_ms,1_convolution.aggregation_ms,1_convolution.denominator_ms,1_convolution.total_ms,2_convolution.weight_nn_ms,2_convolution.edge_src_gather_ms,2_convolution.message_tp_ms,2_convolution.aggregation_ms,2_convolution.denominator_ms,2_convolution.total_ms,3_convolution.weight_nn_ms,3_convolution.edge_src_gather_ms,3_convolution.message_tp_ms,3_convolution.aggregation_ms,3_convolution.denominator_ms,3_convolution.total_ms,4_convolution.weight_nn_ms,4_convolution.edge_src_gather_ms,4_convolution.message_tp_ms,4_convolution.aggregation_ms,4_convolution.denominator_ms,4_convolution.total_ms,top_readout_ms,top_force_output_ms,model_total_ms,0_convolution.fused_convolution_ms,1_convolution.fused_convolution_ms,2_convolution.fused_convolution_ms,3_convolution.fused_convolution_ms,4_convolution.fused_convolution_ms,edge_embedding.pair_vec_select_ms,edge_embedding.edge_length_expand_ms,edge_embedding.edge_embedding_expand_ms,edge_embedding.edge_attr_expand_ms,edge_embedding.reverse_sign_ms,edge_embedding.edge_attr_sign_apply_ms,0_convolution.forward_src_index_ms,0_convolution.forward_dst_index_ms,0_convolution.forward_src_gather_ms,0_convolution.forward_filter_gather_ms,0_convolution.forward_message_tp_ms,0_convolution.forward_aggregation_ms,0_convolution.reverse_src_index_ms,0_convolution.reverse_dst_index_ms,0_convolution.reverse_src_gather_ms,0_convolution.reverse_filter_gather_ms,0_convolution.reverse_weight_select_ms,0_convolution.reverse_message_tp_ms,0_convolution.reverse_aggregation_ms,1_convolution.forward_src_index_ms,1_convolution.forward_dst_index_ms,1_convolution.forward_src_gather_ms,1_convolution.forward_filter_gather_ms,1_convolution.forward_message_tp_ms,1_convolution.forward_aggregation_ms,1_convolution.reverse_src_index_ms,1_convolution.reverse_dst_index_ms,1_convolution.reverse_src_gather_ms,1_convolution.reverse_filter_gather_ms,1_convolution.reverse_weight_select_ms,1_convolution.reverse_message_tp_ms,1_convolution.reverse_aggregation_ms,2_convolution.forward_src_index_ms,2_convolution.forward_dst_index_ms,2_convolution.forward_src_gather_ms,2_convolution.forward_filter_gather_ms,2_convolution.forward_message_tp_ms,2_convolution.forward_aggregation_ms,2_convolution.reverse_src_index_ms,2_convolution.reverse_dst_index_ms,2_convolution.reverse_src_gather_ms,2_convolution.reverse_filter_gather_ms,2_convolution.reverse_weight_select_ms,2_convolution.reverse_message_tp_ms,2_convolution.reverse_aggregation_ms,3_convolution.forward_src_index_ms,3_convolution.forward_dst_index_ms,3_convolution.forward_src_gather_ms,3_convolution.forward_filter_gather_ms,3_convolution.forward_message_tp_ms,3_convolution.forward_aggregation_ms,3_convolution.reverse_src_index_ms,3_convolution.reverse_dst_index_ms,3_convolution.reverse_src_gather_ms,3_convolution.reverse_filter_gather_ms,3_convolution.reverse_weight_select_ms,3_convolution.reverse_message_tp_ms,3_convolution.reverse_aggregation_ms,4_convolution.forward_src_index_ms,4_convolution.forward_dst_index_ms,4_convolution.forward_src_gather_ms,4_convolution.forward_filter_gather_ms,4_convolution.forward_message_tp_ms,4_convolution.forward_aggregation_ms,4_convolution.reverse_src_index_ms,4_convolution.reverse_dst_index_ms,4_convolution.reverse_src_gather_ms,4_convolution.reverse_filter_gather_ms,4_convolution.reverse_weight_select_ms,4_convolution.reverse_message_tp_ms,4_convolution.reverse_aggregation_ms,0_convolution.weight_expand_ms,1_convolution.weight_expand_ms,2_convolution.weight_expand_ms,3_convolution.weight_expand_ms,4_convolution.weight_expand_ms
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,0,baseline,-1551.4423828125,14238,0.02646096982061863,0.0434208195656538,0.08608819916844368,0.009205890819430351,0.2983931917697191,9.837121237069368,60.759244952350855,0.1182288397103548,0.02449098974466324,3.0513249803334475,0.19288389012217522,0.010881107300519943,3.455360885709524,0.18110289238393307,0.06708409637212753,15.664082020521164,0.5643370095640421,0.016444828361272812,16.550953034311533,0.2817530184984207,0.1082888338714838,28.607137966901064,0.9313940536230803,0.022194115445017815,30.00912396237254,0.28492300771176815,0.11744396761059761,30.130599159747362,1.0617978405207396,0.02554408274590969,31.678727827966213,0.0988480169326067,0.06577512249350548,3.048017155379057,0.05419296212494373,0.11428305879235268,3.438111860305071,2.797571709379554,186.73042906448245,346.32291086018085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,1,baseline,-1551.4423828125,14238,0.02753501757979393,0.04295003600418568,0.08575501851737499,0.009352806955575943,0.29425695538520813,0.9938809089362621,61.39029935002327,0.1128979492932558,0.024519162252545357,3.081902861595154,0.19293418154120445,0.011180993169546127,3.4832681994885206,0.1833799760788679,0.06713718175888062,15.557162929326296,0.5667868535965681,0.016559846699237823,16.451084055006504,0.2833330072462559,0.11170492507517338,28.54990982450545,0.9291018359363079,0.023373868316411972,29.956924030557275,0.28667785227298737,0.12203003279864788,30.824691988527775,1.0598378721624613,0.02522813156247139,32.376063987612724,0.10354002006351948,0.06488501094281673,3.041250165551901,0.055557116866111755,0.010492978617548943,3.3336649648845196,2.80759553425014,186.98284099809825,338.8279920909554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,2,baseline,-1551.4423828125,14238,0.02831290476024151,0.04442315548658371,0.0933459959924221,0.010538147762417793,0.32174703665077686,1.1012752074748278,61.307793483138084,0.1176600344479084,0.025965971872210503,3.0899380799382925,0.19302009604871273,0.011170050129294395,3.4975409507751465,0.1863089855760336,0.0682310201227665,15.603004023432732,0.5657300353050232,0.016429927200078964,16.49676403030753,0.2823511604219675,0.10926183313131332,28.497006045654416,0.9280650410801172,0.02250494435429573,29.896998777985573,0.2840859815478325,0.11890707537531853,29.831682099029422,1.0597130749374628,0.024824868887662888,31.376943923532963,0.09882287122309208,0.06633903831243515,3.036397974938154,0.054060015827417374,0.010936055332422256,3.3225619699805975,2.799911191686988,186.86629505828023,337.7588118892163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,3,baseline,-1551.4423828125,14238,0.026619061827659607,0.04326202906668186,0.08513079956173897,0.009422190487384796,0.29711611568927765,0.9717419743537903,61.5101084113121,0.11543300934135914,0.025694025680422783,3.087721997871995,0.1927709672600031,0.011024996638298035,3.490053117275238,0.17912290059030056,0.06949109956622124,15.695667127147317,0.5694671999663115,0.01692795194685459,16.588801983743906,0.2828810829669237,0.1102800015360117,28.595378156751394,0.931513961404562,0.023444881662726402,30.003339983522892,0.29042712412774563,0.12447522021830082,30.695240944623947,1.0604660492390394,0.024829991161823273,32.253128942102194,0.09860214777290821,0.0648351851850748,3.0671569984406233,0.055626966059207916,0.011146999895572662,3.354426007717848,2.8008008375763893,187.07207101397216,339.0913319308311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,4,baseline,-1551.4423828125,14238,0.026606954634189606,0.04150206223130226,0.0860260333865881,0.008983071893453598,0.299741979688406,0.9877870324999094,61.24361674301326,0.11346186511218548,0.025270041078329086,3.087353892624378,0.19261520355939865,0.011119991540908813,3.4879648592323065,0.18188008107244968,0.0672538299113512,15.713741071522236,0.608441885560751,0.016625039279460907,16.64835587143898,0.28095697052776814,0.10895403102040291,28.777657076716423,0.9313379414379597,0.02337503246963024,30.181577894836664,0.2836741041392088,0.11802813969552517,30.111372936517,1.0598709341138601,0.02490798942744732,31.654936028644443,0.1033490989357233,0.06601004861295223,3.0254980083554983,0.05526305176317692,0.010977964848279953,3.3228411339223385,2.8128628619015217,186.6929337847978,338.0900069605559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,5,0,baseline,-1551.4423828125,14238,0.02733408473432064,0.043940963223576546,0.08961302228271961,0.009641982614994049,0.3089460078626871,1.0686684399843216,60.49452745355666,0.11219014413654804,,,,0.012011965736746788,0.41304598562419415,0.17952406778931618,,,,0.015361001715064049,0.881596002727747,0.278376042842865,,,,0.019423896446824074,1.4260609168559313,0.2888140734285116,,,,0.02295197919011116,1.555456081405282,0.10401709005236626,,,,0.011299969628453255,0.39067305624485016,2.8192359022796154,15.908874105662107,86.00087300874293,0.235747080296278,0.6344527937471867,1.0767180938273668,1.1913720518350601,0.2253951970487833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,5,1,baseline,-1551.4423828125,14238,0.0246542040258646,0.04191393963992596,0.0835680402815342,0.008637085556983948,0.29422203078866005,0.9830400813370943,60.512535739690065,0.11506094597280025,,,,0.011877156794071198,0.4142029210925102,0.20193099044263363,,,,0.015401048585772514,0.9083731565624475,0.2761450596153736,,,,0.019597122445702553,1.4201379381120205,0.28696004301309586,,,,0.02191890962421894,1.5457661356776953,0.10644597932696342,,,,0.011149095371365547,0.39156689308583736,2.843608846887946,15.55051002651453,85.56830696761608,0.23286603391170502,0.6366241723299026,1.0739639401435852,1.1862299870699644,0.22321008145809174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,5,2,baseline,-1551.4423828125,14238,0.025067012757062912,0.04014885053038597,0.08356920443475246,0.00882311724126339,0.2962700091302395,0.9723857510834932,60.41818764060736,0.11440482921898365,,,,0.011517899110913277,0.4091330338269472,0.18070614896714687,,,,0.01524318940937519,0.8860980160534382,0.27806288562715054,,,,0.019958941265940666,1.425629947334528,0.2856950741261244,,,,0.02228701487183571,1.5566169749945402,0.098806107416749,,,,0.011506956070661545,0.3874588292092085,2.793978899717331,15.33524296246469,85.18938301131129,0.22857403382658958,0.6388688925653696,1.0756640695035458,1.196776982396841,0.22628088481724262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,5,3,baseline,-1551.4423828125,14238,0.024945009499788284,0.04264898598194122,0.08255313150584698,0.00878702849149704,0.29452494345605373,0.9619127959012985,60.3589778766036,0.11341692879796028,,,,0.011724885553121567,0.4034261219203472,0.17897691577672958,,,,0.015046913176774979,0.881922896951437,0.2756929025053978,,,,0.020115170627832413,1.4264241326600313,0.28185686096549034,,,,0.022167107090353966,1.5323180705308914,0.09714905172586441,,,,0.011843862012028694,0.3862029407173395,2.774301916360855,15.423233853653073,85.15957905910909,0.2256380394101143,0.6326180882751942,1.079479930922389,1.1771719437092543,0.22556795738637447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc22_s2ef_train,s2ef_train_0,oc22,228,flash_baseline,5,4,baseline,-1551.4423828125,14238,0.024521024897694588,0.04000682383775711,0.08168909698724747,0.008732778951525688,0.28673000633716583,0.9631100110709667,60.58584013953805,0.11261110194027424,,,,0.011857133358716965,0.4155258648097515,0.17714593559503555,,,,0.01527206040918827,0.8784679230302572,0.27780095115303993,,,,0.01995800994336605,1.4253859408199787,0.2825940027832985,,,,0.02186000347137451,1.542937010526657,0.10077306069433689,,,,0.011195894330739975,0.37879403680562973,2.7929111383855343,15.526361064985394,85.49797791056335,0.2383650280535221,0.6352120544761419,1.075618900358677,1.1875089257955551,0.21749502047896385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
