lmax,mean_ms,std_ms,median_ms,p95_ms,num_edges
1,5.088894860818982,0.06795139011910245,5.068202968686819,5.187858536373824,324
2,7.246611958059172,0.0686685281406988,7.259271456860006,7.351856783498079,324
3,10.235795052722096,0.09434826987762518,10.239170864224434,10.3708487120457,324
4,14.946247691599032,0.44943596283313897,14.828464016318321,15.504871681332588,324
5,21.30348382828136,0.8036348776533903,21.101181977428496,22.91149786906316,324
6,29.149537393823266,0.18948976224759062,29.135387972928584,29.4115666532889,324
7,39.61491181204716,0.3083609792459449,39.68973399605602,40.04257917404175,324
8,52.679805954297386,0.5542165122298524,52.63243452645838,53.592190926428884,324
