lmax,repeat,stage,time_ms
1,4,model_total_ms,4.9867769703269005
1,5,edge_length_norm_ms,0.014730030670762062
1,5,radial_basis_ms,0.029274960979819298
1,5,cutoff_ms,0.05322089418768883
1,5,radial_combine_ms,0.00727199949324131
1,5,spherical_harmonics_ms,0.07065501995384693
1,5,0_convolution.weight_nn_ms,0.07756403647363186
1,5,0_convolution.src_gather_ms,0.011363066732883453
1,5,0_convolution.message_tp_ms,0.07945206016302109
1,5,0_convolution.aggregation_ms,0.03442307934165001
1,5,0_convolution.denominator_ms,0.00830204226076603
1,5,1_convolution.weight_nn_ms,0.07521011866629124
1,5,1_convolution.src_gather_ms,0.01109507866203785
1,5,1_convolution.message_tp_ms,0.18456601537764072
1,5,1_convolution.aggregation_ms,0.03602192737162113
1,5,1_convolution.denominator_ms,0.008860835805535316
1,5,2_convolution.weight_nn_ms,0.07321592420339584
1,5,2_convolution.src_gather_ms,0.011127907782793045
1,5,2_convolution.message_tp_ms,0.09158579632639885
1,5,2_convolution.aggregation_ms,0.03403704613447189
1,5,2_convolution.denominator_ms,0.008225906640291214
1,5,top_force_output_ms,2.692063106223941
1,5,model_total_ms,4.9534449353814125
1,6,edge_length_norm_ms,0.015263911336660385
1,6,radial_basis_ms,0.0299760140478611
1,6,cutoff_ms,0.05443301051855087
1,6,radial_combine_ms,0.007640104740858078
1,6,spherical_harmonics_ms,0.07252185605466366
1,6,0_convolution.weight_nn_ms,0.07712515071034431
1,6,0_convolution.src_gather_ms,0.010940013453364372
1,6,0_convolution.message_tp_ms,0.07931096479296684
1,6,0_convolution.aggregation_ms,0.034525059163570404
1,6,0_convolution.denominator_ms,0.008078990504145622
1,6,1_convolution.weight_nn_ms,0.07385597564280033
1,6,1_convolution.src_gather_ms,0.011011026799678802
1,6,1_convolution.message_tp_ms,0.17965491861104965
1,6,1_convolution.aggregation_ms,0.035643111914396286
1,6,1_convolution.denominator_ms,0.008605187758803368
1,6,2_convolution.weight_nn_ms,0.0728699378669262
1,6,2_convolution.src_gather_ms,0.010804040357470512
1,6,2_convolution.message_tp_ms,0.09228498674929142
1,6,2_convolution.aggregation_ms,0.03372086212038994
1,6,2_convolution.denominator_ms,0.008656876161694527
1,6,top_force_output_ms,2.7799198869615793
1,6,model_total_ms,5.00897504389286
1,7,edge_length_norm_ms,0.015554949641227722
1,7,radial_basis_ms,0.030210008844733238
1,7,cutoff_ms,0.05398900248110294
1,7,radial_combine_ms,0.007752096280455589
1,7,spherical_harmonics_ms,0.0727230217307806
1,7,0_convolution.weight_nn_ms,0.08118408732116222
1,7,0_convolution.src_gather_ms,0.0327378511428833
1,7,0_convolution.message_tp_ms,0.08158781565725803
1,7,0_convolution.aggregation_ms,0.03776606172323227
1,7,0_convolution.denominator_ms,0.008132075890898705
1,7,1_convolution.weight_nn_ms,0.07261708378791809
1,7,1_convolution.src_gather_ms,0.010947929695248604
1,7,1_convolution.message_tp_ms,0.1829061657190323
1,7,1_convolution.aggregation_ms,0.03561214543879032
1,7,1_convolution.denominator_ms,0.008535105735063553
1,7,2_convolution.weight_nn_ms,0.07162196561694145
1,7,2_convolution.src_gather_ms,0.010944902896881104
1,7,2_convolution.message_tp_ms,0.09457394480705261
1,7,2_convolution.aggregation_ms,0.034866854548454285
