lmax,epochs,train_count,valid_count,test_count,channel,num_convolution_layer,trainable_params,training_wall_time_s,best_valid_energy_rmse,best_valid_force_rmse,best_epoch_by_valid_force,test_energy_rmse,test_force_rmse,test_energy_mae,test_force_mae,step_force_mean_ms,step_force_std_ms,step_force_median_ms,step_force_p95_ms,num_edges_representative
1,15,512,128,128,16,3,32192,18.95,0.003308,0.290465,15,0.0035282093559089833,0.3063150568714436,0.002941608428955078,0.12767923292186525,5.088894860818982,0.06795139011910245,5.068202968686819,5.187858536373824,324
2,15,512,128,128,16,3,51648,26.79,0.002253,0.224526,15,0.0027184315342842613,0.237524314587847,0.002223968505859375,0.0938216464387046,7.246611958059172,0.0686685281406988,7.259271456860006,7.351856783498079,324
3,15,512,128,128,16,3,83136,38.47,0.001595,0.182704,15,0.0021023931457092083,0.18945304429816134,0.0017347335815429688,0.0739963985979557,10.235795052722096,0.09434826987762518,10.239170864224434,10.3708487120457,324
4,15,512,128,128,16,3,130496,65.33,0.001787,0.154664,15,0.004194547167156497,0.15895549489796088,0.003895282745361328,0.06424288575847943,14.946247691599032,0.44943596283313897,14.828464016318321,15.504871681332588,324
5,15,512,128,128,16,3,197568,131.24,0.001567,0.163386,15,0.0017386400865011269,0.16401112292232967,0.0013661384582519531,0.06303713760442203,21.30348382828136,0.8036348776533903,21.101181977428496,22.91149786906316,324
6,15,512,128,128,16,3,288192,295.49,0.001341,0.149181,15,0.0035220337773451873,0.1508613579307117,0.003273487091064453,0.060016036654512085,29.149537393823266,0.18948976224759062,29.135387972928584,29.4115666532889,324
7,15,512,128,128,16,3,406208,657.74,0.001286,0.134427,15,0.0015164465238538274,0.13677657840118254,0.0012311935424804688,0.05428322156270345,39.61491181204716,0.3083609792459449,39.68973399605602,40.04257917404175,324
8,15,512,128,128,16,3,555456,1391.69,0.001536,0.14493,15,0.0017097079924896423,0.14729540077599848,0.0014348030090332031,0.05788898737066322,52.679805954297386,0.5542165122298524,52.63243452645838,53.592190926428884,324
