lmax,Energy_RMSE,Force_RMSE,Stress_RMSE,Energy_MAE,Force_MAE,Stress_MAE
1,0.0035282093559089833,0.3063150568714436,,0.002941608428955078,0.12767923292186525,
2,0.0027184315342842613,0.237524314587847,,0.002223968505859375,0.0938216464387046,
3,0.0021023931457092083,0.18945304429816134,,0.0017347335815429688,0.0739963985979557,
4,0.004194547167156497,0.15895549489796088,,0.003895282745361328,0.06424288575847943,
5,0.0017386400865011269,0.16401112292232967,,0.0013661384582519531,0.06303713760442203,
6,0.0035220337773451873,0.1508613579307117,,0.003273487091064453,0.060016036654512085,
7,0.0015164465238538274,0.13677657840118254,,0.0012311935424804688,0.05428322156270345,
8,0.0017097079924896423,0.14729540077599848,,0.0014348030090332031,0.05788898737066322,
