epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Energy_MAE,trainset_Force_MAE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_Energy_MAE,validset_Force_MAE,validset_TotalLoss,testset_Energy_RMSE,testset_Force_RMSE,testset_Energy_MAE,testset_Force_MAE,testset_TotalLoss,lmax
7,0.002658,0.008776,0.28314,0.006951,0.11464,0.002749,0.002608,0.277366,0.001996,0.112375,0.002571,0.003121,0.284718,0.0025,0.113574,0.002712,3
8,0.002604,0.004616,0.261312,0.003765,0.105487,0.002297,0.004154,0.254149,0.003617,0.102407,0.00217,0.004159,0.261939,0.003512,0.104724,0.002304,3
9,0.002552,0.004722,0.242521,0.003715,0.097511,0.001983,0.002252,0.237619,0.001704,0.093952,0.001887,0.002496,0.245315,0.002011,0.096187,0.002012,3
10,0.002501,0.004561,0.229393,0.003774,0.09156,0.001775,0.005555,0.223272,0.005271,0.08755,0.001693,0.005387,0.230485,0.004971,0.090054,0.0018,3
11,0.002451,0.004947,0.217922,0.00406,0.086061,0.001607,0.010408,0.212954,0.010265,0.083414,0.00162,0.010192,0.220034,0.00999,0.085856,0.001718,3
12,0.002402,0.005192,0.210114,0.004009,0.083761,0.001499,0.001906,0.208344,0.001401,0.081387,0.001451,0.002088,0.21511,0.001648,0.084313,0.001547,3
13,0.002354,0.003645,0.2011,0.002943,0.079466,0.001361,0.002013,0.193852,0.001699,0.076979,0.001257,0.002468,0.201172,0.001938,0.0792,0.001355,3
14,0.002307,0.002636,0.192706,0.002152,0.076063,0.001245,0.001595,0.188692,0.00125,0.073559,0.001189,0.001882,0.196383,0.001417,0.076532,0.001289,3
15,0.002261,0.003133,0.18806,0.002564,0.074288,0.001189,0.002122,0.182704,0.001705,0.071807,0.001117,0.002101,0.189453,0.001733,0.073996,0.001201,3
1,0.003,0.026756,2.211712,0.018311,0.950614,0.163772,0.011455,2.045824,0.009131,0.872186,0.139644,0.011835,2.045344,0.009738,0.887087,0.139588,4
2,0.00294,0.011987,1.247702,0.009294,0.476997,0.052036,0.005664,0.73799,0.004622,0.26835,0.018186,0.006619,0.777761,0.004981,0.274731,0.020208,4
3,0.002881,0.006186,0.668146,0.004876,0.228015,0.014919,0.004708,0.562203,0.003747,0.194476,0.010558,0.004948,0.598056,0.004031,0.202815,0.011947,4
4,0.002824,0.005878,0.464957,0.004627,0.170992,0.007241,0.009966,0.370393,0.00942,0.145765,0.004672,0.010279,0.379676,0.009605,0.149421,0.004911,4
5,0.002767,0.005071,0.329944,0.003994,0.13241,0.003654,0.003973,0.306733,0.003478,0.123202,0.003152,0.004486,0.317848,0.003794,0.127317,0.003388,4
6,0.002712,0.004614,0.287978,0.003703,0.115822,0.002786,0.003887,0.271397,0.003228,0.108769,0.00247,0.003877,0.280517,0.003242,0.112215,0.002638,4
7,0.002658,0.003118,0.25756,0.002491,0.102845,0.002221,0.004823,0.247179,0.004253,0.098727,0.00206,0.004704,0.254699,0.004076,0.101136,0.002185,4
8,0.002604,0.003512,0.236174,0.002912,0.09363,0.001872,0.005751,0.224926,0.005371,0.089132,0.001719,0.005563,0.2335,0.005067,0.092069,0.001848,4
9,0.002552,0.004439,0.21971,0.003782,0.087002,0.001629,0.006436,0.213776,0.006109,0.085909,0.001565,0.006292,0.220862,0.005873,0.088921,0.001666,4
10,0.002501,0.002901,0.206188,0.002312,0.081735,0.001426,0.002395,0.200307,0.001879,0.079385,0.001343,0.002403,0.206637,0.00186,0.08221,0.001429,4
11,0.002451,0.003414,0.194628,0.002843,0.077058,0.001274,0.001959,0.190063,0.00154,0.075112,0.001208,0.00205,0.19504,0.001572,0.077733,0.001272,4
12,0.002402,0.003239,0.18327,0.002591,0.072665,0.00113,0.002034,0.177259,0.001609,0.070231,0.001052,0.002004,0.18401,0.001528,0.073668,0.001133,4
13,0.002354,0.002374,0.173834,0.001888,0.069245,0.001013,0.001787,0.170357,0.00141,0.067376,0.000971,0.001758,0.175978,0.001377,0.070556,0.001035,4
14,0.002307,0.002491,0.164969,0.001973,0.066111,0.000913,0.002191,0.159928,0.001752,0.06399,0.000857,0.002012,0.165306,0.001606,0.066927,0.000915,4
15,0.002261,0.002585,0.15617,0.002076,0.062762,0.00082,0.004421,0.154664,0.004144,0.061609,0.000817,0.004195,0.158955,0.003896,0.064243,0.00086,4
1,0.003,0.014632,2.152668,0.011487,0.922144,0.15468,0.018298,1.626263,0.016056,0.687675,0.088492,0.018277,1.640209,0.015977,0.700933,0.09001,5
2,0.00294,0.011371,0.983668,0.008669,0.377544,0.032383,0.006754,0.712068,0.005327,0.26446,0.016947,0.007504,0.7576,0.005685,0.274047,0.019188,5
3,0.002881,0.007721,0.558176,0.006279,0.20674,0.010445,0.00394,0.423892,0.00302,0.16728,0.006005,0.00423,0.443858,0.003412,0.171491,0.006585,5
4,0.002824,0.005061,0.381919,0.003987,0.149504,0.004888,0.003986,0.348708,0.003283,0.136724,0.004069,0.004494,0.363164,0.003726,0.139541,0.004416,5
5,0.002767,0.004115,0.324007,0.003336,0.126243,0.003516,0.005591,0.299984,0.005016,0.117582,0.003031,0.00615,0.313498,0.005401,0.120645,0.003314,5
6,0.002712,0.005011,0.281552,0.004053,0.10977,0.002668,0.002773,0.271028,0.00226,0.108773,0.002456,0.00319,0.27801,0.002581,0.110695,0.002586,5
7,0.002658,0.005245,0.249519,0.004119,0.098181,0.002103,0.002153,0.239229,0.001635,0.094804,0.001912,0.002263,0.245446,0.001853,0.096747,0.002013,5
8,0.002604,0.003153,0.226154,0.002534,0.088261,0.001715,0.001854,0.218881,0.00146,0.084311,0.0016,0.002196,0.227211,0.001717,0.087072,0.001726,5
9,0.002552,0.002666,0.208252,0.002124,0.08076,0.001453,0.001872,0.205433,0.001403,0.07924,0.00141,0.001876,0.20928,0.001529,0.080676,0.001463,5
10,0.002501,0.002933,0.195792,0.002388,0.076142,0.001286,0.0023,0.194783,0.001855,0.075125,0.00127,0.002075,0.197742,0.001723,0.076492,0.001308,5
11,0.002451,0.003941,0.18614,0.003189,0.072539,0.00117,0.001743,0.184635,0.00131,0.072366,0.001139,0.001644,0.186109,0.001361,0.073437,0.001157,5
12,0.002402,0.00319,0.177892,0.002558,0.06925,0.001065,0.001702,0.177758,0.001282,0.069789,0.001056,0.001592,0.178308,0.001305,0.070577,0.001062,5
13,0.002354,0.002581,0.170178,0.00208,0.06626,0.000972,0.003118,0.176242,0.002815,0.066555,0.001045,0.003397,0.173041,0.003103,0.066856,0.00101,5
14,0.002307,0.003496,0.164631,0.002939,0.064362,0.000916,0.001676,0.171055,0.001336,0.065172,0.000978,0.001853,0.171465,0.001481,0.066166,0.000983,5
15,0.002261,0.001999,0.160645,0.001552,0.062751,0.000864,0.001567,0.163386,0.001234,0.062457,0.000892,0.001741,0.164011,0.001369,0.063037,0.0009,5
1,0.003,0.018687,2.1821,0.014533,0.936798,0.159068,0.010191,1.883314,0.008039,0.798122,0.118333,0.010634,1.890247,0.008631,0.81327,0.119214,6
2,0.00294,0.012345,1.138974,0.009627,0.445704,0.043394,0.006417,0.780533,0.004848,0.299556,0.020349,0.007669,0.820697,0.005877,0.306523,0.02251,6
3,0.002881,0.009264,0.676254,0.007516,0.243964,0.01533,0.004695,0.489033,0.003841,0.181661,0.007994,0.004526,0.520559,0.003668,0.188529,0.009053,6
4,0.002824,0.005986,0.397743,0.004771,0.15249,0.005309,0.00381,0.331055,0.002991,0.130728,0.003668,0.004059,0.332679,0.003312,0.130621,0.003706,6
5,0.002767,0.003959,0.299377,0.003201,0.119948,0.003003,0.00683,0.285449,0.006223,0.11602,0.002763,0.006709,0.285022,0.006039,0.115148,0.002753,6
6,0.002712,0.005001,0.261583,0.004142,0.10576,0.002306,0.003244,0.251812,0.002695,0.100592,0.002124,0.003445,0.254058,0.0028,0.100847,0.002163,6
7,0.002658,0.004701,0.235035,0.003772,0.094526,0.001863,0.002895,0.22872,0.002344,0.091205,0.001752,0.002885,0.230587,0.002366,0.091312,0.001781,6
8,0.002604,0.003116,0.215528,0.002555,0.086415,0.001558,0.004224,0.219481,0.003867,0.085901,0.001624,0.004161,0.22023,0.003769,0.08566,0.001634,6
9,0.002552,0.003045,0.199473,0.002505,0.080092,0.001336,0.00231,0.196295,0.001863,0.078852,0.00129,0.002319,0.197304,0.00194,0.078533,0.001303,6
10,0.002501,0.003056,0.185031,0.002488,0.074161,0.001151,0.002775,0.18191,0.002449,0.072316,0.001111,0.003062,0.183523,0.002649,0.072869,0.001132,6
11,0.002451,0.003689,0.174419,0.00304,0.06989,0.001028,0.007083,0.171399,0.006932,0.069448,0.001029,0.007253,0.17297,0.007081,0.070497,0.00105,6
12,0.002402,0.003442,0.163916,0.002891,0.065799,0.000907,0.003771,0.167166,0.00352,0.065789,0.000946,0.003596,0.167414,0.003294,0.066407,0.000947,6
13,0.002354,0.002376,0.155929,0.001919,0.062465,0.000816,0.001341,0.157597,0.001003,0.063272,0.00083,0.001457,0.15815,0.001143,0.063973,0.000836,6
14,0.002307,0.001841,0.150525,0.001465,0.060231,0.000759,0.001926,0.152553,0.001677,0.06057,0.000779,0.002151,0.15175,0.001806,0.061292,0.000772,6
