lmax,stage,mean_ms,std_ms
1,0_convolution.aggregation_ms,0.03707222640514374,0.005729976113429703
1,0_convolution.denominator_ms,0.009204051457345486,0.0035721515974150163
1,0_convolution.message_tp_ms,0.22686799056828022,0.46210074208312796
1,0_convolution.src_gather_ms,0.01494608586654067,0.011836635856948682
1,0_convolution.weight_nn_ms,0.0802813796326518,0.0072615043127922515
1,1_convolution.aggregation_ms,0.036535796243697405,0.002081289532887062
1,1_convolution.denominator_ms,0.009060627780854702,0.0013163227886282085
1,1_convolution.message_tp_ms,0.4294725717045367,0.7703516904596246
1,1_convolution.src_gather_ms,0.011248851660639048,0.00039773212838247667
1,1_convolution.weight_nn_ms,0.07729792268946767,0.005825583742197346
1,2_convolution.aggregation_ms,0.03652683226391673,0.00443619708784257
1,2_convolution.denominator_ms,0.008793326560407877,0.0006562815804224103
1,2_convolution.message_tp_ms,0.25617529172450304,0.5039184840493289
1,2_convolution.src_gather_ms,0.011170248035341501,0.00046254729966938507
1,2_convolution.weight_nn_ms,0.07610664470121264,0.007242591173972517
1,cutoff_ms,0.05545754684135318,0.004518183674760087
1,edge_length_norm_ms,0.01632173079997301,0.0035352051705751725
1,model_total_ms,7.553938229102641,7.132891225726273
1,radial_basis_ms,0.03238966455683112,0.006531501724098599
1,radial_combine_ms,0.008198036812245846,0.001499168735405085
1,spherical_harmonics_ms,0.0762918614782393,0.009343046773431672
1,top_force_output_ms,3.0805705464445055,1.193482677387223
2,0_convolution.aggregation_ms,0.037920812610536814,0.005168722382772014
2,0_convolution.denominator_ms,0.008795841131359339,0.0005790421870445718
2,0_convolution.message_tp_ms,0.27652825228869915,0.5488359307510093
2,0_convolution.src_gather_ms,0.011681008618324995,0.001166692509710655
2,0_convolution.weight_nn_ms,0.08250742685049772,0.00958381983820455
2,1_convolution.aggregation_ms,0.0395609182305634,0.0024153083555533564
2,1_convolution.denominator_ms,0.009174668230116367,0.0004116541074854789
2,1_convolution.message_tp_ms,0.9165086899884045,1.5725313162700987
2,1_convolution.src_gather_ms,0.011615455150604248,0.0007453051906455677
2,1_convolution.weight_nn_ms,0.07755986880511045,0.005914550004670582
2,2_convolution.aggregation_ms,0.0367696164175868,0.003159272820708849
2,2_convolution.denominator_ms,0.008993176743388176,0.0005964814410735428
2,2_convolution.message_tp_ms,0.3231532755307853,0.6138096885918091
2,2_convolution.src_gather_ms,0.011729169636964798,0.0004369940183987261
2,2_convolution.weight_nn_ms,0.0817073043435812,0.0117050214858707
2,cutoff_ms,0.05635542329400778,0.004939168863685055
2,edge_length_norm_ms,0.01735496334731579,0.004584222947613393
2,model_total_ms,10.366956505458802,9.047533721572233
2,radial_basis_ms,0.03223206149414182,0.005193882291506287
2,radial_combine_ms,0.008472299668937922,0.001879317330205751
2,spherical_harmonics_ms,0.12601508060470223,0.012227782194868577
2,top_force_output_ms,4.6602897346019745,1.4853831223070417
3,0_convolution.aggregation_ms,0.0386427971534431,0.005170583686574593
3,0_convolution.denominator_ms,0.008746085222810507,0.0008952382381987947
3,0_convolution.message_tp_ms,0.3318379167467356,0.664206800751059
3,0_convolution.src_gather_ms,0.011855072807520628,0.00129868849230187
3,0_convolution.weight_nn_ms,0.08198808645829558,0.009317015179703769
3,1_convolution.aggregation_ms,0.04371794639155269,0.0036692223126276835
3,1_convolution.denominator_ms,0.010085687972605228,0.0026727433060238044
3,1_convolution.message_tp_ms,1.8605294055305421,3.0793312295007533
3,1_convolution.src_gather_ms,0.011809077113866806,0.0005682296934038166
3,1_convolution.weight_nn_ms,0.07964600808918476,0.006564450369965987
3,2_convolution.aggregation_ms,0.038263213355094194,0.003116052725915855
3,2_convolution.denominator_ms,0.009161478374153376,0.0006859501972650467
3,2_convolution.message_tp_ms,0.39443307323381305,0.7277702151737149
3,2_convolution.src_gather_ms,0.013787695206701756,0.005099767638212775
3,2_convolution.weight_nn_ms,0.08132666116580367,0.012690977468496479
3,cutoff_ms,0.05875382339581847,0.007991904849437667
3,edge_length_norm_ms,0.017902650870382786,0.004461539572691502
3,model_total_ms,14.449270395562053,11.6009613689809
3,radial_basis_ms,0.033363490365445614,0.005515405329101472
3,radial_combine_ms,0.007945974357426167,0.0003757740590157658
3,spherical_harmonics_ms,0.19471656996756792,0.011115950501212463
3,top_force_output_ms,6.976327556185424,1.754243995291179
4,0_convolution.aggregation_ms,0.038625369779765606,0.005062244885809992
4,0_convolution.denominator_ms,0.009755161590874195,0.004121600689981569
4,0_convolution.message_tp_ms,0.38738673320040107,0.7687046474078195
4,0_convolution.src_gather_ms,0.011969043407589197,0.0012512298342068572
