graph_name,num_edges,num_pairs,lmax,case,device,warmup,repeat,mean_ms,std_ms,median_ms,p95_ms
small_benzene,114,57,1,baseline_sh,cuda,20,100,0.04014463968575001,0.002273251751223853,0.03961599990725517,0.04331840146332979
small_benzene,114,57,1,pair_sh_kernel_only,cuda,20,100,0.039606079421937467,0.001130160630878926,0.03923200070858002,0.04095999896526337
small_benzene,114,57,1,pair_sh,cuda,20,100,0.05734848011285067,0.0016058012832142437,0.05708799883723259,0.06042720172554254
small_benzene,114,57,1,baseline_edge_embedding,cuda,20,100,0.11077343985438347,0.005068437147039915,0.10953599959611893,0.1148928016424179
small_benzene,114,57,1,pair_edge_embedding,cuda,20,100,0.1717369605600834,0.003383018664176253,0.17100800573825836,0.17715199291706085
small_benzene,114,57,2,baseline_sh,cuda,20,100,0.07993183873593807,0.005117837030945755,0.07872000336647034,0.0847775973379612
small_benzene,114,57,2,pair_sh_kernel_only,cuda,20,100,0.07891967952251434,0.003871907992206535,0.07782399654388428,0.08268959634006023
small_benzene,114,57,2,pair_sh,cuda,20,100,0.09780064113438129,0.006160641839927755,0.09609600156545639,0.11379840113222599
small_benzene,114,57,2,baseline_edge_embedding,cuda,20,100,0.15327456086874008,0.009660946049519045,0.14854399859905243,0.17524800673127175
small_benzene,114,57,2,pair_edge_embedding,cuda,20,100,0.21999616011977197,0.011321779353894727,0.21507199853658676,0.24273919984698294
small_benzene,114,57,3,baseline_sh,cuda,20,100,0.14182687908411026,0.007106498736887846,0.13926400244235992,0.16385119631886483
small_benzene,114,57,3,pair_sh_kernel_only,cuda,20,100,0.14340031936764716,0.010296226101543746,0.13951999694108963,0.1639632038772106
small_benzene,114,57,3,pair_sh,cuda,20,100,0.16059647902846336,0.007589056015368589,0.15769599378108978,0.1831440009176731
small_benzene,114,57,3,baseline_edge_embedding,cuda,20,100,0.21644448071718217,0.009912568582012143,0.2120319977402687,0.23939360454678535
small_benzene,114,57,3,pair_edge_embedding,cuda,20,100,0.281791680753231,0.009672049646360866,0.2778400033712387,0.3052031993865967
small_benzene,114,57,4,baseline_sh,cuda,20,100,0.32678240090608596,0.010014851725425456,0.3225120007991791,0.35021441280841825
small_benzene,114,57,4,pair_sh_kernel_only,cuda,20,100,0.32987008154392244,0.011957278948668583,0.3253920078277588,0.350262413918972
