dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,flash_fused_conv_ms,flash_fused_conv_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
iso17,iso17,spice,19,e3nn_baseline,0,0.022382009774446487,340.0,0.03861193545162678,340.0,0.08295313455164433,340.0,0.009207986295223236,2720.0,0.3188431728631258,340.0,0.0,0.0,0.4645830485969782,1700.0,0.0,0.0,0.07065106183290482,1700.0,0.0,0.0,61.760938726365566,1700.0,0.0,0.0,0.2546869218349457,1700.0,0.05224999040365219,0.0,0.9485278278589249,0.0,60.6843379791826,0.0,2.8008492663502693,0.0,27.559855952858925,0.0,155.90946795418859,0.0,62.88634310476482,0.0
iso17,iso17,spice,19,e3nn_baseline,1,0.022614141926169395,340.0,0.04122802056372166,340.0,0.08070701733231544,340.0,0.008384929969906807,2720.0,0.3089818637818098,340.0,0.0,0.0,0.4599122330546379,1700.0,0.0,0.0,0.07009902037680149,1700.0,0.0,0.0,62.04124097712338,1700.0,0.0,0.0,0.2550086937844753,1700.0,0.05227397195994854,0.0,1.0057350154966116,0.0,60.508200665935874,0.0,2.801051829010248,0.0,27.533024083822966,0.0,156.06899582780898,0.0,63.17767524160445,0.0
iso17,iso17,spice,19,e3nn_baseline,2,0.02220878377556801,340.0,0.03923196345567703,340.0,0.08308212272822857,340.0,0.00902893953025341,2720.0,0.28384895995259285,340.0,0.0,0.0,0.4603711422532797,1700.0,0.0,0.0,0.06897095590829849,1700.0,0.0,0.0,61.77062611095607,1700.0,0.0,0.0,0.2585530746728182,1700.0,0.051247887313365936,0.0,0.9568228852003813,0.0,60.52707228809595,0.0,2.7969712391495705,0.0,27.54233102314174,0.0,155.72795690968633,0.0,62.90075299330056,0.0
iso17,iso17,spice,19,e3nn_baseline,3,0.021445099264383316,340.0,0.043972861021757126,340.0,0.08008908480405807,340.0,0.008611008524894714,2720.0,0.2808249555528164,340.0,0.0,0.0,0.4555857740342617,1700.0,0.0,0.0,0.07250998169183731,1700.0,0.0,0.0,62.318192794919014,1700.0,0.0,0.0,0.26037520729005337,1700.0,0.05240715108811855,0.0,0.9680509101599455,0.0,60.81549194641411,0.0,2.7991009410470724,0.0,27.698243036866188,0.0,156.72030812129378,0.0,63.445813953876495,0.0
iso17,iso17,spice,19,e3nn_baseline,4,0.022810185328125954,340.0,0.038264086470007896,340.0,0.07970677688717842,340.0,0.008912989869713783,2720.0,0.2835949417203665,340.0,0.0,0.0,0.45715318992733955,1700.0,0.0,0.0,0.0693267211318016,1700.0,0.0,0.0,61.93926720879972,1700.0,0.0,0.0,0.25999080389738083,1700.0,0.052016228437423706,0.0,0.958029180765152,0.0,60.70198165252805,0.0,2.821844071149826,0.0,27.476325863972306,0.0,156.0185260605067,0.0,63.06413235142827,0.0
iso17,iso17,spice,19,e3nn_pair_full,0,0.018249033018946648,170.0,0.03773788921535015,170.0,0.08100597187876701,170.0,0.008516944944858551,1360.0,0.287041999399662,170.0,0.07353699766099453,12070.0,0.46711601316928864,850.0,0.23443298414349556,4250.0,0.09610806591808796,1700.0,0.07962319068610668,1700.0,8.266816847026348,1700.0,0.0,0.0,0.4758457653224468,1700.0,0.048995018005371094,0.0,0.9794258512556553,0.0,60.8572184573859,0.0,2.79187667183578,0.0,40.40050017647445,0.0,116.6499899700284,0.0,10.501440847292542,0.0
iso17,iso17,spice,19,e3nn_pair_full,1,0.019347062334418297,170.0,0.044212909415364265,170.0,0.08126790635287762,170.0,0.008675968274474144,1360.0,0.2850389573723078,170.0,0.07598195225000381,12070.0,0.4653860814869404,850.0,0.2431664615869522,4250.0,0.0949434470385313,1700.0,0.07995287887752056,1700.0,8.145675528794527,1700.0,0.0,0.0,0.44339848682284355,1700.0,0.049004796892404556,0.0,0.9747021831572056,0.0,60.78515690751374,0.0,2.7873876970261335,0.0,40.590394055470824,0.0,116.65496998466551,0.0,10.359387844800949,0.0
iso17,iso17,spice,19,e3nn_pair_full,2,0.019488157704472542,170.0,0.03896607086062431,170.0,0.08311285637319088,170.0,0.008211005479097366,1360.0,0.28709997422993183,170.0,0.07558916695415974,12070.0,0.46087196096777916,850.0,0.23359572514891624,4250.0,0.09598489850759506,1700.0,0.07910537533462048,1700.0,8.279512636363506,1700.0,0.0,0.0,0.4562272224575281,1700.0,0.05063321441411972,0.0,0.9555828291922808,0.0,61.68678100220859,0.0,2.8211919125169516,0.0,41.84505413286388,0.0,118.95252903923392,0.0,10.496037313714623,0.0
iso17,iso17,spice,19,e3nn_pair_full,3,0.01906394027173519,170.0,0.038044992834329605,170.0,0.08082692511379719,170.0,0.008863164111971855,1360.0,0.2905959263443947,170.0,0.07865903899073601,12070.0,0.46652392484247684,850.0,0.22933096624910831,4250.0,0.09470945224165916,1700.0,0.07843971252441406,1700.0,8.09720647521317,1700.0,0.0,0.0,0.4409286193549633,1700.0,0.04815892316401005,0.0,0.9520230814814568,0.0,60.691886115819216,0.0,2.793997060507536,0.0,40.8017560839653,0.0,116.66557006537914,0.0,10.280628688633442,0.0
iso17,iso17,spice,19,e3nn_pair_full,4,0.018502119928598404,170.0,0.03801099956035614,170.0,0.08022203110158443,170.0,0.008520903065800667,1360.0,0.2843739930540323,170.0,0.07507996633648872,12070.0,0.4664801526814699,850.0,0.2517392858862877,4250.0,0.09597488678991795,1700.0,0.07976009510457516,1700.0,8.145380765199661,1700.0,0.0,0.0,0.4415020812302828,1700.0,0.04965532571077347,0.0,0.9701903909444809,0.0,61.00424122996628,0.0,2.7798418886959553,0.0,41.78634891286492,0.0,118.03159187547863,0.0,10.361257940530777,0.0
