dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,spherical_harmonics_ms,0.31704800203442574,0.02153211716619597,0.0008996319295451461
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,radial_basis_ms,0.04443223588168621,0.0022120577024403233,0.00012607762182303904
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,cutoff_ms,0.08940771222114563,0.005667034910845661,0.00025369670253589136
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,conv_weight_nn_ms,0.9927645325660706,0.013729361660277595,0.0028169951120506414
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,conv_src_gather_ms,0.402053352445364,0.0032044440563486257,0.0011408368162535948
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,conv_filter_gather_ms,0.0,0.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,conv_message_tp_ms,82.09716929122806,0.3775828138342252,0.23295284734720528
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,flash_fused_conv_ms,0.0,0.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,conv_aggregation_ms,2.9586676973849535,0.04444704974450571,0.008395296334945223
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,top_force_output_ms,199.6321292128414,0.06553292093391065,0.5664613448138165
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,other_ms,86.82034234516323,0.4280487296321854,0.24635497340011117
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,model_total_ms,352.4196858983487,0.46095864329861436,1.0
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,spherical_harmonics_ms,0.32323459163308144,0.0009516125369401011,0.0011116758998287288
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,radial_basis_ms,0.045572081580758095,0.0015777810070547807,0.00015673255929200047
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,cutoff_ms,0.09488221257925034,0.0011842168558257944,0.0003263211047860624
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,conv_weight_nn_ms,0.7279588375240564,0.004554465366682838,0.0025036129074373728
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,pair_expand_ms,0.08828556165099144,0.004918843642343086,0.0003036337500092177
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,pair_indexing_ms,0.7952461019158363,0.003752219923874071,0.0027350288267912527
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,conv_src_gather_ms,0.3782509360462427,0.0010498281269490167,0.0013008893867633643
