dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0.025931978598237038,14238.0,0.044353073462843895,14238.0,0.09278487414121628,14238.0,0.010122079402208328,113904.0,0.3174850717186928,14238.0,0.0,0.0,0.9558678139001131,71190.0,0.3846429754048586,71190.0,0.0,0.0,0.0,0.0,79.60612257011235,71190.0,2.7927858754992485,71190.0,0.08492125198245049,0.0,1.0740896686911583,0.0,60.65918714739382,0.0,2.782973228022456,0.0,186.70384492725134,0.0,336.3988259807229,0.0,84.11007095128298,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,1,0.028686830773949623,14238.0,0.04508486017584801,14238.0,0.09306613355875015,14238.0,0.014478107914328575,113904.0,0.31279493123292923,14238.0,0.0,0.0,0.9655570611357689,71190.0,0.3883971367031336,71190.0,0.0,0.0,0.0,0.0,80.06141427904367,71190.0,2.8441650792956352,71190.0,0.15254621393978596,0.0,1.0631680488586426,0.0,61.249402817338705,0.0,2.8127070982009172,0.0,186.66598689742386,0.0,337.618051096797,0.0,84.73059092648327,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,2,0.02614804543554783,14238.0,0.04198704846203327,14238.0,0.09319093078374863,14238.0,0.009080860763788223,113904.0,0.29736198484897614,14238.0,0.0,0.0,0.951163237914443,71190.0,0.3851521760225296,71190.0,0.0,0.0,0.0,0.0,80.03424387425184,71190.0,2.8030078392475843,71190.0,0.08389796130359173,0.0,0.9511969983577728,0.0,60.7838190626353,0.0,2.78691784478724,0.0,186.57587398774922,0.0,336.68818115256727,0.0,84.5478936098516,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,3,0.027305912226438522,14238.0,0.04208390600979328,14238.0,0.08712196722626686,14238.0,0.009748153388500214,113904.0,0.30684005469083786,14238.0,0.0,0.0,0.9571125265210867,71190.0,0.38357777521014214,71190.0,0.0,0.0,0.0,0.0,79.61983093991876,71190.0,2.8023531194776297,71190.0,0.0851841177791357,0.0,0.9745939169079065,0.0,60.6631631962955,0.0,2.7876337990164757,0.0,186.7010199930519,0.0,336.32902009412646,0.0,84.14531382732093,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,4,0.027931062504649162,14238.0,0.04725717008113861,14238.0,0.0953280832618475,14238.0,0.010011950507760048,113904.0,0.3134820144623518,14238.0,0.0,0.0,0.9577441960573196,71190.0,0.3874648828059435,71190.0,0.0,0.0,0.0,0.0,79.89437994547188,71190.0,2.8000937309116125,71190.0,0.08615502156317234,0.0,1.058732159435749,0.0,60.85332785733044,0.0,2.783467061817646,0.0,186.65365502238274,0.0,336.84467687271535,0.0,84.41704488359392,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,0,0.0224369578063488,7119.0,0.044733984395861626,7119.0,0.09287684224545956,7119.0,0.009706011041998863,56952.0,0.3165309317409992,7119.0,0.08649472147226334,505449.0,0.6785360164940357,35595.0,0.35677780397236347,71190.0,0.09331107139587402,71190.0,0.7553987670689821,177975.0,23.561858106404543,71190.0,3.187882713973522,71190.0,0.06598909385502338,0.0,1.0739839635789394,0.0,61.066785361617804,0.0,2.79398076236248,0.0,180.18815200775862,0.0,276.0067500639707,0.0,29.64025503024459,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,1,0.021649058908224106,7119.0,0.04596589133143425,7119.0,0.09283283725380898,7119.0,0.010113930329680443,56952.0,0.32127206213772297,7119.0,0.08966494351625443,505449.0,0.6796761881560087,35595.0,0.3581652417778969,71190.0,0.09232410229742527,71190.0,0.755838118493557,177975.0,23.514184867963195,71190.0,3.1867732759565115,71190.0,0.06608106195926666,0.0,1.0793071705847979,0.0,61.01950001902878,0.0,2.7975537814199924,0.0,180.4893601220101,0.0,276.2222390156239,0.0,29.59102694876492,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,2,0.02174312248826027,7119.0,0.046141212806105614,7119.0,0.09304401464760303,7119.0,0.009980984032154083,56952.0,0.3151879645884037,7119.0,0.08802907541394234,505449.0,0.6848038174211979,35595.0,0.3613131120800972,71190.0,0.09267940185964108,71190.0,0.7479810155928135,177975.0,23.561378940939903,71190.0,3.1800048891454935,71190.0,0.06614602170884609,0.0,1.0869933757930994,0.0,60.746517265215516,0.0,2.782789757475257,0.0,180.16267311759293,0.0,275.62784194014966,0.0,29.620489105582237,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,3,0.02011912874877453,7119.0,0.0417779665440321,7119.0,0.08513196371495724,7119.0,0.009014969691634178,56952.0,0.2992241643369198,7119.0,0.08113705553114414,505449.0,0.6725653074681759,35595.0,0.35713380202651024,71190.0,0.09295996278524399,71190.0,0.7497274782508612,177975.0,23.580736014992,71190.0,3.1907446682453156,71190.0,0.06604800000786781,0.0,0.9673428721725941,0.0,60.871828347444534,0.0,2.792493673041463,0.0,180.2269381005317,0.0,275.6879269145429,0.0,29.65277316980064,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,4,0.02250797115266323,7119.0,0.044764019548892975,7119.0,0.09310198947787285,7119.0,0.010065967217087746,56952.0,0.31712697818875313,7119.0,0.08747098036110401,505449.0,0.7044330704957247,35595.0,0.36192010156810284,71190.0,0.09176763705909252,71190.0,0.7545228581875563,177975.0,23.540786933153868,71190.0,3.1858074944466352,71190.0,0.06636092439293861,0.0,1.0684758890420198,0.0,60.88668596930802,0.0,2.8007689397782087,0.0,180.39771798066795,0.0,276.04940882883966,0.0,29.654644895344973,0.0
