dataset,sample_id,modal,natoms,num_edges,avg_neighbors_directed,density_bucket,case,label_ko,enable_flash,enable_pair_execution,requested_pair_policy,n_warmup,n_repeat,status,device,resolved_policy,timing_ms,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,speedup_vs_baseline,energy,abs_energy_diff_vs_baseline,max_abs_force_diff_vs_baseline,error_type,error_message
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,6872,46.432432432432435,large_dense,sevennet_baseline,기본 SevenNet,False,False,none,3,1,ok,cuda,baseline,103.54317096062005,103.54317096062005,0.0,103.54317096062005,103.54317096062005,271.60820993594825,157.18214518787735,1.0,-124958.640625,0.0,2.1457672119140625e-06,,
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,6872,46.432432432432435,large_dense,sevennet_pair_full,제안기법,False,True,full,3,1,ok,cuda,full,97.04570309258997,97.04570309258997,0.0,97.04570309258997,97.04570309258997,273.77517994803685,140.7780022959829,1.06695265901501,-124958.640625,0.0,2.384185791015625e-06,,
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,6872,46.432432432432435,large_dense,flashtp_baseline,FlashTP,True,False,none,3,1,ok,cuda,baseline,14.789409004151821,14.789409004151821,0.0,14.789409004151821,14.789409004151821,61.03159409637252,15.397600459894015,7.001170292305287,-124958.640625,0.0,2.1457672119140625e-06,,
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,6872,46.432432432432435,large_dense,flashtp_pair_full,FlashTP + 제안기법,True,True,full,3,1,ok,cuda,full,15.511717880144715,15.511717880144715,0.0,15.511717880144715,15.511717880144715,62.95943461979429,15.319262970019052,6.675158210113994,-124958.640625,0.0,2.6226043701171875e-06,,
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,6686,29.715555555555557,large_sparse,sevennet_baseline,기본 SevenNet,False,False,none,3,1,ok,cuda,baseline,103.11435908079147,103.11435908079147,0.0,103.11435908079147,103.11435908079147,173.13081033838293,45.18539784802168,1.0,-852.8583984375,0.0,9.5367431640625e-07,,
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,6686,29.715555555555557,large_sparse,sevennet_pair_full,제안기법,False,True,full,3,1,ok,cuda,full,96.47604404017329,96.47604404017329,0.0,96.47604404017329,96.47604404017329,171.85738193802536,57.73798809516235,1.06880791088256,-852.8583984375,0.0,9.5367431640625e-07,,
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,6686,29.715555555555557,large_sparse,flashtp_baseline,FlashTP,True,False,none,3,1,ok,cuda,baseline,16.025222139433026,16.025222139433026,0.0,16.025222139433026,16.025222139433026,63.067061748976506,15.450258198600983,6.434504194925292,-852.8583984375,0.0,7.152557373046875e-07,,
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,6686,29.715555555555557,large_sparse,flashtp_pair_full,FlashTP + 제안기법,True,True,full,3,1,ok,cuda,full,16.513607930392027,16.513607930392027,0.0,16.513607930392027,16.513607930392027,64.04155065926413,15.222380731502074,6.244205355694404,-852.8583984375,0.0,1.0058283805847168e-06,,
