dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
mptrj,mp-1204603,mpa,444,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.1332333087921142e-06,1.0490799351051314e-07,1.341104507446289e-06,1.5366439167034212e-07,4.47001563156354e-09,1.6497519084168744e-07
mptrj,mp-1204603,mpa,444,sevennet_geometry_only,2,30,cuda,geometry_only,8.138020833333333e-06,4.3824583391394064e-05,0.000244140625,1.9371509552001953e-06,1.8467823725735746e-07,2.3543834686279297e-06,2.8336281066761633e-07,5.344500905434982e-09,2.9561172709691164e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,2,30,cuda,baseline,1.220703125e-05,2.4414062500000005e-05,6.103515625e-05,7.9423189163208e-07,1.0493775348708102e-07,1.0654330253601074e-06,1.4279358519312762e-07,4.14837503644617e-09,1.505699600556909e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,2,30,cuda,geometry_only,1.220703125e-05,2.4414062500000005e-05,6.103515625e-05,1.1485069990158081e-06,1.513132945355773e-07,1.430511474609375e-06,2.151239688904146e-07,3.661535876117124e-09,2.2449802372648264e-07
oc20_s2ef_train_2m,frame27,oc20,225,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,6.005167961120605e-07,8.79589346472044e-08,8.344650268554688e-07,1.236755394984357e-07,3.3230924989478795e-09,1.3127646525390446e-07
oc20_s2ef_train_2m,frame27,oc20,225,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,9.618699550628662e-07,9.583196157701926e-08,1.2516975402832031e-06,2.1203421501544047e-07,4.459484866321183e-09,2.2108874020432268e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,8.371348182360331e-07,1.0874368830952259e-07,1.0728836059570312e-06,1.41311528523147e-07,4.585809371686466e-09,1.5549292697869532e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.8093734979629516e-06,1.1757270355110123e-07,1.996755599975586e-06,2.8952343692859966e-07,6.177532919892545e-09,3.0431706932176894e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,7.525086402893066e-07,1.0023731028343521e-07,9.5367431640625e-07,1.355498407444126e-07,5.2374690600503485e-09,1.5057159430398315e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.05897585550944e-06,1.5027603456255564e-07,1.7136335372924805e-06,2.0030444337256388e-07,4.780279378959338e-09,2.1075719303098595e-07
