dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0.021878862753510475,366.0,0.03881705924868584,366.0,0.08786492981016636,366.0,0.009082956239581108,2928.0,0.28304499574005604,366.0,0.0,0.0,0.4416219890117645,1830.0,0.06785709410905838,1830.0,0.0,0.0,0.0,0.0,61.3999308552593,1830.0,0.2597810234874487,1830.0,0.05139713175594807,0.0,0.9218628983944654,0.0,60.455873142927885,0.0,2.778239082545042,0.0,27.240428142249584,0.0,154.89939996041358,0.0,62.50307336449623,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,1,0.02417108044028282,366.0,0.039326027035713196,366.0,0.08237198926508427,366.0,0.009182142093777657,2928.0,0.29473286122083664,366.0,0.0,0.0,0.4469221457839012,1830.0,0.06764312274754047,1830.0,0.0,0.0,0.0,0.0,61.38332816772163,1830.0,0.26000989601016045,1830.0,0.05133403465151787,0.0,0.9444751776754856,0.0,60.276643140241504,0.0,2.7884619776159525,0.0,27.152174850925803,0.0,154.6511841006577,0.0,62.48991680331528,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,2,0.021579908207058907,366.0,0.037607038393616676,366.0,0.08307397365570068,366.0,0.008771894499659538,2928.0,0.2870860043913126,366.0,0.0,0.0,0.4506621044129133,1830.0,0.06891507655382156,1830.0,0.0,0.0,0.0,0.0,61.49800703860819,1830.0,0.2573330421000719,1830.0,0.05600391887128353,0.0,0.9355696383863688,0.0,60.33435347490013,0.0,2.7834391221404076,0.0,27.307807933539152,0.0,154.96173803694546,0.0,62.60709883645177,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,3,0.023175962269306183,366.0,0.03861985169351101,366.0,0.08061109110713005,366.0,0.008970964699983597,2928.0,0.29861507937312126,366.0,0.0,0.0,0.45521301217377186,1830.0,0.06844312883913517,1830.0,0.0,0.0,0.0,0.0,61.35203130543232,1830.0,0.25723129510879517,1830.0,0.05153403617441654,0.0,0.9500589221715927,0.0,60.35727704875171,0.0,2.793160965666175,0.0,27.267460944131017,0.0,154.8463120125234,0.0,62.464470975100994,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,4,0.02204696647822857,366.0,0.03848993219435215,366.0,0.08228607475757599,366.0,0.008863164111971855,2928.0,0.28315698727965355,366.0,0.0,0.0,0.44219312258064747,1830.0,0.06886711344122887,1830.0,0.0,0.0,0.0,0.0,61.62256468087435,1830.0,0.25951024144887924,1830.0,0.05227210931479931,0.0,0.9283630643039942,0.0,60.36496860906482,0.0,2.8020860627293587,0.0,27.33220183290541,0.0,155.16904299147427,0.0,62.73864209651947,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,0,0.018931925296783447,183.0,0.03733905032277107,183.0,0.07964111864566803,183.0,0.008761882781982422,1464.0,0.2833630423992872,183.0,0.07227202877402306,12993.0,0.45606493949890137,915.0,0.09447266347706318,1830.0,0.07867044769227505,1830.0,0.2297337632626295,4575.0,8.176920935511589,1830.0,0.446931691840291,1830.0,0.049211783334612846,0.0,0.9449480567127466,0.0,60.38577435538173,0.0,2.77290609665215,0.0,40.09811906144023,0.0,115.6814091373235,0.0,10.355648351833224,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,1,0.019161030650138855,183.0,0.0374580267816782,183.0,0.08391099981963634,183.0,0.008665956556797028,1464.0,0.29261200688779354,183.0,0.07788208313286304,12993.0,0.4563122056424618,915.0,0.09390199556946754,1830.0,0.07973215542733669,1830.0,0.22850814275443554,4575.0,8.195205824449658,1830.0,0.4503314848989248,1830.0,0.04953378811478615,0.0,0.9419289417564869,0.0,60.53786096163094,0.0,2.782183000817895,0.0,40.1259318459779,0.0,115.90222083032131,0.0,10.383800603449345,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,2,0.018354039639234543,183.0,0.038804952055215836,183.0,0.07966998964548111,183.0,0.00888085924088955,1464.0,0.28555700555443764,183.0,0.07281498983502388,12993.0,0.44672400690615177,915.0,0.09392737410962582,1830.0,0.0780150294303894,1830.0,0.23230095393955708,4575.0,8.060329128056765,1830.0,0.45100459828972816,1830.0,0.048697926104068756,0.0,0.9690029546618462,0.0,60.38500228896737,0.0,2.794835949316621,0.0,40.05233687348664,0.0,115.53532397374511,0.0,10.22671558894217,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,3,0.0189049169421196,183.0,0.03732810728251934,183.0,0.08033495396375656,183.0,0.008899020031094551,1464.0,0.2902420237660408,183.0,0.07269904017448425,12993.0,0.4564120899885893,915.0,0.09518954902887344,1830.0,0.07802946493029594,1830.0,0.22918893955647945,4575.0,8.100029081106186,1830.0,0.44743670150637627,1830.0,0.05035079084336758,0.0,0.9339849930256605,0.0,60.715851141139865,0.0,2.773676998913288,0.0,40.01617198809981,0.0,115.86595908738673,0.0,10.299771092832088,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,4,0.019150087609887123,183.0,0.038051046431064606,183.0,0.07977895438671112,183.0,0.008934875950217247,1464.0,0.28273696079850197,183.0,0.07765507325530052,12993.0,0.4499177448451519,915.0,0.09833346121013165,1830.0,0.0787519384175539,1830.0,0.23044436238706112,4575.0,8.117869962006807,1830.0,0.44117472134530544,1830.0,0.04880363121628761,0.0,0.9414162486791611,0.0,60.34462619572878,0.0,2.8398919384926558,0.0,40.21589900366962,0.0,115.7299808692187,0.0,10.276567423716187,0.0
