system,case,n,mode,builder,policy,nedges_mean,npairs_mean,pair_metadata_total_ms_mean,pair_metadata_total_ms_std,pair_metadata_build_ms_mean,pair_metadata_build_ms_std,model_inference_ms_mean,model_inference_ms_std,compute_total_ms_mean,compute_total_ms_std
bulk_large,baseline,30,serial,upstream,baseline,12508,0,0.0,0.0,0.0,0.0,107.3735703,2.400395922149728,180.40595803333332,7.989441404654911
bulk_large,geometry_only_legacy,30,serial,legacy,geometry_only,12508,6254,4.635593666666667,0.053906997329905476,4.5229033,0.05176786830893969,109.4557267,2.422080171787853,175.24789266666667,5.417489986326148
bulk_large,geometry_only_upstream,30,serial,upstream,geometry_only,12508,6254,0.32186976666666667,0.029341656288820246,0.08419823333333333,0.0046251292297571555,108.91285396666666,1.8733269194252082,173.15331123333334,9.627615304313682
bulk_small,baseline,30,serial,upstream,baseline,928,0,0.0,0.0,0.0,0.0,111.3631793,7.9144503170340705,186.6866763,13.058477580026672
bulk_small,geometry_only_legacy,30,serial,legacy,geometry_only,928,464,0.4405441,0.01135537487606033,0.3699155666666667,0.010101588760952521,104.90682823333333,5.212193995298604,167.67322766666666,6.978733649580814
bulk_small,geometry_only_upstream,30,serial,upstream,geometry_only,928,464,0.10000913333333333,0.005395641093437868,0.026519233333333333,0.002565082437114917,105.52771126666667,5.186250829204558,169.7932695,10.671772751925813
