system,case,repeat,mode,builder,policy,rank,nedges,npairs,pair_metadata_total_ms,pair_metadata_build_ms,model_inference_ms,compute_total_ms
bulk_small,geometry_only_legacy,11,serial,legacy,geometry_only,0,928,464,0.436993,0.365927,103.557101,164.596614
bulk_small,geometry_only_legacy,12,serial,legacy,geometry_only,0,928,464,0.436082,0.366131,103.088995,164.658106
bulk_small,geometry_only_legacy,13,serial,legacy,geometry_only,0,928,464,0.439946,0.368684,102.259106,162.361596
bulk_small,geometry_only_legacy,14,serial,legacy,geometry_only,0,928,464,0.440489,0.370171,102.626597,162.468452
bulk_small,geometry_only_legacy,15,serial,legacy,geometry_only,0,928,464,0.439075,0.368437,102.394268,163.622032
bulk_small,geometry_only_legacy,16,serial,legacy,geometry_only,0,928,464,0.438386,0.369841,102.660007,163.654082
bulk_small,geometry_only_legacy,17,serial,legacy,geometry_only,0,928,464,0.432289,0.362144,107.27288,169.023888
bulk_small,geometry_only_legacy,18,serial,legacy,geometry_only,0,928,464,0.431155,0.362861,102.456042,190.338996
bulk_small,geometry_only_legacy,19,serial,legacy,geometry_only,0,928,464,0.437903,0.370252,102.149194,161.989025
bulk_small,geometry_only_legacy,20,serial,legacy,geometry_only,0,928,464,0.437412,0.367206,104.104971,165.866936
bulk_small,geometry_only_legacy,21,serial,legacy,geometry_only,0,928,464,0.439133,0.368117,103.307623,165.092391
bulk_small,geometry_only_legacy,22,serial,legacy,geometry_only,0,928,464,0.470857,0.39256,105.795764,168.347024
bulk_small,geometry_only_legacy,23,serial,legacy,geometry_only,0,928,464,0.451374,0.379804,107.467356,169.95239
bulk_small,geometry_only_legacy,24,serial,legacy,geometry_only,0,928,464,0.436405,0.368343,105.950628,167.316439
bulk_small,geometry_only_legacy,25,serial,legacy,geometry_only,0,928,464,0.430025,0.361607,102.336082,163.945889
bulk_small,geometry_only_legacy,26,serial,legacy,geometry_only,0,928,464,0.431982,0.363314,102.788543,164.730994
bulk_small,geometry_only_legacy,27,serial,legacy,geometry_only,0,928,464,0.444381,0.374851,102.437924,164.743773
bulk_small,geometry_only_legacy,28,serial,legacy,geometry_only,0,928,464,0.433606,0.362537,103.273878,166.243259
bulk_small,geometry_only_legacy,29,serial,legacy,geometry_only,0,928,464,0.484943,0.412561,111.888564,174.105023
