dataset,flash_baseline_mean_ms,flash_baseline_std_ms,flash_pair_auto_mean_ms,flash_pair_auto_std_ms,flash_speedup_baseline_over_pair
ani1ccx,13.36594291497022,0.10696565977230302,26.31889709737152,3.3151711706929716,0.5078458594036254
ani1x,13.514200877398252,0.11663183460782062,15.976997464895248,0.23977639222001437,0.8458536034127647
iso17,13.41421960387379,0.08757381236945593,13.732133898884058,0.04574149111645032,0.9768488788886551
md22_ac_ala3_nhme,13.428485416807234,0.08269086376632401,16.01055827923119,0.29548880279654377,0.8387268690203384
md22_at_at,13.535005296580493,0.151373075670388,20.046507008373737,2.1896199727893766,0.6751802341887647
md22_at_at_cg_cg,13.746255985461175,0.11190086910720516,17.369595682248473,1.585707344549279,0.7913975798244798
md22_buckyball_catcher,14.518173690885305,0.20474801010430355,23.74802448321134,2.672738579752494,0.6113423750741425
md22_dha,13.51375998929143,0.08554241342770633,15.977893793024123,0.27350119178507337,0.8457785590733791
md22_double_walled_nanotube,28.269196394830942,0.700932694227669,32.345347572118044,0.296685908254798,0.8739802944396005
md22_stachyose,13.671699189580977,0.10180156582321119,20.531513635069132,2.2151625040129423,0.6658885181377395
mptrj,32.89117307867855,0.48567604177064105,38.0289337830618,0.4788110604731886,0.8648986391863653
oc20_s2ef_train_20m,15.983972698450089,0.20443027375339157,27.30593392625451,1.4330395616841762,0.5853662702626546
oc20_s2ef_train_2m,17.841051262803376,0.10947691711173499,26.08145517297089,3.1252244699965863,0.6840512212406258
oc20_s2ef_val_id,26.72562445513904,1.785322129340646,27.3211020976305,2.0469059573494612,0.9782044794399746
oc20_s2ef_val_ood_ads,15.65638380125165,0.17878521835356942,21.270505408756435,2.3304571778795165,0.7360607329436742
oc20_s2ef_val_ood_both,24.780595465563238,3.310504355804464,27.13731045369059,1.6420976122960114,0.9131559115945167
oc20_s2ef_val_ood_cat,17.020408110693097,0.27291846096923056,25.620360882021487,3.349019600854904,0.6643313179338074
oc22_s2ef_train,27.11769985035062,2.0286776128294552,26.969725801609457,1.6069334762650285,1.0054866723462323
oc22_s2ef_val_id,25.72288925293833,1.723032070044275,27.351747103966773,1.9210757789032884,0.9404477584251936
oc22_s2ef_val_ood,27.958969795145094,0.20485711794459088,29.783737030811608,1.0786551282041659,0.9387327643344833
omat24_1m_official,27.951396093703806,1.0561590461036694,28.234109841287136,0.9140465925673128,0.9899868014549581
omol25_train_4m,28.061865735799074,0.4773061581429834,30.57838948443532,2.60645423134343,0.9177025412042326
omol25_train_neutral,16.325013455934823,0.13074309253368258,26.75257574301213,1.9265969756270966,0.6102221189000455
omol25_validation,28.440270596183836,2.0352160945694555,27.997032273560762,0.684599180281044,1.0158316180905236
phonondb_pbe,13.364682416431606,0.09529087412981745,13.76414995174855,0.1378195026346192,0.9709776821149644
qm9_hf,13.790551014244556,0.3601344689524566,14.585768315009773,0.3642856878392858,0.9454799168894735
rmd17,13.609649357385933,0.2595560153709537,14.502284699119627,0.32997661526096905,0.9384486403174885
salex_train_official,18.168818834237754,0.05928389031314448,27.927195164375007,2.2049835546806897,0.6505780020979189
salex_val_official,27.369054267182946,1.0580549436113993,28.133100480772555,0.9295161602381592,0.9728417344504281
spice_2023,14.489521295763552,0.18072089423484494,26.650120480917394,2.855263886026043,0.5436944011618506
wbm_initial,13.782980502583086,0.0819056245148256,19.29001808166504,1.6778433058969295,0.71451361238918
