dataset,sample_id,modal,natoms,case,repeat_idx_mean,edge_length_norm_ms_mean,edge_length_norm_ms_load_mean,radial_basis_ms_mean,radial_basis_ms_load_mean,cutoff_ms_mean,cutoff_ms_load_mean,radial_combine_ms_mean,radial_combine_ms_load_mean,spherical_harmonics_ms_mean,spherical_harmonics_ms_load_mean,pair_expand_ms_mean,pair_expand_ms_load_mean,conv_weight_nn_ms_mean,conv_weight_nn_ms_load_mean,conv_src_gather_ms_mean,conv_src_gather_ms_load_mean,conv_filter_gather_ms_mean,conv_filter_gather_ms_load_mean,pair_indexing_ms_mean,pair_indexing_ms_load_mean,conv_message_tp_ms_mean,conv_message_tp_ms_load_mean,conv_aggregation_ms_mean,conv_aggregation_ms_load_mean,conv_denominator_ms_mean,conv_denominator_ms_load_mean,top_input_embedding_ms_mean,top_input_embedding_ms_load_mean,top_interaction_other_ms_mean,top_interaction_other_ms_load_mean,top_readout_ms_mean,top_readout_ms_load_mean,top_force_output_ms_mean,top_force_output_ms_load_mean,model_total_ms_mean,model_total_ms_load_mean,other_ms_mean,other_ms_load_mean,repeat_idx_std,edge_length_norm_ms_std,edge_length_norm_ms_load_std,radial_basis_ms_std,radial_basis_ms_load_std,cutoff_ms_std,cutoff_ms_load_std,radial_combine_ms_std,radial_combine_ms_load_std,spherical_harmonics_ms_std,spherical_harmonics_ms_load_std,pair_expand_ms_std,pair_expand_ms_load_std,conv_weight_nn_ms_std,conv_weight_nn_ms_load_std,conv_src_gather_ms_std,conv_src_gather_ms_load_std,conv_filter_gather_ms_std,conv_filter_gather_ms_load_std,pair_indexing_ms_std,pair_indexing_ms_load_std,conv_message_tp_ms_std,conv_message_tp_ms_load_std,conv_aggregation_ms_std,conv_aggregation_ms_load_std,conv_denominator_ms_std,conv_denominator_ms_load_std,top_input_embedding_ms_std,top_input_embedding_ms_load_std,top_interaction_other_ms_std,top_interaction_other_ms_load_std,top_readout_ms_std,top_readout_ms_load_std,top_force_output_ms_std,top_force_output_ms_load_std,model_total_ms_std,model_total_ms_load_std,other_ms_std,other_ms_load_std
ani1ccx,055:0,spice,55,e3nn_baseline,2.0,0.023946864530444145,2042.0,0.03928239457309246,2042.0,0.08286195807158947,2042.0,0.00878162682056427,16336.0,0.20876405760645866,2042.0,0.0,0.0,0.49589071422815323,10210.0,0.1081942580640316,10210.0,0.0,0.0,0.0,0.0,62.055251840502024,10210.0,0.581476604565978,10210.0,0.05493327043950558,0.0,0.9419717825949192,0.0,60.23250292055309,0.0,2.7863243129104376,0.0,26.794428983703256,0.0,155.24978153407574,0.0,63.58119137585163,0.0,1.4142135623730951,0.002337274235750054,0.0,0.000689849883991788,0.0,0.00206817065273126,0.0,0.00034828579934904815,0.0,0.003605761518282961,0.0,0.0,0.0,0.004592768610769954,0.0,0.001535990651796075,0.0,0.0,0.0,0.0,0.0,0.12594112121537254,0.0,0.0017250225004371324,0.0,0.0004914401484477484,0.0,0.0073281081763585535,0.0,0.14033936460989346,0.0,0.0069483131563369315,0.0,0.33639756035837337,0.0,0.4111280078642466,0.0,0.1214858061958514,0.0
ani1ccx,055:0,spice,55,e3nn_pair_full,2.0,0.01977621577680111,1021.0,0.04007606767117977,1021.0,0.08309860713779926,1021.0,0.00905236229300499,8168.0,0.23912861943244934,1021.0,0.07653972133994102,72491.0,0.48103812150657177,5105.0,0.1273161731660366,10210.0,0.0801239162683487,10210.0,0.30262055806815624,25525.0,8.293254720047116,10210.0,0.6481803022325039,10210.0,0.0515475869178772,0.0,0.9653746150434017,0.0,60.704579669982195,0.0,2.7744376100599766,0.0,40.2119480073452,0.0,116.5729021653533,0.0,10.825310926884413,0.0,1.4142135623730951,0.0003119314223131201,0.0,0.00018941728630532192,0.0,0.0008011895544346951,0.0,0.00026225928773862284,0.0,0.004334006230992266,0.0,0.002423745276636493,0.0,0.004013125671040281,0.0,0.0006471794579131092,0.0,0.0001623133607218593,0.0,0.007373144412385394,0.0,0.03403320366261437,0.0,0.002088847955938754,0.0,0.000441954891133803,0.0,0.013884563056760143,0.0,0.1816193985016902,0.0,0.004453875094722678,0.0,0.48072251008404837,0.0,0.48383882535683526,0.0,0.029550597902846164,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,2.0,0.022488972172141075,2008.0,0.04091816954314709,2008.0,0.08276761509478092,2008.0,0.008907588198781013,16064.0,0.288032041862607,2008.0,0.0,0.0,0.4976807627826929,10040.0,0.10777791030704975,10040.0,0.0,0.0,0.0,0.0,62.058664206415415,10040.0,0.5786910653114319,10040.0,0.05620140582323074,0.0,0.947315338999033,0.0,60.34097531810403,0.0,2.783332858234644,0.0,27.11329385638237,0.0,155.77879026532173,0.0,63.588665798306465,0.0,1.4142135623730951,0.00032806019790657906,0.0,0.0017905452202852093,0.0,0.0018821522517093253,0.0,0.00032585719216723393,0.0,0.0054353084514995025,0.0,0.0,0.0,0.003831274954606561,0.0,0.0016058209994912803,0.0,0.0,0.0,0.0,0.0,0.11485962042722021,0.0,0.002319902672794094,0.0,0.0008798137546866676,0.0,0.012983580503159693,0.0,0.08776829430030436,0.0,0.012556390814499274,0.0,0.04391732785299651,0.0,0.16822616354587222,0.0,0.11731751147930801,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,2.0,0.019671209156513214,1004.0,0.03991164267063141,1004.0,0.08371761068701744,1004.0,0.009219953790307045,8032.0,0.2941712271422148,1004.0,0.07681683637201786,71284.0,0.4832537844777107,5020.0,0.12628459371626377,10040.0,0.08008060976862907,10040.0,0.2957797609269619,25100.0,8.33713561296463,10040.0,0.6530861370265484,10040.0,0.05231383256614208,0.0,0.9736290201544762,0.0,60.91236546635628,0.0,2.7796794194728136,0.0,39.945552591234446,0.0,116.63584425114095,0.0,10.874703014269471,0.0,1.4142135623730951,0.00026134923534143684,0.0,0.0008768472198039084,0.0,0.0007150243941675386,0.0,0.0002349845436740945,0.0,0.004083477698775541,0.0,0.0010252830188124096,0.0,0.0051622704625335835,0.0,0.001100997847031989,0.0,0.000299928946832019,0.0,0.0019524173164203586,0.0,0.02271310630264771,0.0,0.005938908171225812,0.0,0.0004630638815423509,0.0,0.00643762343623022,0.0,0.18253504307134244,0.0,0.008120604228312971,0.0,0.14311209043011355,0.0,0.30648541271840335,0.0,0.020041030706439724,0.0
iso17,iso17,spice,19,e3nn_baseline,2.0,0.02273842692375183,340.0,0.03898041322827339,340.0,0.08165664039552212,340.0,0.009715976193547249,2720.0,0.28747464530169964,340.0,0.0,0.0,0.4444465506821871,1700.0,0.06944481283426285,1700.0,0.0,0.0,0.0,0.0,61.296635726466775,1700.0,0.2556649502366781,1700.0,0.051980651915073395,0.0,0.9338764008134604,0.0,60.30031121335924,0.0,2.8145859949290752,0.0,27.32301321811974,0.0,154.76702866144478,0.0,62.40492393262684,0.0,1.4142135623730951,0.0010084860095499718,0.0,0.0007273325607966552,0.0,0.001487025992795886,0.0,0.0018125309731348268,0.0,0.005256825352528654,0.0,0.0,0.0,0.0030702820422368036,0.0,0.0020802432927211146,0.0,0.0,0.0,0.0,0.0,0.24942660752258594,0.0,0.004483630717282014,0.0,0.0004910487453837943,0.0,0.007324781362928805,0.0,0.0922916734922364,0.0,0.034023853143647094,0.0,0.042132227370582545,0.0,0.33249724459669217,0.0,0.24738233266885842,0.0
iso17,iso17,spice,19,e3nn_pair_full,2.0,0.019149156287312508,170.0,0.0383768230676651,170.0,0.08423915132880211,170.0,0.008861999958753586,1360.0,0.288236141204834,170.0,0.07461491040885448,12070.0,0.45813373290002346,850.0,0.094212731346488,1700.0,0.07948428392410278,1700.0,0.22703963331878185,4250.0,8.078037481755018,1700.0,0.44492585584521294,1700.0,0.048608751967549324,0.0,0.9471417404711246,0.0,60.384386545047164,0.0,2.782269613817334,0.0,40.016588754951954,0.0,115.51973419263959,0.0,10.261576157063246,0.0,1.4142135623730951,0.0002570299299020437,0.0,0.0005316747859300975,0.0,0.001891305194551577,0.0,0.0001138344233759257,0.0,0.002308480982817546,0.0,0.0016099402554213384,0.0,0.00180324119306098,0.0,0.0003213438966261813,0.0,0.0019773123603527834,0.0,0.0005483956269748748,0.0,0.05584080504914221,0.0,0.009064342556057536,0.0,0.0005073247547494983,0.0,0.01050364842314622,0.0,0.10911928173675176,0.0,0.008376835902127424,0.0,0.06901304041720588,0.0,0.14025289019092868,0.0,0.06568737688209925,0.0
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,2.0,0.02240925095975399,1142.0,0.0404182355850935,1142.0,0.08773878216743469,1142.0,0.00971299596130848,9136.0,0.2955836709588766,1142.0,0.0,0.0,0.4726497456431389,5710.0,0.08758376352488995,5710.0,0.0,0.0,0.0,0.0,61.549247335642576,5710.0,0.3618888556957245,5710.0,0.054297083988785744,0.0,0.940094469115138,0.0,60.36539408378303,0.0,2.7936085127294064,0.0,27.202296443283558,0.0,155.13213640078902,0.0,62.81553786247969,0.0,1.4142135623730951,0.0003042376202139965,0.0,0.0022417920566512764,0.0,0.010654671171434307,0.0,0.0018853183861593302,0.0,0.009674920608971224,0.0,0.0,0.0,0.006751289673020277,0.0,0.0006510973400388328,0.0,0.0,0.0,0.0,0.0,0.1418881108791865,0.0,0.0034645673301169615,0.0,0.0018004607173424969,0.0,0.008582352048740272,0.0,0.07853866331962689,0.0,0.014692298869270827,0.0,0.04898905049913133,0.0,0.07109740959473951,0.0,0.13056527712012117,0.0
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,2.0,0.01950361765921116,571.0,0.03952463157474995,571.0,0.08369688875973225,571.0,0.008900603279471397,4568.0,0.2952500246465206,571.0,0.07701735012233257,40541.0,0.46148207038640976,2855.0,0.10909317061305046,5710.0,0.0801572110503912,5710.0,0.26373504661023617,14275.0,9.56964511424303,5710.0,0.5218767561018467,5710.0,0.05055330693721771,0.0,0.9842501487582922,0.0,60.78433902002871,0.0,2.7796142734587193,0.0,40.08763814345002,0.0,117.68090166151524,0.0,11.895814212039113,0.0,1.4142135623730951,0.00036774391327474865,0.0,0.0004142776520426625,0.0,0.0006023115284952887,0.0,0.000153344559796628,0.0,0.0011595948800748282,0.0,0.002792126159964591,0.0,0.0018109055971134475,0.0,0.0005552658050260338,0.0,0.0015911776100414315,0.0,0.0020613505243769433,0.0,0.021205297263552633,0.0,0.004457173640912972,0.0,0.00045928421814777677,0.0,0.01245655270067781,0.0,0.09093953461843239,0.0,0.006525182942996463,0.0,0.06678152293947459,0.0,0.09624017568703827,0.0,0.027155987664607386,0.0
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,2.0,0.023655546829104424,1312.0,0.03987518139183521,1312.0,0.08414862677454948,1312.0,0.008959183469414711,10496.0,0.28820978477597237,1312.0,0.0,0.0,0.4747813567519188,6560.0,0.09147599339485168,6560.0,0.0,0.0,0.0,0.0,61.49818925186992,6560.0,0.41206772439181805,6560.0,0.056932494044303894,0.0,0.9474252350628376,0.0,60.324066830798984,0.0,2.7999304234981537,0.0,27.212778013199568,0.0,155.11380056850612,0.0,62.81942534260452,0.0,1.4142135623730951,0.0011728753802246396,0.0,0.00168601394350009,0.0,0.0029375137726591195,0.0,0.00014387175007789588,0.0,0.003893776509968742,0.0,0.0,0.0,0.0022286881602272737,0.0,0.0012131986184036497,0.0,0.0,0.0,0.0,0.0,0.19977332492659924,0.0,0.003146382681580062,0.0,0.0020424576074030624,0.0,0.020593168710892562,0.0,0.17813566196974037,0.0,0.01765361134806704,0.0,0.14139868366168692,0.0,0.40291715423424174,0.0,0.19968727713265044,0.0
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,2.0,0.01991875469684601,656.0,0.04000961780548096,656.0,0.0836358405649662,656.0,0.009044818580150604,5248.0,0.30182572081685066,656.0,0.07796618156135082,46576.0,0.4702648613601923,3280.0,0.11266032233834267,6560.0,0.07980992086231709,6560.0,0.27193203568458557,16400.0,8.01279111765325,6560.0,0.5462441127747297,6560.0,0.05180868320167065,0.0,0.9882204234600067,0.0,60.7327576726675,0.0,2.7834948617964983,0.0,39.902602368965745,0.0,115.95955034717917,0.0,10.390304261818528,0.0,1.4142135623730951,0.00015384997922369135,0.0,0.00029965862843675154,0.0,0.0010748282370507856,0.0,0.00016252388810589091,0.0,0.0038720069242237027,0.0,0.0014346786018529917,0.0,0.00862506230935052,0.0,0.0008715482852639332,0.0,0.00040889661691220726,0.0,0.0022241643956392465,0.0,0.056488787969014874,0.0,0.004202790016086822,0.0,0.00042008199029763447,0.0,0.01019367898804606,0.0,0.0873389887454338,0.0,0.009134106942455186,0.0,0.07459185505687825,0.0,0.09643637356130899,0.0,0.05852648522091867,0.0
