dataset,flash_baseline_mean_ms,flash_baseline_std_ms,flash_pair_auto_mean_ms,flash_pair_auto_std_ms,flash_speedup_baseline_over_pair,natoms,num_edges,avg_neighbors_directed,density_bucket
ani1ccx,13.36594291497022,0.106965659772303,26.31889709737152,3.315171170692972,0.5078458594036254,55,2042,37.127272727272725,small_sparse
ani1x,13.514200877398252,0.1166318346078206,15.976997464895248,0.2397763922200143,0.8458536034127647,63,2008,31.873015873015877,small_sparse
iso17,13.41421960387379,0.0875738123694559,13.732133898884058,0.0457414911164503,0.9768488788886552,19,340,17.894736842105264,small_sparse
md22_ac_ala3_nhme,13.428485416807234,0.082690863766324,16.01055827923119,0.2954888027965437,0.8387268690203384,42,1142,27.19047619047619,small_sparse
md22_at_at,13.535005296580492,0.151373075670388,20.046507008373737,2.1896199727893766,0.6751802341887647,60,1312,21.866666666666667,small_sparse
md22_at_at_cg_cg,13.746255985461175,0.1119008691072051,17.369595682248473,1.585707344549279,0.7913975798244798,118,3740,31.694915254237287,large_sparse
md22_buckyball_catcher,14.518173690885304,0.2047480101043035,23.74802448321134,2.672738579752494,0.6113423750741425,148,6872,46.43243243243244,large_dense
md22_dha,13.51375998929143,0.0855424134277063,15.977893793024124,0.2735011917850733,0.8457785590733791,56,1406,25.107142857142858,small_sparse
md22_double_walled_nanotube,28.269196394830946,0.700932694227669,32.345347572118044,0.296685908254798,0.8739802944396005,370,24024,64.92972972972973,large_dense
md22_stachyose,13.671699189580975,0.1018015658232111,20.53151363506913,2.2151625040129423,0.6658885181377395,87,3532,40.59770114942529,large_dense
mptrj,32.89117307867855,0.485676041770641,38.0289337830618,0.4788110604731886,0.8648986391863653,444,27612,62.18918918918919,large_dense
oc20_s2ef_train_20m,15.983972698450089,0.2044302737533915,27.30593392625451,1.4330395616841762,0.5853662702626546,225,8260,36.71111111111111,large_sparse
oc20_s2ef_train_2m,17.841051262803376,0.1094769171117349,26.08145517297089,3.1252244699965863,0.6840512212406258,225,10738,47.72444444444445,large_dense
oc20_s2ef_val_id,26.72562445513904,1.785322129340646,27.3211020976305,2.046905957349461,0.9782044794399746,225,15230,67.68888888888888,large_dense
oc20_s2ef_val_ood_ads,15.65638380125165,0.1787852183535694,21.270505408756435,2.3304571778795165,0.7360607329436742,225,6686,29.71555555555556,large_sparse
oc20_s2ef_val_ood_both,24.78059546556324,3.310504355804464,27.13731045369059,1.6420976122960114,0.9131559115945168,223,11486,51.506726457399104,large_dense
oc20_s2ef_val_ood_cat,17.020408110693097,0.2729184609692305,25.620360882021487,3.349019600854904,0.6643313179338074,225,10270,45.644444444444446,large_dense
oc22_s2ef_train,27.11769985035062,2.0286776128294552,26.969725801609457,1.6069334762650285,1.0054866723462323,228,14238,62.44736842105263,large_dense
oc22_s2ef_val_id,25.72288925293833,1.723032070044275,27.351747103966773,1.9210757789032884,0.9404477584251936,200,11704,58.52,large_dense
oc22_s2ef_val_ood,27.95896979514509,0.2048571179445908,29.783737030811608,1.078655128204166,0.9387327643344832,216,18264,84.55555555555556,large_dense
omat24_1m_official,27.951396093703806,1.0561590461036694,28.234109841287136,0.9140465925673128,0.989986801454958,160,15224,95.15,large_dense
omol25_train_4m,28.061865735799078,0.4773061581429834,30.57838948443532,2.60645423134343,0.9177025412042326,350,19152,54.72,large_dense
omol25_train_neutral,16.325013455934823,0.1307430925336825,26.75257574301213,1.9265969756270969,0.6102221189000455,181,9926,54.83977900552486,large_dense
omol25_validation,28.44027059618384,2.0352160945694555,27.99703227356076,0.684599180281044,1.0158316180905236,350,17972,51.34857142857143,large_dense
phonondb_pbe,13.364682416431606,0.0952908741298174,13.76414995174855,0.1378195026346192,0.9709776821149644,8,208,26.0,small_sparse
qm9_hf,13.790551014244556,0.3601344689524566,14.585768315009773,0.3642856878392858,0.9454799168894736,29,570,19.655172413793103,small_sparse
rmd17,13.609649357385932,0.2595560153709537,14.502284699119627,0.329976615260969,0.9384486403174884,24,366,15.25,small_sparse
salex_train_official,18.168818834237754,0.0592838903131444,27.927195164375007,2.2049835546806897,0.6505780020979189,132,9932,75.24242424242425,large_dense
salex_val_official,27.369054267182943,1.0580549436113993,28.133100480772555,0.9295161602381592,0.972841734450428,128,13088,102.25,large_dense
spice_2023,14.489521295763552,0.1807208942348449,26.650120480917398,2.855263886026043,0.5436944011618506,89,728,8.179775280898877,small_sparse
wbm_initial,13.782980502583086,0.0819056245148256,19.29001808166504,1.6778433058969295,0.71451361238918,100,2260,22.6,small_sparse
