structure_class,num_samples,mean_speedup,median_speedup,mean_atoms,mean_neighbors
bulk_like,12,1.1776469843913042,1.118171614782889,157.66666666666666,55.348740991343966
molecule_like,3,1.1382316944648945,1.1276856805707294,110.0,31.078787878787878
surface_like,6,1.113536891722329,1.1139289688839649,212.5,62.49
