system,case,repeat,mode,builder,policy,rank,nedges,npairs,pair_metadata_total_ms,pair_metadata_build_ms,model_inference_ms,compute_total_ms
bulk_small,baseline,0,serial,upstream,baseline,0,928,0,0.0,0.0,97.781693,230.277091
bulk_small,baseline,1,serial,upstream,baseline,0,928,0,0.0,0.0,97.589956,193.313657
bulk_small,baseline,2,serial,upstream,baseline,0,928,0,0.0,0.0,96.836203,168.08507
bulk_small,baseline,3,serial,upstream,baseline,0,928,0,0.0,0.0,97.078199,166.294806
bulk_small,baseline,4,serial,upstream,baseline,0,928,0,0.0,0.0,130.779008,202.029319
bulk_small,baseline,5,serial,upstream,baseline,0,928,0,0.0,0.0,139.333971,208.382984
bulk_small,baseline,6,serial,upstream,baseline,0,928,0,0.0,0.0,97.043064,166.700502
bulk_small,baseline,7,serial,upstream,baseline,0,928,0,0.0,0.0,131.670319,200.052756
bulk_small,baseline,8,serial,upstream,baseline,0,928,0,0.0,0.0,139.817466,211.124928
bulk_small,baseline,9,serial,upstream,baseline,0,928,0,0.0,0.0,103.585723,174.25333
bulk_small,baseline,10,serial,upstream,baseline,0,928,0,0.0,0.0,98.470065,175.689689
bulk_small,baseline,11,serial,upstream,baseline,0,928,0,0.0,0.0,135.025385,227.747592
bulk_small,baseline,12,serial,upstream,baseline,0,928,0,0.0,0.0,113.275388,185.348412
bulk_small,baseline,13,serial,upstream,baseline,0,928,0,0.0,0.0,105.137237,176.184665
bulk_small,baseline,14,serial,upstream,baseline,0,928,0,0.0,0.0,97.698807,168.718611
bulk_small,baseline,15,serial,upstream,baseline,0,928,0,0.0,0.0,114.18484,185.308399
bulk_small,baseline,16,serial,upstream,baseline,0,928,0,0.0,0.0,96.746711,164.961235
bulk_small,baseline,17,serial,upstream,baseline,0,928,0,0.0,0.0,97.717589,194.755882
bulk_small,baseline,18,serial,upstream,baseline,0,928,0,0.0,0.0,97.689699,168.105105
bulk_small,baseline,19,serial,upstream,baseline,0,928,0,0.0,0.0,98.140465,168.382142
bulk_small,baseline,20,serial,upstream,baseline,0,928,0,0.0,0.0,98.670631,169.342005
bulk_small,baseline,21,serial,upstream,baseline,0,928,0,0.0,0.0,101.086702,170.275977
bulk_small,baseline,22,serial,upstream,baseline,0,928,0,0.0,0.0,100.992119,173.851305
bulk_small,baseline,23,serial,upstream,baseline,0,928,0,0.0,0.0,96.763812,167.898226
bulk_small,baseline,24,serial,upstream,baseline,0,928,0,0.0,0.0,109.890279,180.556049
bulk_small,baseline,25,serial,upstream,baseline,0,928,0,0.0,0.0,116.172607,186.551459
bulk_small,baseline,26,serial,upstream,baseline,0,928,0,0.0,0.0,117.892693,188.179543
