dataset,sample_id,natoms,modal,loader,category,source_kind,local_path,num_edges,num_pairs,avg_neighbors_directed,pair_reuse_factor,reverse_pair_fraction,baseline_edge_embedding_evals,pair_edge_embedding_evals,baseline_weight_nn_rows_total,pair_weight_nn_rows_total,baseline_tp_rows_total,pair_tp_rows_total,baseline_scatter_rows_total,pair_scatter_rows_total,density_bucket
mptrj,mp-1204603,444,mpa,nimashoghi,materials,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/mptrj,27612,13806,62.189189189189186,2.0,1.0,27612,13806,138060,69030,138060,138060,138060,138060,large_dense
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,225,oc20,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_ads,6686,3343,29.715555555555557,2.0,1.0,6686,3343,33430,16715,33430,33430,33430,33430,large_sparse
oc22_s2ef_val_ood,is2re_val_ood_43,216,oc22,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_ood,18264,9132,84.55555555555556,2.0,1.0,18264,9132,91320,45660,91320,91320,91320,91320,large_dense
omat24_1m_official,train:106751,160,omat24,tar_aselmdb,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/omat24_1m/omat24_1M_251210.tar.gz,15224,7612,95.15,2.0,1.0,15224,7612,76120,38060,76120,76120,76120,76120,large_dense
omol25_validation,OMol25_validation_data0012_18589,350,omol25_low,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_validation,17972,8986,51.348571428571425,2.0,1.0,17972,8986,89860,44930,89860,89860,89860,89860,large_dense
phonondb_pbe,phonondb_pbe.extxyz:0,8,matpes_r2scan,extxyz_file,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/phonondb_pbe.extxyz.zip,208,104,26.0,2.0,1.0,208,104,1040,520,1040,1040,1040,1040,small_sparse
qm9_hf,0_3057,29,qcml,qm9_like,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/qm9_hf,570,285,19.655172413793103,2.0,1.0,570,285,2850,1425,2850,2850,2850,2850,small_sparse
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/spice_2023,728,364,8.179775280898877,2.0,1.0,728,364,3640,1820,3640,3640,3640,3640,small_sparse
wbm_initial,wbm_initial:23057,100,matpes_pbe,extxyz_file,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/wbm_initial.extxyz.zip,2260,1130,22.6,2.0,1.0,2260,1130,11300,5650,11300,11300,11300,11300,small_sparse
