dataset,sample_id,modal,natoms,num_edges,avg_neighbors_directed,density_bucket,case,label_ko,enable_flash,enable_pair_execution,requested_pair_policy,n_warmup,n_repeat,status,device,resolved_policy,timing_ms,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,speedup_vs_baseline,energy,abs_energy_diff_vs_baseline,max_abs_force_diff_vs_baseline,error_type,error_message
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,18264,84.55555555555556,large_dense,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,86.62793505936861,86.62793505936861,0.0,86.62793505936861,86.62793505936861,70.75722794979811,0.0,4.3246895559525935,-992.98486328125,6.103515625e-05,8.940696716308594e-07,,
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,18264,84.55555555555556,large_dense,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,88.990697870031,88.990697870031,0.0,88.990697870031,88.990697870031,74.24078998155892,0.0,4.209866143000059,-992.98486328125,6.103515625e-05,2.041459083557129e-06,,
omat24_1m_official,train:106751,omat24,160,15224,95.15,large_dense,sevennet_baseline,기본 SevenNet,False,False,none,1,1,ok,cuda,baseline,332.2363819461316,332.2363819461316,0.0,332.2363819461316,332.2363819461316,305.6366101372987,0.0,1.0,-532.0814208984375,0.0,9.1552734375e-05,,
omat24_1m_official,train:106751,omat24,160,15224,95.15,large_dense,sevennet_pair_full,제안기법,False,True,full,1,1,ok,cuda,full,286.17831505835056,286.17831505835056,0.0,286.17831505835056,286.17831505835056,373.9531459286809,0.0,1.1609418480166465,-532.0814819335938,6.103515625e-05,0.0001220703125,,
omat24_1m_official,train:106751,omat24,160,15224,95.15,large_dense,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,88.30255689099431,88.30255689099431,0.0,88.30255689099431,88.30255689099431,68.88013402931392,0.0,3.762477482461386,-532.0814208984375,0.0,0.00018310546875,,
omat24_1m_official,train:106751,omat24,160,15224,95.15,large_dense,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,86.49726514704525,86.49726514704525,0.0,86.49726514704525,86.49726514704525,71.40278094448149,0.0,3.841004468538168,-532.0814208984375,0.0,0.0001220703125,,
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,17972,51.348571428571425,large_dense,sevennet_baseline,기본 SevenNet,False,False,none,1,1,ok,cuda,baseline,367.7964711096138,367.7964711096138,0.0,367.7964711096138,367.7964711096138,342.0461460482329,0.0,1.0,-210737.5625,0.0,2.1457672119140625e-06,,
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,17972,51.348571428571425,large_dense,sevennet_pair_full,제안기법,False,True,full,1,1,ok,cuda,full,324.264318915084,324.264318915084,0.0,324.264318915084,324.264318915084,422.8529951069504,0.0,1.1342489742324369,-210737.5625,0.0,3.5762786865234375e-06,,
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,17972,51.348571428571425,large_dense,flashtp_baseline,FlashTP,True,False,none,1,1,ok,cuda,baseline,84.33028892613947,84.33028892613947,0.0,84.33028892613947,84.33028892613947,75.86603099480271,0.0,4.3613804220657615,-210737.5625,0.0,2.6226043701171875e-06,,
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,17972,51.348571428571425,large_dense,flashtp_pair_full,FlashTP + 제안기법,True,True,full,1,1,ok,cuda,full,86.80545398965478,86.80545398965478,0.0,86.80545398965478,86.80545398965478,71.58691389486194,0.0,4.237020304662501,-210737.5625,0.0,3.337860107421875e-06,,
