dataset,modal,num_edges,neighbors,proposal_vs_sevennet,flash_vs_sevennet,flash_pair_vs_flash
oc20_s2ef_val_ood_ads,oc20,6686,29.71555555555556,1.3661272326720095,2.6444912871426998,0.9901920530925727
wbm_initial,matpes_pbe,2260,22.6,1.3292153026623985,1.9310890520848272,0.9923164035155471
qm9_hf,qcml,570,19.655172413793103,1.3259471951840693,1.925893677812095,0.9992119801123689
phonondb_pbe,matpes_r2scan,208,26.0,1.3222114475989495,1.8791055872198534,1.0162571453726672
spice_2023,spice,728,8.179775280898877,1.3180098808244254,1.9152681446629702,0.992113638892785
omat24_1m_official,omat24,15224,95.15,1.1609418480166465,3.762477482461386,1.0208710846623885
omol25_validation,omol25_low,17972,51.34857142857143,1.1342489742324369,4.3613804220657615,0.9714860651058828
oc22_s2ef_val_ood,oc22,18264,84.55555555555556,1.1333777930912268,4.324689555952593,0.9734493282195275
mptrj,mpa,27612,62.18918918918919,0.6628815717052668,5.482188558035083,0.9615678161865838
