repeat,stage,time_ms,quadrant,dataset,lmax
3,0_convolution.aggregation_ms,0.05316385067999363,small_sparse,spice_2023,1
3,0_convolution.denominator_ms,0.01243501901626587,small_sparse,spice_2023,1
3,1_convolution.weight_nn_ms,0.10633585043251514,small_sparse,spice_2023,1
3,1_convolution.src_gather_ms,0.01584296114742756,small_sparse,spice_2023,1
3,1_convolution.message_tp_ms,0.2518880646675825,small_sparse,spice_2023,1
3,1_convolution.aggregation_ms,0.04859594628214836,small_sparse,spice_2023,1
3,1_convolution.denominator_ms,0.011431984603404999,small_sparse,spice_2023,1
3,2_convolution.weight_nn_ms,0.0958489254117012,small_sparse,spice_2023,1
3,2_convolution.src_gather_ms,0.013977987691760063,small_sparse,spice_2023,1
3,2_convolution.message_tp_ms,0.11599319986999035,small_sparse,spice_2023,1
3,2_convolution.aggregation_ms,0.042004045099020004,small_sparse,spice_2023,1
3,2_convolution.denominator_ms,0.01027504913508892,small_sparse,spice_2023,1
3,top_force_output_ms,3.1062669586390257,small_sparse,spice_2023,1
3,model_total_ms,6.331345997750759,small_sparse,spice_2023,1
4,edge_length_norm_ms,0.017434824258089066,small_sparse,spice_2023,1
4,radial_basis_ms,0.04860782064497471,small_sparse,spice_2023,1
4,cutoff_ms,0.07172301411628723,small_sparse,spice_2023,1
4,radial_combine_ms,0.009773997589945793,small_sparse,spice_2023,1
4,spherical_harmonics_ms,0.17531192861497402,small_sparse,spice_2023,1
4,0_convolution.weight_nn_ms,0.10505691170692444,small_sparse,spice_2023,1
4,0_convolution.src_gather_ms,0.015144003555178642,small_sparse,spice_2023,1
4,0_convolution.message_tp_ms,0.1065859105437994,small_sparse,spice_2023,1
4,0_convolution.aggregation_ms,0.042903004214167595,small_sparse,spice_2023,1
4,0_convolution.denominator_ms,0.010712072253227234,small_sparse,spice_2023,1
4,1_convolution.weight_nn_ms,0.09527592919766903,small_sparse,spice_2023,1
4,1_convolution.src_gather_ms,0.013179844245314598,small_sparse,spice_2023,1
4,1_convolution.message_tp_ms,0.22258097305893898,small_sparse,spice_2023,1
4,1_convolution.aggregation_ms,0.04097307100892067,small_sparse,spice_2023,1
4,1_convolution.denominator_ms,0.009249895811080933,small_sparse,spice_2023,1
4,2_convolution.weight_nn_ms,0.08136499673128128,small_sparse,spice_2023,1
4,2_convolution.src_gather_ms,0.012006843462586403,small_sparse,spice_2023,1
4,2_convolution.message_tp_ms,0.10119890794157982,small_sparse,spice_2023,1
4,2_convolution.aggregation_ms,0.04053488373756409,small_sparse,spice_2023,1
4,2_convolution.denominator_ms,0.008681090548634529,small_sparse,spice_2023,1
4,top_force_output_ms,2.710506087169051,small_sparse,spice_2023,1
4,model_total_ms,5.474214907735586,small_sparse,spice_2023,1
5,edge_length_norm_ms,0.01543085090816021,small_sparse,spice_2023,1
5,radial_basis_ms,0.03606081008911133,small_sparse,spice_2023,1
5,cutoff_ms,0.05655991844832897,small_sparse,spice_2023,1
5,radial_combine_ms,0.007881084457039833,small_sparse,spice_2023,1
5,spherical_harmonics_ms,0.07372000254690647,small_sparse,spice_2023,1
5,0_convolution.weight_nn_ms,0.0892719253897667,small_sparse,spice_2023,1
5,0_convolution.src_gather_ms,0.012140022590756416,small_sparse,spice_2023,1
5,0_convolution.message_tp_ms,0.08719810284674168,small_sparse,spice_2023,1
5,0_convolution.aggregation_ms,0.038190046325325966,small_sparse,spice_2023,1
5,0_convolution.denominator_ms,0.008906936272978783,small_sparse,spice_2023,1
5,1_convolution.weight_nn_ms,0.08227210491895676,small_sparse,spice_2023,1
5,1_convolution.src_gather_ms,0.01167389564216137,small_sparse,spice_2023,1
5,1_convolution.message_tp_ms,0.19595306366682053,small_sparse,spice_2023,1
5,1_convolution.aggregation_ms,0.04085502587258816,small_sparse,spice_2023,1
5,1_convolution.denominator_ms,0.008936971426010132,small_sparse,spice_2023,1
5,2_convolution.weight_nn_ms,0.07473304867744446,small_sparse,spice_2023,1
5,2_convolution.src_gather_ms,0.011160969734191895,small_sparse,spice_2023,1
5,2_convolution.message_tp_ms,0.09423610754311085,small_sparse,spice_2023,1
5,2_convolution.aggregation_ms,0.0348980538547039,small_sparse,spice_2023,1
5,2_convolution.denominator_ms,0.00889715738594532,small_sparse,spice_2023,1
5,top_force_output_ms,2.7474460657685995,small_sparse,spice_2023,1
5,model_total_ms,5.12559013441205,small_sparse,spice_2023,1
6,edge_length_norm_ms,0.015260186046361923,small_sparse,spice_2023,1
6,radial_basis_ms,0.03069383092224598,small_sparse,spice_2023,1
6,cutoff_ms,0.05502416752278805,small_sparse,spice_2023,1
6,radial_combine_ms,0.007768161594867706,small_sparse,spice_2023,1
6,spherical_harmonics_ms,0.07472489960491657,small_sparse,spice_2023,1
6,0_convolution.weight_nn_ms,0.08438690565526485,small_sparse,spice_2023,1
6,0_convolution.src_gather_ms,0.01192302443087101,small_sparse,spice_2023,1
6,0_convolution.message_tp_ms,0.0877769198268652,small_sparse,spice_2023,1
6,0_convolution.aggregation_ms,0.03780401311814785,small_sparse,spice_2023,1
