quadrant,dataset,natoms,num_edges,avg_neighbors_directed,lmax,trainable_params,mean_ms,std_ms,median_ms,p95_ms
large_dense,mptrj,444,16720,37.65765765765766,1,35296,4.880449072519938,0.055767562584958935,4.875808000564575,4.9716432094573975
large_dense,mptrj,444,16720,37.65765765765766,2,56288,6.8974623839060465,0.06410029000686376,6.902912139892578,6.990976095199585
large_dense,mptrj,444,16720,37.65765765765766,3,89312,15.029813289642334,0.09085961897373651,15.011919975280762,15.175747060775757
large_dense,mptrj,444,16720,37.65765765765766,4,138208,43.61375020345052,0.06052828987692635,43.60203170776367,43.74110412597656
large_dense,mptrj,444,16720,37.65765765765766,5,206816,110.15231068929036,0.19945268891414908,110.15801620483398,110.4195068359375
large_dense,mptrj,444,16720,37.65765765765766,6,298976,246.4282689412435,0.18870049107659137,246.38936614990234,246.71935424804687
large_dense,mptrj,444,16720,37.65765765765766,7,418528,504.47027893066405,0.22573742495093227,504.4760437011719,504.8452896118164
large_dense,mptrj,444,16720,37.65765765765766,8,569312,958.0579121907552,0.31000512872514935,958.0243225097656,958.5906311035156
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,1,35296,4.8725866635640465,0.11508427366844447,4.830719947814941,5.104691076278686
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,2,56288,6.877989355723063,0.11698974327004123,6.844640016555786,7.0919040679931635
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,3,89312,9.843985080718994,0.07941133086876923,9.858048439025879,9.960412836074829
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,4,138208,15.317299207051596,0.0874319532489,15.338592052459717,15.42629771232605
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,5,206816,32.97432289123535,0.11294956245821088,32.98052787780762,33.148879814147946
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,6,298976,74.52100346883138,0.1121158516486147,74.5517578125,74.65451507568359
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,7,418528,158.2268859863281,0.1687628122342528,158.1849594116211,158.49487228393554
large_sparse,oc20_s2ef_train_20m,225,5138,22.835555555555555,8,569312,298.1288604736328,0.38679858713207016,298.09254455566406,298.666926574707
small_dense,salex_val_official,128,7464,58.3125,1,33744,4.855475187301636,0.04625492054449395,4.859488010406494,4.931382489204407
small_dense,salex_val_official,128,7464,58.3125,2,53968,6.995905017852783,0.16343543612052253,6.998063802719116,7.209641551971435
small_dense,salex_val_official,128,7464,58.3125,3,86224,9.73062505722046,0.09566849650297145,9.7193603515625,9.866566467285157
small_dense,salex_val_official,128,7464,58.3125,4,134352,20.022938791910807,0.07989045869773924,20.03339195251465,20.144127559661865
small_dense,salex_val_official,128,7464,58.3125,5,202192,47.43754590352376,0.1687346553169002,47.41415977478027,47.80965709686279
small_dense,salex_val_official,128,7464,58.3125,6,293584,111.93624725341797,0.12138644109095169,111.94913482666016,112.07694015502929
small_dense,salex_val_official,128,7464,58.3125,7,412368,225.33604838053387,0.2006904983458247,225.34048461914062,225.63701934814452
small_dense,salex_val_official,128,7464,58.3125,8,562384,427.1526845296224,0.2791924180199294,427.18572998046875,427.4884521484375
small_sparse,spice_2023,89,438,4.921348314606742,1,33744,4.815951999028524,0.05904557312234501,4.800352096557617,4.917895889282226
small_sparse,spice_2023,89,438,4.921348314606742,2,53968,7.003456036249797,0.5647028574939899,6.8839521408081055,7.283236789703369
small_sparse,spice_2023,89,438,4.921348314606742,3,86224,9.766913159688313,0.109919121917135,9.73198413848877,9.997977542877196
small_sparse,spice_2023,89,438,4.921348314606742,4,134352,14.418762715657552,0.19481332380245575,14.383167743682861,14.639731121063232
small_sparse,spice_2023,89,438,4.921348314606742,5,202192,20.362114270528156,0.12158492920559444,20.338000297546387,20.562910175323488
small_sparse,spice_2023,89,438,4.921348314606742,6,293584,28.45231990814209,0.19561881273236062,28.43135929107666,28.709632396697998
small_sparse,spice_2023,89,438,4.921348314606742,7,412368,38.54094301859538,0.3418304819970918,38.54836845397949,39.07963466644287
small_sparse,spice_2023,89,438,4.921348314606742,8,562384,51.39080759684245,0.492143909501827,51.332448959350586,52.22440776824951
