system,category,case,mode,repeat,stage,ms,num_edges,num_pairs
dimer_small,small_sparse,baseline,forward_energy,4,conv_message_gather_ms,0.11000619269907475,2,0
dimer_small,small_sparse,baseline,forward_energy,4,model_total_ms,2.8926099184900522,2,0
dimer_small,small_sparse,baseline,forward_energy,5,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,5,edge_length_norm_ms,0.014269957318902016,2,0
dimer_small,small_sparse,baseline,forward_energy,5,radial_basis_cutoff_ms,0.10128389112651348,2,0
dimer_small,small_sparse,baseline,forward_energy,5,spherical_harmonics_ms,0.13452698476612568,2,0
dimer_small,small_sparse,baseline,forward_energy,5,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,5,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,5,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,5,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,5,conv_weight_nn_ms,0.20723207853734493,2,0
dimer_small,small_sparse,baseline,forward_energy,5,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,5,conv_src_gather_ms,0.03264867700636387,2,0
dimer_small,small_sparse,baseline,forward_energy,5,conv_message_tp_ms,0.6027240306138992,2,0
dimer_small,small_sparse,baseline,forward_energy,5,conv_message_gather_ms,0.10597473010420799,2,0
dimer_small,small_sparse,baseline,forward_energy,5,model_total_ms,2.8470519464462996,2,0
dimer_small,small_sparse,baseline,forward_energy,6,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,6,edge_length_norm_ms,0.013177981600165367,2,0
dimer_small,small_sparse,baseline,forward_energy,6,radial_basis_cutoff_ms,0.0831738580018282,2,0
dimer_small,small_sparse,baseline,forward_energy,6,spherical_harmonics_ms,0.1255609095096588,2,0
dimer_small,small_sparse,baseline,forward_energy,6,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,6,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,6,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,6,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,6,conv_weight_nn_ms,0.2058260142803192,2,0
dimer_small,small_sparse,baseline,forward_energy,6,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,6,conv_src_gather_ms,0.0327469315379858,2,0
dimer_small,small_sparse,baseline,forward_energy,6,conv_message_tp_ms,0.5683372728526592,2,0
dimer_small,small_sparse,baseline,forward_energy,6,conv_message_gather_ms,0.10426295921206474,2,0
dimer_small,small_sparse,baseline,forward_energy,6,model_total_ms,2.7429538313299417,2,0
dimer_small,small_sparse,baseline,forward_energy,7,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,7,edge_length_norm_ms,0.01298799179494381,2,0
dimer_small,small_sparse,baseline,forward_energy,7,radial_basis_cutoff_ms,0.07840595208108425,2,0
dimer_small,small_sparse,baseline,forward_energy,7,spherical_harmonics_ms,0.1338671427220106,2,0
dimer_small,small_sparse,baseline,forward_energy,7,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,7,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,7,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,7,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,7,conv_weight_nn_ms,0.2072686329483986,2,0
dimer_small,small_sparse,baseline,forward_energy,7,conv_weight_expand_ms,0.0,2,0
