dataset,description,modal,sample_id,natoms,case,cold_ms,steady_median_ms,steady_p95_ms,resolved_policy,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_0,200,e3nn_pair_full,406.5205929800868,210.5957235035021,233.27003952872474,full,0.0,7.62939453125e-06
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_1,200,e3nn_baseline,255.29785599792376,233.41891201562248,278.3755419164663,baseline,0.0,0.0
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_1,200,e3nn_pair_full,399.09968100255355,206.78188200690784,229.48913582076784,full,0.0,2.6702880859375e-05
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_3,200,e3nn_baseline,254.37233498087153,232.39342751912773,277.4643371521961,baseline,0.0,0.0
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_3,200,e3nn_pair_full,397.32529898174107,205.5697180039715,228.5319265240105,full,0.0,0.00018310546875
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:0,8,e3nn_baseline,122.8080700384453,108.29748050309718,152.46547596761957,baseline,0.0,0.0
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:0,8,e3nn_pair_full,199.46617598179728,98.0376125080511,115.81878874567337,full,0.0,1.0471273981238483e-07
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:1,8,e3nn_baseline,122.42903199512511,108.228171011433,152.3927235044539,baseline,0.0,0.0
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:1,8,e3nn_pair_full,203.1431130017154,97.96744349296205,116.07482383551542,full,0.0,2.150142250911813e-07
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:2,8,e3nn_baseline,121.88820401206613,108.64065247005783,152.77720283193048,baseline,0.0,0.0
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:2,8,e3nn_pair_full,198.17165995482355,98.33262249594554,116.90374134923331,full,0.0,8.56414104077885e-08
