dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,flash_fused_conv_ms,flash_fused_conv_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,0,0.022320076823234558,208.0,0.03945082426071167,208.0,0.08139479905366898,208.0,0.008563045412302017,1664.0,0.31196512281894684,208.0,0.0,0.0,0.4666280001401901,1040.0,0.0,0.0,0.06713229231536388,1040.0,0.0,0.0,61.718761920928955,1040.0,0.0,0.0,0.26845489628612995,1040.0,0.052416231483221054,0.0,0.9640650823712349,0.0,60.43026247061789,0.0,2.786153694614768,0.0,27.524142991751432,0.0,155.58943897485733,0.0,62.85922019742429,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,1,0.02228398807346821,208.0,0.03808503970503807,208.0,0.08694990538060665,208.0,0.008421018719673157,1664.0,0.27760001830756664,208.0,0.0,0.0,0.45816809870302677,1040.0,0.0,0.0,0.0712790060788393,1040.0,0.0,0.0,61.80934817530215,1040.0,0.0,0.0,0.24199439212679863,1040.0,0.05230284295976162,0.0,0.9668031707406044,0.0,60.5378751643002,0.0,2.7879562694579363,0.0,27.344188885763288,0.0,155.5633400566876,0.0,62.916434835642576,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,2,0.02785096876323223,208.0,0.048233894631266594,208.0,0.09534112177789211,208.0,0.01068110577762127,1664.0,0.3334388602524996,208.0,0.0,0.0,0.48873177729547024,1040.0,0.0,0.0,0.06914627738296986,1040.0,0.0,0.0,62.3429580591619,1040.0,0.0,0.0,0.2396979834884405,1040.0,0.0527440570294857,0.0,1.203279010951519,0.0,61.930057825520635,0.0,2.798115834593773,0.0,27.406872948631644,0.0,157.93191990815103,0.0,63.47614014521241,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,3,0.022046035155653954,208.0,0.037768855690956116,208.0,0.08176104165613651,208.0,0.008749077096581459,1664.0,0.2899039536714554,208.0,0.0,0.0,0.4607825540006161,1040.0,0.0,0.0,0.06829504854977131,1040.0,0.0,0.0,62.1370617300272,1040.0,0.0,0.0,0.26601669378578663,1040.0,0.0526688527315855,0.0,0.9312860202044249,0.0,60.66033127717674,0.0,2.815712010487914,0.0,27.29198895394802,0.0,156.00471501238644,0.0,63.30356444232166,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,4,0.02401508390903473,208.0,0.0380929559469223,208.0,0.08151889778673649,208.0,0.008607981726527214,1664.0,0.29243994504213333,208.0,0.0,0.0,0.48859952948987484,1040.0,0.0,0.0,0.06713904440402985,1040.0,0.0,0.0,61.995693016797304,1040.0,0.0,0.0,0.253280159085989,1040.0,0.05308212712407112,0.0,0.9429571218788624,0.0,60.3138639125973,0.0,2.781365066766739,0.0,27.80330483801663,0.0,155.98661405965686,0.0,63.134968280792236,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,0,0.01847906969487667,104.0,0.037057092413306236,104.0,0.07850001566112041,104.0,0.008476898074150085,832.0,0.2830440644174814,104.0,0.07437984459102154,7384.0,0.4655551165342331,520.0,0.22781197912991047,2600.0,0.09411037899553776,1040.0,0.07851235568523407,1040.0,8.141536265611649,1040.0,0.0,0.0,0.43318537063896656,1040.0,0.0497263390570879,0.0,0.9515220299363136,0.0,60.76725944876671,0.0,2.7823676355183125,0.0,40.24139489047229,0.0,116.15444999188185,0.0,10.30281581915915,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,1,0.01946510747075081,104.0,0.03792694769799709,104.0,0.08006417192518711,104.0,0.008531147614121437,832.0,0.28709694743156433,104.0,0.0786616001278162,7384.0,0.46354089863598347,520.0,0.22949348203837872,2600.0,0.0947536900639534,1040.0,0.08276593871414661,1040.0,8.179893717169762,1040.0,0.0,0.0,0.44309510849416256,1040.0,0.05312054418027401,0.0,0.9857343975454569,0.0,60.65782275982201,0.0,2.781087998300791,0.0,40.10109812952578,0.0,116.02409486658871,0.0,10.369948111474514,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,2,0.018573831766843796,104.0,0.042241066694259644,104.0,0.07925997488200665,104.0,0.008746050298213959,832.0,0.28637703508138657,104.0,0.07594353519380093,7384.0,0.46429294161498547,520.0,0.2256471198052168,2600.0,0.09350385516881943,1040.0,0.07781502790749073,1040.0,8.143731858581305,1040.0,0.0,0.0,0.43571973219513893,1040.0,0.04928489215672016,0.0,0.9654508903622627,0.0,60.75134966522455,0.0,2.8277658857405186,0.0,40.14000785537064,0.0,116.12827586941421,0.0,10.313551407307386,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,3,0.019510043784976006,104.0,0.04213606007397175,104.0,0.08123391307890415,104.0,0.008655013516545296,832.0,0.28252298943698406,104.0,0.07728231139481068,7384.0,0.5254207644611597,520.0,0.22941315546631813,2600.0,0.09172363206744194,1040.0,0.08241971954703331,1040.0,8.117742137983441,1040.0,0.0,0.0,0.4366510547697544,1040.0,0.048770103603601456,0.0,0.9776740334928036,0.0,60.99748029373586,0.0,2.9288548976182938,0.0,40.29410192742944,0.0,116.7054339312017,0.0,10.367498733103275,0.0
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,4,0.019137980416417122,104.0,0.03926688805222511,104.0,0.08595711551606655,104.0,0.0085378997027874,832.0,0.2814880572259426,104.0,0.07857079617679119,7384.0,0.4643048159778118,520.0,0.22833398543298244,2600.0,0.0932461116462946,1040.0,0.07806811481714249,1040.0,8.06348375044763,1040.0,0.0,0.0,0.4438767209649086,1040.0,0.04816311411559582,0.0,0.9629847481846809,0.0,60.95453444868326,0.0,2.7769410517066717,0.0,40.35777715034783,0.0,116.43084394745529,0.0,10.241167154163122,0.0
