dataset,sample_id,natoms,case,resolved_policy,graph_build_ms,pair_metadata_ms,device_transfer_ms,model_ms,pipeline_total_ms
mptrj,mp-1204603,444,e3nn_baseline,baseline,5.100171954836696,0.020204985048621893,0.3633120213635266,622.0380459562875,627.3272429825738
mptrj,mp-1204603,444,e3nn_pair_full,full,5.029290972743183,1.4424509718082845,0.3096910077147186,421.5429649921134,428.9453719975427
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,baseline,2.8287380118854344,0.017274986021220684,0.3426159964874387,370.0556289986707,373.7711950088851
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,full,3.434880985878408,1.1222870089113712,0.2957480028271675,366.72635696595535,371.8750689877197
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,e3nn_baseline,baseline,1.7891679890453815,0.017856014892458916,0.09700498776510358,58.47100599203259,60.492465971037745
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,e3nn_pair_full,full,2.1137279691174626,0.36733498563989997,0.15861098654568195,76.30105799762532,79.20064503559843
md22_stachyose,md22_stachyose_10546,87,e3nn_baseline,baseline,0.912161951418966,0.014585035387426615,0.09522802429273725,60.37896603811532,61.64462800370529
md22_stachyose,md22_stachyose_10546,87,e3nn_pair_full,full,1.2306849821470678,0.46015798579901457,0.17266703071072698,79.05060797929764,81.21741499053314
ani1x,ani1x-release_416625,63,e3nn_baseline,baseline,0.7040619966574013,0.016246980521827936,0.09052304085344076,57.586067996453494,58.602968987543136
ani1x,ani1x-release_416625,63,e3nn_pair_full,full,1.3008079840801656,0.38571900222450495,0.1576590002514422,76.46272995043546,78.3551000058651
rmd17,rmd17_azobenzene,24,e3nn_baseline,baseline,0.7322789751924574,0.015975034330040216,0.08937099482864141,57.879882981069386,58.908969978801906
rmd17,rmd17_azobenzene,24,e3nn_pair_full,full,1.119755965191871,0.21683203522115946,0.1461060019209981,75.70978999137878,77.25814904551953
iso17,iso17,19,e3nn_baseline,baseline,0.6392570212483406,0.014708959497511387,0.08904701098799706,57.95842100633308,58.9613449992612
iso17,iso17,19,e3nn_pair_full,full,1.0965699912048876,0.2124980092048645,0.14362501678988338,75.52531501278281,77.23744999384508
