dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_baseline,max_abs_force_diff_vs_baseline
ani1ccx,055:0,spice,55,sevennet_baseline,baseline,3,30,cuda,31.503597980675597,0.29136525588039236,31.433905009180307,32.087040366604924,219.9255533826848,164.13535804983658,0.0,1.2516975402832031e-06
ani1ccx,055:0,spice,55,sevennet_geometry_only,geometry_only,3,30,cuda,32.034811711249255,0.2680706533934413,31.913629034534097,32.52173084765673,214.55486274013916,167.55218034198882,0.0,1.9073486328125e-06
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,baseline,3,30,cuda,31.193397209669154,0.2639929461132996,31.095418031327426,31.7116514663212,112.99017467536032,40.98843477742883,0.0,1.3709068298339844e-06
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,geometry_only,3,30,cuda,31.758344476111233,0.30016820854986087,31.70620696619153,32.29343219427392,114.84219793540736,40.737855107813516,0.0,1.9073486328125e-06
iso17,iso17,spice,19,sevennet_baseline,baseline,3,30,cuda,29.4515020136411,0.18632527506482022,29.41150846891105,29.81596423778683,113.48751909099519,40.70681339899447,0.0,1.0579824447631836e-06
iso17,iso17,spice,19,sevennet_geometry_only,geometry_only,3,30,cuda,30.282967056458194,0.5052612467043713,30.092205968685448,31.249942362774163,113.72045800089836,40.331388897734755,0.0,1.0728836059570312e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,baseline,3,30,cuda,29.601589489417773,0.19610952534318873,29.64173792861402,29.851586231961846,113.1896764660875,40.539840851475944,0.0,9.5367431640625e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,geometry_only,3,30,cuda,30.1890762289986,0.5168360422258303,30.01130756456405,31.2294649425894,114.43409207277,40.68624535209889,0.0,1.7285346984863281e-06
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,baseline,3,30,cuda,29.59902728907764,0.34142081220608117,29.528164537623525,30.07136690430343,113.47623642844458,40.645360604431175,0.0,1.9073486328125e-06
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,geometry_only,3,30,cuda,29.98077884161224,0.2002425972649629,29.995872057043016,30.203339131549,114.09314450186987,40.68318451069981,0.0,2.86102294921875e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,baseline,3,30,cuda,55.007344290303685,0.2655908004227465,54.94182195980102,55.384757358115166,129.20325784943998,47.20758998125275,0.0,1.6689300537109375e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,geometry_only,3,30,cuda,55.76762359123677,0.17200239762861388,55.717728566378355,56.10136114992201,130.48338641722998,47.217965364205085,0.0,2.5480985641479492e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,baseline,3,30,cuda,104.21181734806548,0.2953759615888487,104.18991150800139,104.84524745261297,174.07194462915263,45.114729412252075,0.0,1.6987323760986328e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,geometry_only,3,30,cuda,105.21889642501871,0.23423571865880877,105.20129650831223,105.62831702409312,176.18272034451365,45.485644385347946,0.0,3.0994415283203125e-06
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,baseline,3,30,cuda,29.688049697627623,0.4819683366594839,29.45891546551138,30.639722594060004,114.31293965627749,41.33094835131438,0.0,9.5367431640625e-07
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,geometry_only,3,30,cuda,29.95319313680132,0.1579068905301601,29.935432015918195,30.19513718318194,113.94607299007475,40.45671752278998,0.0,1.7285346984863281e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,baseline,3,30,cuda,367.59222746671486,0.1799312007662994,367.5214855466038,367.8783481242135,417.3744890528421,32.49009789431501,0.0,2.1457672119140625e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,geometry_only,3,30,cuda,372.02451871708035,0.26194438894628774,371.962575474754,372.53121556714177,421.1109646906455,31.653765246510854,0.0,3.5762786865234375e-06
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,baseline,3,30,cuda,51.894765657683216,0.20318317811814143,51.8959533656016,52.13714857818559,125.96399569883943,46.64667251376672,0.0,1.1920928955078125e-06
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_geometry_only,geometry_only,3,30,cuda,52.73565351186941,0.2663973021880316,52.66806960571557,53.18455636734143,127.14109096365671,46.94435949319226,0.0,1.4901161193847656e-06
mptrj,mp-1204603,mpa,444,sevennet_baseline,baseline,3,30,cuda,425.5722912649314,0.11662375881630348,425.59197591617703,425.69186984328553,471.6732499655336,29.65675365677314,0.0,8.940696716308594e-07
mptrj,mp-1204603,mpa,444,sevennet_geometry_only,geometry_only,3,30,cuda,430.63195664435625,0.1621110495371466,430.6235840776935,430.85471026133746,476.39100765809417,28.983433639101502,0.0,1.989305019378662e-06
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,baseline,3,30,cuda,125.69860833852242,0.22610556136049836,125.660095596686,126.12486140569672,194.2913366947323,44.184371227729116,6.103515625e-05,5.960464477539062e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,geometry_only,3,30,cuda,127.11754569318146,0.19085487397759637,127.13492847979069,127.46628867462277,198.92913095342615,45.56138237525265,0.0,1.1427327990531921e-06
