dataset,sample_id,modal,natoms,case,n_repeat,repeat_idx,resolved_policy,energy,num_edges_runtime,edge_embedding.edge_length_norm_ms,edge_embedding.radial_basis_ms,edge_embedding.cutoff_ms,edge_embedding.radial_combine_ms,edge_embedding.spherical_harmonics_ms,top_input_embedding_ms,top_interaction_other_ms,0_convolution.weight_nn_ms,0_convolution.edge_src_gather_ms,0_convolution.message_tp_ms,0_convolution.aggregation_ms,0_convolution.denominator_ms,0_convolution.total_ms,1_convolution.weight_nn_ms,1_convolution.edge_src_gather_ms,1_convolution.message_tp_ms,1_convolution.aggregation_ms,1_convolution.denominator_ms,1_convolution.total_ms,2_convolution.weight_nn_ms,2_convolution.edge_src_gather_ms,2_convolution.message_tp_ms,2_convolution.aggregation_ms,2_convolution.denominator_ms,2_convolution.total_ms,3_convolution.weight_nn_ms,3_convolution.edge_src_gather_ms,3_convolution.message_tp_ms,3_convolution.aggregation_ms,3_convolution.denominator_ms,3_convolution.total_ms,4_convolution.weight_nn_ms,4_convolution.edge_src_gather_ms,4_convolution.message_tp_ms,4_convolution.aggregation_ms,4_convolution.denominator_ms,4_convolution.total_ms,top_readout_ms,top_force_output_ms,model_total_ms,0_convolution.fused_convolution_ms,1_convolution.fused_convolution_ms,2_convolution.fused_convolution_ms,3_convolution.fused_convolution_ms,4_convolution.fused_convolution_ms,edge_embedding.pair_vec_select_ms,edge_embedding.edge_length_expand_ms,edge_embedding.edge_embedding_expand_ms,edge_embedding.edge_attr_expand_ms,edge_embedding.reverse_sign_ms,edge_embedding.edge_attr_sign_apply_ms,0_convolution.forward_src_index_ms,0_convolution.forward_dst_index_ms,0_convolution.forward_src_gather_ms,0_convolution.forward_filter_gather_ms,0_convolution.forward_message_tp_ms,0_convolution.forward_aggregation_ms,0_convolution.reverse_src_index_ms,0_convolution.reverse_dst_index_ms,0_convolution.reverse_src_gather_ms,0_convolution.reverse_filter_gather_ms,0_convolution.reverse_weight_select_ms,0_convolution.reverse_message_tp_ms,0_convolution.reverse_aggregation_ms,1_convolution.forward_src_index_ms,1_convolution.forward_dst_index_ms,1_convolution.forward_src_gather_ms,1_convolution.forward_filter_gather_ms,1_convolution.forward_message_tp_ms,1_convolution.forward_aggregation_ms,1_convolution.reverse_src_index_ms,1_convolution.reverse_dst_index_ms,1_convolution.reverse_src_gather_ms,1_convolution.reverse_filter_gather_ms,1_convolution.reverse_weight_select_ms,1_convolution.reverse_message_tp_ms,1_convolution.reverse_aggregation_ms,2_convolution.forward_src_index_ms,2_convolution.forward_dst_index_ms,2_convolution.forward_src_gather_ms,2_convolution.forward_filter_gather_ms,2_convolution.forward_message_tp_ms,2_convolution.forward_aggregation_ms,2_convolution.reverse_src_index_ms,2_convolution.reverse_dst_index_ms,2_convolution.reverse_src_gather_ms,2_convolution.reverse_filter_gather_ms,2_convolution.reverse_weight_select_ms,2_convolution.reverse_message_tp_ms,2_convolution.reverse_aggregation_ms,3_convolution.forward_src_index_ms,3_convolution.forward_dst_index_ms,3_convolution.forward_src_gather_ms,3_convolution.forward_filter_gather_ms,3_convolution.forward_message_tp_ms,3_convolution.forward_aggregation_ms,3_convolution.reverse_src_index_ms,3_convolution.reverse_dst_index_ms,3_convolution.reverse_src_gather_ms,3_convolution.reverse_filter_gather_ms,3_convolution.reverse_weight_select_ms,3_convolution.reverse_message_tp_ms,3_convolution.reverse_aggregation_ms,4_convolution.forward_src_index_ms,4_convolution.forward_dst_index_ms,4_convolution.forward_src_gather_ms,4_convolution.forward_filter_gather_ms,4_convolution.forward_message_tp_ms,4_convolution.forward_aggregation_ms,4_convolution.reverse_src_index_ms,4_convolution.reverse_dst_index_ms,4_convolution.reverse_src_gather_ms,4_convolution.reverse_filter_gather_ms,4_convolution.reverse_weight_select_ms,4_convolution.reverse_message_tp_ms,4_convolution.reverse_aggregation_ms,0_convolution.weight_expand_ms,1_convolution.weight_expand_ms,2_convolution.weight_expand_ms,3_convolution.weight_expand_ms,4_convolution.weight_expand_ms
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,0,baseline,-15593.1962890625,366,0.02391217276453972,0.04170695319771767,0.08546793833374977,0.008669914677739143,0.29785209335386753,0.9474169928580523,60.59570633806288,0.09127217344939709,0.013760058209300041,2.7018168475478888,0.047945184633135796,0.010475050657987595,2.9227309860289097,0.0896938145160675,0.013150973245501518,12.175978161394596,0.05273311398923397,0.010670162737369537,12.400155887007713,0.0937099102884531,0.015833880752325058,21.321521839126945,0.05723792128264904,0.010455958545207977,21.55561512336135,0.090734101831913,0.015094876289367676,22.457510931417346,0.05902303382754326,0.010574935004115105,22.68957602791488,0.08782907389104366,0.01361314207315445,3.05190309882164,0.05036406219005585,0.010014977306127548,3.2688919454813004,2.7823718264698982,27.24811201915145,155.45763703994453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,1,baseline,-15593.1962890625,366,0.02165301702916622,0.038000987842679024,0.08640997111797333,0.008916947990655899,0.2823648974299431,0.943419523537159,60.95593981444836,0.09147194214165211,0.013337936252355576,2.6863841339945793,0.045839929953217506,0.010944902896881104,2.909426111727953,0.08886982686817646,0.01299707219004631,12.108757859095931,0.048457877710461617,0.010274816304445267,12.325545074418187,0.09301514364778996,0.014466000720858574,21.453127032145858,0.058176927268505096,0.010694144293665886,21.685309940949082,0.09188917465507984,0.015245983377099037,22.732394048944116,0.060635851696133614,0.010814983397722244,22.968729957938194,0.08793617598712444,0.013940036296844482,3.025545971468091,0.04640198312699795,0.010079005733132362,3.2382721547037363,2.8068830724805593,27.57968008518219,156.40734205953777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,2,baseline,-15593.1962890625,366,0.026660040020942688,0.03776606172323227,0.08367002010345459,0.00875396654009819,0.3331848420202732,0.9542442858219147,60.81773526966572,0.09094108827412128,0.013815006241202354,2.691148081794381,0.0452499371021986,0.01034303568303585,2.9124808497726917,0.0906381756067276,0.013361219316720963,12.0492831338197,0.04821387119591236,0.010189134627580643,12.272075982764363,0.11323392391204834,0.01399707980453968,21.235710009932518,0.05813082680106163,0.010504154488444328,21.499732974916697,0.09339302778244019,0.014873920008540154,22.576832910999656,0.06200280040502548,0.01089298166334629,22.816075012087822,0.09968294762074947,0.016979174688458443,3.016711911186576,0.04610116593539715,0.010278075933456421,3.246157895773649,2.7901162393391132,27.620977023616433,155.96672100946307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,3,baseline,-15593.1962890625,366,0.027234898880124092,0.03796699456870556,0.08112704381346703,0.008675968274474144,0.2841090317815542,0.9470891673117876,60.459446627646685,0.08964608423411846,0.013954006135463715,2.720808843150735,0.04971306771039963,0.010029878467321396,2.9403348453342915,0.0886828638613224,0.013425946235656738,11.935587041079998,0.04783296026289463,0.010106014087796211,12.15219683945179,0.09194295853376389,0.014369841665029526,21.359367994591594,0.05679694004356861,0.010473886504769325,21.58932900056243,0.09138789027929306,0.015129800885915756,22.442619083449244,0.05925004370510578,0.01082313247025013,22.676122840493917,0.08938205428421497,0.013539101928472519,3.0258679762482643,0.04962901584804058,0.0106890220195055,3.247374901548028,2.777604153379798,27.729491936042905,155.5053589399904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,4,baseline,-15593.1962890625,366,0.023164087906479836,0.039239879697561264,0.08705304935574532,0.008750008419156075,0.3158210311084986,0.9601241908967495,60.8926301356405,0.09588804095983505,0.014249933883547783,2.7715389151126146,0.0499701127409935,0.010574935004115105,3.0043378937989473,0.09066704660654068,0.013669021427631378,12.110629118978977,0.04939711652696133,0.010625924915075302,12.333963066339493,0.09069289080798626,0.014316057786345482,21.336843026801944,0.05657202564179897,0.010292977094650269,21.564607974141836,0.09254505857825279,0.014832010492682457,22.527851862832904,0.059646088629961014,0.010926974937319756,22.762489039450884,0.08888705633580685,0.013644108548760414,3.0464371666312218,0.04545086994767189,0.010266900062561035,3.2602439168840647,2.7948988135904074,27.883170871064067,156.50127618573606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,flash_baseline,5,0,baseline,-15593.1962890625,366,0.021537067368626595,0.03625289537012577,0.07794192060828209,0.00851810909807682,0.2716309390962124,0.9403652511537075,59.985412983223796,0.0912998802959919,,,,0.011160969734191895,0.39758719503879547,0.08830614387989044,,,,0.01212581992149353,0.39517716504633427,0.08948007598519325,,,,0.011979136615991592,0.3837971016764641,0.09181583300232887,,,,0.013639917597174644,0.47964812256395817,0.11143996380269527,,,,0.011319993063807487,0.4467929247766733,2.7799759991467,15.630592126399279,82.3885751888156,0.24354597553610802,0.24407007731497288,0.23224693723022938,0.32190396450459957,0.2593558747321367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,flash_baseline,5,1,baseline,-15593.1962890625,366,0.022230902686715126,0.039258040487766266,0.0842090230435133,0.008961884304881096,0.2740968484431505,0.9397664107382298,60.12570555321872,0.09246706031262875,,,,0.011457130312919617,0.39509101770818233,0.0887399073690176,,,,0.01147296279668808,0.3779688850045204,0.09113200940191746,,,,0.011716969311237335,0.3865729086101055,0.08920719847083092,,,,0.09378604590892792,0.46508596278727055,0.08485489524900913,,,,0.01151510514318943,0.38868491537868977,2.780779730528593,15.604841988533735,82.43190194480121,0.23937784135341644,0.22763991728425026,0.23262598551809788,0.22962107323110104,0.23774290457367897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,flash_baseline,5,2,baseline,-15593.1962890625,366,0.022580847144126892,0.03766198642551899,0.07826089859008789,0.00866013579070568,0.2701671328395605,0.9528270456939936,60.25899644009769,0.09147403761744499,,,,0.011520925909280777,0.38306904025375843,0.08778809569776058,,,,0.011135125532746315,0.38008810952305794,0.08939695544540882,,,,0.01140078529715538,0.37863990291953087,0.08951802738010883,,,,0.012242002412676811,0.40323706343770027,0.08429703302681446,,,,0.011769123375415802,0.3690060693770647,2.914769109338522,15.385930892080069,82.37811899743974,0.22742105647921562,0.23026298731565475,0.2275281585752964,0.2496889792382717,0.22221100516617298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,flash_baseline,5,3,baseline,-15593.1962890625,366,0.021795043721795082,0.03982195630669594,0.0838960986584425,0.008718809112906456,0.2690260298550129,0.93843974173069,60.19015610218048,0.09288312867283821,,,,0.011507188901305199,0.40023005567491055,0.0873710960149765,,,,0.011960044503211975,0.40783314034342766,0.09012408554553986,,,,0.01130206510424614,0.38173701614141464,0.08924398571252823,,,,0.012164004147052765,0.3922658506780863,0.08353590965270996,,,,0.011276919394731522,0.3723998088389635,2.819437999278307,15.563027933239937,82.43631711229682,0.24328380823135376,0.25847298093140125,0.22994703613221645,0.23912708275020123,0.22738100960850716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmd17,rmd17_azobenzene,spice,24,flash_baseline,5,4,baseline,-15593.1962890625,366,0.021958956494927406,0.0377558171749115,0.0774760264903307,0.008604023605585098,0.2809748984873295,0.9508600924164057,60.52075186744332,0.0874160323292017,,,,0.01140800304710865,0.3898520953953266,0.08725211955606937,,,,0.011520925909280777,0.3839039709419012,0.0910111702978611,,,,0.011730007827281952,0.3809959162026644,0.08873711340129375,,,,0.012104865163564682,0.4038228653371334,0.09057600982487202,,,,0.011729076504707336,0.384635990485549,2.7889010962098837,15.380077064037323,82.56487012840807,0.23885793052613735,0.23391214199364185,0.22693886421620846,0.2519770059734583,0.2300250343978405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
