dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,flash_fused_conv_ms,flash_fused_conv_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0.02391217276453972,366.0,0.04170695319771767,366.0,0.08546793833374977,366.0,0.008669914677739143,2928.0,0.29785209335386753,366.0,0.0,0.0,0.45323907397687435,1830.0,0.0,0.0,0.07145293056964874,1830.0,0.0,0.0,61.708730878308415,1830.0,0.0,0.0,0.2673033159226179,1830.0,0.05219108425080776,0.0,0.9474169928580523,0.0,60.59570633806288,0.0,2.7823718264698982,0.0,27.24811201915145,0.0,155.45763703994453,0.0,62.836969969794154,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,1,0.02165301702916622,366.0,0.038000987842679024,366.0,0.08640997111797333,366.0,0.008916947990655899,2928.0,0.2823648974299431,366.0,0.0,0.0,0.4531822632998228,1830.0,0.0,0.0,0.06998702883720398,1830.0,0.0,0.0,62.006209045648575,1830.0,0.0,0.0,0.2595125697553158,1830.0,0.05280785262584686,0.0,0.943419523537159,0.0,60.95593981444836,0.0,2.8068830724805593,0.0,27.57968008518219,0.0,156.40734205953777,0.0,63.12728323973715,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,2,0.026660040020942688,366.0,0.03776606172323227,366.0,0.08367002010345459,366.0,0.00875396654009819,2928.0,0.3331848420202732,366.0,0.0,0.0,0.4878891631960869,1830.0,0.0,0.0,0.0730264000594616,1830.0,0.0,0.0,61.56968604773283,1830.0,0.0,0.0,0.2596986014395952,1830.0,0.05220738239586353,0.0,0.9542442858219147,0.0,60.81773526966572,0.0,2.7901162393391132,0.0,27.620977023616433,0.0,155.96672100946307,0.0,62.74652271531522,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,3,0.027234898880124092,366.0,0.03796699456870556,366.0,0.08112704381346703,366.0,0.008675968274474144,2928.0,0.2841090317815542,366.0,0.0,0.0,0.4510418511927128,1830.0,0.0,0.0,0.07041869685053825,1830.0,0.0,0.0,61.484250938519835,1830.0,0.0,0.0,0.26322202757000923,1830.0,0.05212193354964256,0.0,0.9470891673117876,0.0,60.459446627646685,0.0,2.777604153379798,0.0,27.729491936042905,0.0,155.5053589399904,0.0,62.605358427390456,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,4,0.023164087906479836,366.0,0.039239879697561264,366.0,0.08705304935574532,366.0,0.008750008419156075,2928.0,0.3158210311084986,366.0,0.0,0.0,0.45868009328842163,1830.0,0.0,0.0,0.07071113213896751,1830.0,0.0,0.0,61.79330009035766,1830.0,0.0,0.0,0.2610362134873867,1830.0,0.052687712013721466,0.0,0.9601241908967495,0.0,60.8926301356405,0.0,2.7948988135904074,0.0,27.883170871064067,0.0,156.50127618573606,0.0,62.925641890615225,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,0,0.0181619543582201,183.0,0.03755907528102398,183.0,0.0804669689387083,183.0,0.00875699333846569,1464.0,0.288934912532568,183.0,0.07785111665725708,12993.0,0.47228438779711723,915.0,0.23706164211034775,4575.0,0.09571225382387638,1830.0,0.08187303319573402,1830.0,8.163477759808302,1830.0,0.0,0.0,0.46528829261660576,1830.0,0.04941527731716633,0.0,0.9552470874041319,0.0,60.647649923339486,0.0,2.801293972879648,0.0,40.46228784136474,0.0,116.39596009626985,0.0,10.406025918200612,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,1,0.0189079437404871,183.0,0.03812182694673538,183.0,0.0802590511739254,183.0,0.00878283753991127,1464.0,0.29361690394580364,183.0,0.0715318601578474,12993.0,0.4707511980086565,915.0,0.23241224698722363,4575.0,0.09627547115087509,1830.0,0.07937010377645493,1830.0,8.20715562440455,1830.0,0.0,0.0,0.47039263881742954,1830.0,0.049572670832276344,0.0,0.9556321892887354,0.0,60.92349230311811,0.0,2.793452935293317,0.0,40.52558587864041,0.0,116.77115503698587,0.0,10.445168474689126,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,2,0.019301893189549446,183.0,0.03756699152290821,183.0,0.0828129705041647,183.0,0.008414965122938156,1464.0,0.2863870467990637,183.0,0.07298309355974197,12993.0,0.4627176094800234,915.0,0.2287456300109625,4575.0,0.09507476352155209,1830.0,0.07890700362622738,1830.0,8.231644984334707,1830.0,0.0,0.0,0.4497668705880642,1830.0,0.07327110506594181,0.0,0.9687219280749559,0.0,60.676497872918844,0.0,2.8159571811556816,0.0,40.33300816081464,0.0,116.35841405950487,0.0,10.447418550029397,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,3,0.01933588646352291,183.0,0.04057097248733044,183.0,0.08569913916289806,183.0,0.0085530336946249,1464.0,0.29083178378641605,183.0,0.07621361874043941,12993.0,0.46204798854887486,915.0,0.23137289099395275,4575.0,0.09661447256803513,1830.0,0.07896311581134796,1830.0,8.145404048264027,1830.0,0.0,0.0,0.4596791695803404,1830.0,0.04956824705004692,0.0,1.0240706615149975,0.0,60.921338852494955,0.0,2.7886200696229935,0.0,40.37439194507897,0.0,116.60859896801412,0.0,10.351955192163587,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,4,0.02336897887289524,183.0,0.03778887912631035,183.0,0.0809000339359045,183.0,0.008399132639169693,1464.0,0.28673303313553333,183.0,0.07587508298456669,12993.0,0.46612112782895565,915.0,0.22990605793893337,4575.0,0.09610806591808796,1830.0,0.07926090620458126,1830.0,8.20803688839078,1830.0,0.0,0.0,0.4477882757782936,1830.0,0.04977569915354252,0.0,0.9544091299176216,0.0,61.348303919658065,0.0,2.7858768589794636,0.0,40.42757302522659,0.0,117.06384993158281,0.0,10.403126943856478,0.0
rmd17,rmd17_azobenzene,spice,24,flash_baseline,0,0.021537067368626595,366.0,0.03625289537012577,366.0,0.07794192060828209,366.0,0.00851810909807682,2928.0,0.2716309390962124,366.0,0.0,0.0,0.47234189696609974,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3011228293180466,1830.0,0.0,0.0,0.06022583693265915,0.0,0.9403652511537075,0.0,59.985412983223796,0.0,2.7799759991467,0.0,15.630592126399279,0.0,82.3885751888156,0.0,2.1030025091022253,0.0
rmd17,rmd17_azobenzene,spice,24,flash_baseline,1,0.022230902686715126,366.0,0.039258040487766266,366.0,0.0842090230435133,366.0,0.008961884304881096,2928.0,0.2740968484431505,366.0,0.0,0.0,0.44640107080340385,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1670077219605446,1830.0,0.0,0.0,0.13994821347296238,0.0,0.9397664107382298,0.0,60.12570555321872,0.0,2.780779730528593,0.0,15.604841988533735,0.0,82.43190194480121,0.0,2.0134036894887686,0.0
rmd17,rmd17_azobenzene,spice,24,flash_baseline,2,0.022580847144126892,366.0,0.03766198642551899,366.0,0.07826089859008789,366.0,0.00866013579070568,2928.0,0.2701671328395605,366.0,0.0,0.0,0.4424741491675377,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1571121867746115,1830.0,0.0,0.0,0.058067962527275085,0.0,0.9528270456939936,0.0,60.25899644009769,0.0,2.914769109338522,0.0,15.385930892080069,0.0,82.37811899743974,0.0,1.9140401855111122,0.0
rmd17,rmd17_azobenzene,spice,24,flash_baseline,3,0.021795043721795082,366.0,0.03982195630669594,366.0,0.0838960986584425,366.0,0.008718809112906456,2928.0,0.2690260298550129,366.0,0.0,0.0,0.44315820559859276,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1982119176536798,1830.0,0.0,0.0,0.0582102220505476,0.0,0.93843974173069,0.0,60.19015610218048,0.0,2.819437999278307,0.0,15.563027933239937,0.0,82.43631711229682,0.0,1.9544658716768026,0.0
rmd17,rmd17_azobenzene,spice,24,flash_baseline,4,0.021958956494927406,366.0,0.0377558171749115,366.0,0.0774760264903307,366.0,0.008604023605585098,2928.0,0.2809748984873295,366.0,0.0,0.0,0.44499244540929794,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1817109771072865,1830.0,0.0,0.0,0.0584928784519434,0.0,0.9508600924164057,0.0,60.52075186744332,0.0,2.7889010962098837,0.0,15.380077064037323,0.0,82.56487012840807,0.0,1.9432108383625746,0.0
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,0,0.01791701652109623,183.0,0.0360680278390646,183.0,0.07674191147089005,183.0,0.00843801535665989,1464.0,0.2722828648984432,183.0,0.07332419045269489,12993.0,0.44498988427221775,915.0,0.15465915203094482,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1636049021035433,1830.0,0.0,0.0,0.05953572690486908,0.0,0.9466467890888453,0.0,60.102731455117464,0.0,2.8185390401631594,0.0,15.538385137915611,0.0,82.65468291938305,0.0,2.1678521297872066,0.0
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,1,0.01782504841685295,183.0,0.03665406256914139,183.0,0.07667881436645985,183.0,0.008136965334415436,1464.0,0.27077109552919865,183.0,0.07683900184929371,12993.0,0.45025371946394444,915.0,0.14923443086445332,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,1.236791955307126,1830.0,0.0,0.0,0.06102118641138077,0.0,0.9320932440459728,0.0,60.10356871411204,0.0,2.7997237630188465,0.0,15.312208095565438,0.0,82.46717788279057,0.0,2.242408925667405,0.0
rmd17,rmd17_azobenzene,spice,24,flash_pair_auto,2,0.01793098635971546,183.0,0.036844052374362946,183.0,0.07786997593939304,183.0,0.008326023817062378,1464.0,0.2722828648984432,183.0,0.07083406671881676,12993.0,0.45372615568339825,915.0,0.1457489561289549,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139502739533782,1830.0,0.0,0.0,0.058480771258473396,0.0,0.9443059097975492,0.0,60.03717053681612,0.0,2.7959109283983707,0.0,15.436068177223206,0.0,82.41789508610964,0.0,2.134277718141675,0.0
