dataset,sample_id,case,natoms,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load
ani1x,ani1x-release_416625,e3nn_baseline,63,0.022506981622427702,2008.0,0.03985996590927243,2008.0,0.08714600699022412,2008.0,0.008883012924343348,16064.0,0.2788429846987128,2008.0,0.49246306298300624,10040.0,0.10924105299636722,10040.0,63.230680068954825,10040.0,0.5739610642194748,10040.0,0.05640590097755194,0.0,0.9437869885005057,0.0,60.7728257891722,0.0,2.788010926451534,0.0,27.40671200444922,0.0,157.65124396421015,0.0
ani1x,ani1x-release_416625,e3nn_pair_full,63,0.020437000785022974,1004.0,0.04095898475497961,1004.0,0.08658302249386907,1004.0,0.00850198557600379,8032.0,0.29341300250962377,1004.0,0.4797549918293953,5020.0,0.1250019995495677,10040.0,8.438224962446839,10040.0,0.6517368019558489,10040.0,0.05299499025568366,0.0,0.9831320494413376,0.0,61.038877989631146,0.0,2.858301973901689,0.0,40.36819899920374,0.0,117.39854398183525,0.0
iso17,iso17,e3nn_baseline,19,0.02204900374636054,340.0,0.03945099888369441,340.0,0.08339702617377043,340.0,0.008789997082203627,2720.0,0.3078459994867444,340.0,0.4495849134400487,1700.0,0.09459001012146473,1700.0,62.42688500788063,1700.0,0.25814189575612545,1700.0,0.053495983593165874,0.0,0.9458339773118496,0.0,60.90148602379486,0.0,2.811446029227227,0.0,27.43405697401613,0.0,156.70107200276107,0.0
iso17,iso17,e3nn_pair_full,19,0.01909298589453101,170.0,0.03768398892134428,170.0,0.0816140091046691,170.0,0.008891976904124022,1360.0,0.28144801035523415,170.0,0.4552580649033189,850.0,0.09351701010018587,1700.0,8.006266027223319,1700.0,0.43746904702857137,1700.0,0.048381974920630455,0.0,0.9677979978732765,0.0,61.02864601416513,0.0,2.8057119925506413,0.0,40.238553017843515,0.0,116.34389602113515,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,e3nn_baseline,370,0.026381982024759054,24024.0,0.04408304812386632,24024.0,0.09010802023112774,24024.0,0.00873900717124343,192192.0,226.41123901121318,24024.0,1.4121309504844248,120120.0,0.6084800697863102,120120.0,96.99206496588886,120120.0,4.509460995905101,120120.0,0.1139879459515214,0.0,1.089501951355487,0.0,61.19251507334411,0.0,2.867425966542214,0.0,460.3647720068693,0.0,856.6564630018547,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,e3nn_pair_full,370,0.021025014575570822,12012.0,0.04843104397878051,12012.0,0.0926729990169406,12012.0,0.008935981895774603,96096.0,0.2988179912790656,12012.0,0.8713859133422375,60060.0,0.5464210407808423,120120.0,38.765254081226885,120120.0,5.120829970110208,120120.0,0.12440694263204932,0.0,1.0195589857175946,0.0,61.77994702011347,0.0,2.8039530152454972,0.0,311.5959930000827,0.0,426.13959999289364,0.0
md22_stachyose,md22_stachyose_10546,e3nn_baseline,87,0.022557040210813284,3532.0,0.06538600428029895,3532.0,0.08492200868204236,3532.0,0.009259034413844347,28256.0,0.30742603121325374,3532.0,0.5520239938050508,17660.0,0.14242902398109436,17660.0,64.85324999084696,17660.0,0.8991359500214458,17660.0,0.06103888154029846,0.0,0.9599569602869451,0.0,60.71207200875506,0.0,2.826027979608625,0.0,42.94010199373588,0.0,175.28031900292262,0.0
md22_stachyose,md22_stachyose_10546,e3nn_pair_full,87,0.02102798316627741,1766.0,0.04186300793662667,1766.0,0.08717796299606562,1766.0,0.009367009624838829,14128.0,0.3013400128111243,1766.0,0.50551095046103,8830.0,0.1558229560032487,17660.0,9.079765004571527,17660.0,1.119957014452666,17660.0,0.05496293306350708,0.0,1.2842240394093096,0.0,61.85611500404775,0.0,2.790041035041213,0.0,39.9555719923228,0.0,119.24295302014798,0.0
mptrj,mp-1204603,e3nn_baseline,444,0.028658017981797457,27612.0,0.05000398959964514,27612.0,0.10106200352311134,27612.0,0.008839997462928295,220896.0,120.54881401127204,27612.0,1.5299750957638025,138060.0,0.7019189652055502,138060.0,104.0799529873766,138060.0,5.138411070220172,138060.0,0.12409698683768511,0.0,0.9951779502443969,0.0,62.07229581195861,0.0,2.907905087340623,0.0,367.10629501612857,0.0,666.3316540070809,0.0
mptrj,mp-1204603,e3nn_pair_full,444,0.02244801726192236,13806.0,0.04660798003897071,13806.0,0.0949849491007626,13806.0,0.008709030225872993,110448.0,141.58271899214014,13806.0,0.9470570366829634,69030.0,0.6266278796829283,138060.0,44.35514798387885,138060.0,5.997644970193505,138060.0,0.08547102333977818,0.0,1.0722189908847213,0.0,61.100935155991465,0.0,2.79379787389189,0.0,488.15992596792057,0.0,750.1162699772976,0.0
