dataset,sample_id,natoms,case,stage,time_ms,calls,load
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_aggregation_ms,0.5732940044254065,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_dst_index_ms,0.008167000487446785,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_filter_gather_ms,0.010544026736170053,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_message_tp_ms,4.299738968256861,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_src_gather_ms,0.054330972488969564,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.forward_src_index_ms,0.013113021850585938,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_aggregation_ms,0.5991790094412863,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_dst_index_ms,0.007175025530159473,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_filter_gather_ms,0.011030002497136593,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_message_tp_ms,4.314771038480103,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_src_gather_ms,0.0500250025652349,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_src_index_ms,0.009991053957492113,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.reverse_weight_select_ms,0.20929798483848572,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.total_ms,10.531615989748389,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,1_convolution.weight_nn_ms,0.17800502246245742,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.denominator_ms,0.022199004888534546,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_aggregation_ms,0.9495659614913166,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_dst_index_ms,0.00821996945887804,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_filter_gather_ms,0.011139956768602133,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_message_tp_ms,8.369171002414078,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_src_gather_ms,0.09293999755755067,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.forward_src_index_ms,0.016550009604543447,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_aggregation_ms,1.0425479849800467,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_dst_index_ms,0.0073579722084105015,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_filter_gather_ms,0.011071038898080587,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_message_tp_ms,8.370598021429032,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_src_gather_ms,0.08662301115691662,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_src_index_ms,0.010621966794133186,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.reverse_weight_select_ms,0.3652359591796994,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.total_ms,19.818242988549173,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,2_convolution.weight_nn_ms,0.2554139937274158,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.denominator_ms,0.023778004106134176,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_aggregation_ms,1.0802530450746417,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_dst_index_ms,0.008306989911943674,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_filter_gather_ms,0.011612020898610353,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_message_tp_ms,8.845353964716196,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_src_gather_ms,0.10426499648019671,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.forward_src_index_ms,0.01599994720891118,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_aggregation_ms,1.221991959027946,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_dst_index_ms,0.007571012247353792,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,3_convolution.reverse_filter_gather_ms,0.01141102984547615,1.0,13806.0
