dataset,sample_id,natoms,case,resolved_policy,model_total_ms,top_force_output_ms,edge_embedding.spherical_harmonics_ms,graph_build_ms,pair_metadata_ms,device_transfer_ms,model_ms,pipeline_total_ms,intrusive_minus_model_ms,intrusive_vs_model_ratio,forward_like_no_force_ms,force_output_share_of_intrusive_model,sh_share_of_intrusive_model
mptrj,mp-1204603,444,e3nn_baseline,baseline,666.3316540070809,367.10629501612857,120.54881401127204,5.100171954836696,0.0202049850486218,0.3633120213635266,622.0380459562875,627.3272429825738,44.29360805079341,1.0712072329638596,299.2253589909524,0.550936298476115,0.18091413380459184
mptrj,mp-1204603,444,e3nn_pair_full,full,750.1162699772976,488.15992596792057,141.58271899214014,5.029290972743183,1.4424509718082843,0.3096910077147186,421.5429649921134,428.9453719975427,328.5733049851842,1.7794538926567816,261.95634400937706,0.6507790132091053,0.18874769773547928
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,baseline,856.6564630018547,460.3647720068693,226.4112390112132,2.8287380118854344,0.0172749860212206,0.3426159964874387,370.0556289986707,373.7711950088851,486.600834003184,2.3149396897971033,396.2916909949854,0.5373971853240692,0.2642964231167226
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,full,426.1395999928936,311.5959930000827,0.2988179912790656,3.434880985878408,1.1222870089113712,0.2957480028271675,366.72635696595535,371.8750689877197,59.41324302693823,1.16200974350053,114.54360699281091,0.7312063769836902,0.0007012208940076182
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,e3nn_baseline,baseline,156.02211200166494,27.090843999758363,0.2948560286313295,1.7891679890453815,0.0178560148924589,0.0970049877651035,58.47100599203259,60.49246597103775,97.55110600963235,2.668367156585692,128.93126800190657,0.17363464480899524,0.0018898348756372623
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,e3nn_pair_full,full,117.1088680275716,39.93675200035796,0.2934069489128887,2.113727969117462,0.3673349856398999,0.1586109865456819,76.30105799762532,79.20064503559843,40.80781002994628,1.5348262671694057,77.17211602721363,0.3410224406827622,0.0025054204165290903
md22_stachyose,md22_stachyose_10546,87,e3nn_baseline,baseline,175.28031900292262,42.94010199373588,0.3074260312132537,0.912161951418966,0.0145850353874266,0.0952280242927372,60.37896603811532,61.64462800370529,114.9013529648073,2.903002991013025,132.34021700918674,0.24497959746992415,0.0017539107240449948
md22_stachyose,md22_stachyose_10546,87,e3nn_pair_full,full,119.24295302014798,39.9555719923228,0.3013400128111243,1.2306849821470678,0.4601579857990145,0.1726670307107269,79.05060797929764,81.21741499053314,40.19234504085034,1.508438152068055,79.28738102782518,0.3350770085807224,0.002527109612592437
ani1x,ani1x-release_416625,63,e3nn_baseline,baseline,157.65124396421015,27.40671200444922,0.2788429846987128,0.7040619966574013,0.0162469805218279,0.0905230408534407,57.58606799645349,58.602968987543136,100.06517596775666,2.7376629356586615,130.24453195976093,0.1738439311691766,0.0017687331713158922
ani1x,ani1x-release_416625,63,e3nn_pair_full,full,117.39854398183525,40.36819899920374,0.2934130025096237,1.3008079840801656,0.3857190022245049,0.1576590002514422,76.46272995043546,78.3551000058651,40.93581403139979,1.5353695069210207,77.0303449826315,0.3438560448028197,0.002499289961850146
rmd17,rmd17_azobenzene,24,e3nn_baseline,baseline,156.7290499806404,27.649125026073307,0.2748179831542074,0.7322789751924574,0.0159750343300402,0.0893709948286414,57.879882981069386,58.90896997880191,98.84916699957103,2.7078328757489256,129.0799249545671,0.17641353041754926,0.0017534591269975392
rmd17,rmd17_azobenzene,24,e3nn_pair_full,full,119.90548699395733,41.709351004101336,0.3014130052179098,1.119755965191871,0.2168320352211594,0.1461060019209981,75.70978999137878,77.25814904551953,44.19569700257854,1.5837514145477247,78.19613598985599,0.34785189610383127,0.0025137548979147187
iso17,iso17,19,e3nn_baseline,baseline,156.70107200276107,27.43405697401613,0.3078459994867444,0.6392570212483406,0.0147089594975113,0.089047010987997,57.95842100633308,58.9613449992612,98.74265099642798,2.703680833293206,129.26701502874494,0.1750725545357644,0.0019645430344045135
iso17,iso17,19,e3nn_pair_full,full,116.34389602113517,40.23855301784352,0.2814480103552341,1.0965699912048876,0.2124980092048645,0.1436250167898833,75.52531501278281,77.23744999384508,40.81858100835235,1.5404622410571043,76.10534300329164,0.3458587377075093,0.002419104224463189
