dataset,sample_id,natoms,case,stage,time_ms,calls,load
mptrj,mp-1204603,444,e3nn_baseline,3_convolution.edge_src_gather_ms,0.2201489987783134,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,3_convolution.message_tp_ms,39.30023295106366,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,3_convolution.weight_nn_ms,0.4903230001218617,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,4_convolution.aggregation_ms,0.0647830311208963,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,4_convolution.denominator_ms,0.0108410022221505,1.0,0.0
mptrj,mp-1204603,444,e3nn_baseline,4_convolution.edge_src_gather_ms,0.120954995509237,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,4_convolution.message_tp_ms,3.210277995094657,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,4_convolution.weight_nn_ms,0.1150260213762521,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,edge_embedding.cutoff_ms,0.1010620035231113,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,edge_embedding.edge_length_norm_ms,0.0286580179817974,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,edge_embedding.radial_basis_ms,0.0500039895996451,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,edge_embedding.radial_combine_ms,0.0088399974629282,1.0,220896.0
mptrj,mp-1204603,444,e3nn_baseline,edge_embedding.spherical_harmonics_ms,120.54881401127204,1.0,27612.0
mptrj,mp-1204603,444,e3nn_baseline,top_force_output_ms,367.10629501612857,1.0,0.0
mptrj,mp-1204603,444,e3nn_baseline,top_input_embedding_ms,0.9951779502443968,3.0,0.0
mptrj,mp-1204603,444,e3nn_baseline,top_interaction_other_ms,62.07229581195861,25.0,0.0
mptrj,mp-1204603,444,e3nn_baseline,top_readout_ms,2.907905087340623,4.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.denominator_ms,0.0127789680846035,1.0,0.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.forward_aggregation_ms,0.1958560314960777,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.forward_dst_index_ms,0.0082550104707479,1.0,13806.0
mptrj,mp-1204603,444,e3nn_pair_full,0_convolution.forward_filter_gather_ms,0.0109780230559408,1.0,13806.0
