dataset,sample_id,natoms,stage,baseline_ms,pair_ms,delta_ms,pair_over_baseline,reduction_pct,baseline_load,pair_load
ani1x,ani1x-release_416625,63,edge_length_norm_ms,0.0225069816224277,0.0204370007850229,-0.0020699808374047973,0.9080293896298335,9.197061037016653,2008.0,1004.0
ani1x,ani1x-release_416625,63,radial_basis_ms,0.0398599659092724,0.0409589847549796,0.001099018845707199,1.0275719966296193,-2.757199662961929,2008.0,1004.0
ani1x,ani1x-release_416625,63,cutoff_ms,0.0871460069902241,0.086583022493869,-0.0005629844963550984,0.9935397556836052,0.6460244316394803,2008.0,1004.0
ani1x,ani1x-release_416625,63,spherical_harmonics_ms,0.2788429846987128,0.2934130025096237,0.014570017810910885,1.0522516922082643,-5.225169220826431,2008.0,1004.0
ani1x,ani1x-release_416625,63,conv_weight_nn_ms,0.4924630629830062,0.4797549918293953,-0.01270807115361089,0.9741948744812777,2.580512551872227,10040.0,5020.0
ani1x,ani1x-release_416625,63,conv_message_tp_ms,63.230680068954825,8.438224962446839,-54.79245510650799,0.1334514345448241,86.65485654551759,10040.0,10040.0
ani1x,ani1x-release_416625,63,top_force_output_ms,27.40671200444922,40.36819899920374,12.961486994754523,1.4729311196706247,-47.29311196706247,0.0,0.0
ani1x,ani1x-release_416625,63,model_total_ms,157.65124396421015,117.39854398183525,-40.25269998237491,0.7446724873828903,25.532751261710974,0.0,0.0
iso17,iso17,19,edge_length_norm_ms,0.0220490037463605,0.019092985894531,-0.0029560178518294976,0.8659341761725887,13.406582382741128,340.0,170.0
iso17,iso17,19,radial_basis_ms,0.0394509988836944,0.0376839889213442,-0.0017670099623502064,0.9552100070378564,4.478999296214359,340.0,170.0
iso17,iso17,19,cutoff_ms,0.0833970261737704,0.0816140091046691,-0.0017830170691013059,0.9786201361019022,2.137986389809776,340.0,170.0
iso17,iso17,19,spherical_harmonics_ms,0.3078459994867444,0.2814480103552341,-0.026397989131510313,0.9142493676204261,8.575063237957393,340.0,170.0
iso17,iso17,19,conv_weight_nn_ms,0.4495849134400487,0.4552580649033189,0.005673151463270187,1.0126186428718469,-1.2618642871846886,1700.0,850.0
iso17,iso17,19,conv_message_tp_ms,62.42688500788063,8.006266027223319,-54.42061898065731,0.1282502887371783,87.17497112628216,1700.0,1700.0
iso17,iso17,19,top_force_output_ms,27.43405697401613,40.23855301784352,12.804496043827392,1.4667372403562124,-46.67372403562125,0.0,0.0
iso17,iso17,19,model_total_ms,156.70107200276107,116.34389602113517,-40.3571759816259,0.7424575628881798,25.754243711182024,0.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,edge_length_norm_ms,0.026381982024759,0.0210250145755708,-0.005356967449188198,0.7969459821418731,20.305401785812695,24024.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,radial_basis_ms,0.0440830481238663,0.0484310439787805,0.004347995854914202,1.0986319240606284,-9.863192406062836,24024.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,cutoff_ms,0.0901080202311277,0.0926729990169406,0.0025649787858128964,1.0284655991690164,-2.8465599169016365,24024.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,spherical_harmonics_ms,226.4112390112132,0.2988179912790656,-226.11242101993415,0.0013198019346745697,99.86801980653254,24024.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,conv_weight_nn_ms,1.4121309504844248,0.8713859133422375,-0.5407450371421874,0.6170716058898876,38.29283941101124,120120.0,60060.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,conv_message_tp_ms,96.99206496588886,38.765254081226885,-58.22681088466197,0.39967448981378256,60.032551018621746,120120.0,120120.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,top_force_output_ms,460.3647720068693,311.5959930000827,-148.76877900678664,0.6768458664674568,32.31541335325432,0.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,model_total_ms,856.6564630018547,426.1395999928936,-430.51686300896114,0.4974451467973936,50.25548532026064,0.0,0.0
md22_stachyose,md22_stachyose_10546,87,edge_length_norm_ms,0.0225570402108132,0.0210279831662774,-0.001529057044535799,0.9322137554286571,6.778624457134286,3532.0,1766.0
md22_stachyose,md22_stachyose_10546,87,radial_basis_ms,0.0653860042802989,0.0418630079366266,-0.023522996343672303,0.6402441684181658,35.97558315818342,3532.0,1766.0
md22_stachyose,md22_stachyose_10546,87,cutoff_ms,0.0849220086820423,0.0871779629960656,0.002255954314023298,1.0265650135816953,-2.6565013581695274,3532.0,1766.0
md22_stachyose,md22_stachyose_10546,87,spherical_harmonics_ms,0.3074260312132537,0.3013400128111243,-0.006086018402129356,0.9802033081645333,1.9796691835466729,3532.0,1766.0
md22_stachyose,md22_stachyose_10546,87,conv_weight_nn_ms,0.5520239938050508,0.50551095046103,-0.046513043344020844,0.9157409028121936,8.425909718780645,17660.0,8830.0
md22_stachyose,md22_stachyose_10546,87,conv_message_tp_ms,64.85324999084696,9.079765004571527,-55.773484986275434,0.14000478011283932,85.99952198871607,17660.0,17660.0
md22_stachyose,md22_stachyose_10546,87,top_force_output_ms,42.94010199373588,39.9555719923228,-2.984530001413077,0.9304955073965949,6.950449260340507,0.0,0.0
md22_stachyose,md22_stachyose_10546,87,model_total_ms,175.28031900292262,119.24295302014798,-56.037365982774645,0.6802985851375574,31.970141486244263,0.0,0.0
mptrj,mp-1204603,444,edge_length_norm_ms,0.0286580179817974,0.0224480172619223,-0.006210000719875101,0.7833066919066252,21.669330809337485,27612.0,13806.0
mptrj,mp-1204603,444,radial_basis_ms,0.0500039895996451,0.0466079800389707,-0.003396009560674401,0.93208522784153,6.791477215846998,27612.0,13806.0
mptrj,mp-1204603,444,cutoff_ms,0.1010620035231113,0.0949849491007626,-0.006077054422348696,0.9398680591073086,6.0131940892691365,27612.0,13806.0
mptrj,mp-1204603,444,spherical_harmonics_ms,120.54881401127204,141.58271899214014,21.0339049808681,1.1744845451478378,-17.448454514783784,27612.0,13806.0
mptrj,mp-1204603,444,conv_weight_nn_ms,1.5299750957638023,0.9470570366829634,-0.5829180590808389,0.6190016029052868,38.09983970947132,138060.0,69030.0
mptrj,mp-1204603,444,conv_message_tp_ms,104.0799529873766,44.35514798387885,-59.72480500349775,0.4261641815812358,57.38358184187642,138060.0,138060.0
mptrj,mp-1204603,444,top_force_output_ms,367.10629501612857,488.15992596792057,121.053630951792,1.3297508993858946,-32.97508993858946,0.0,0.0
mptrj,mp-1204603,444,model_total_ms,666.3316540070809,750.1162699772976,83.78461597021669,1.1257401107487028,-12.574011074870285,0.0,0.0
rmd17,rmd17_azobenzene,24,edge_length_norm_ms,0.0222609960474073,0.0196589971892535,-0.0026019988581537992,0.8831139966687677,11.688600333123233,366.0,183.0
rmd17,rmd17_azobenzene,24,radial_basis_ms,0.0423790188506245,0.0412030494771897,-0.001175969373434796,0.9722511420667903,2.774885793320969,366.0,183.0
rmd17,rmd17_azobenzene,24,cutoff_ms,0.0794079969637095,0.0868280185386538,0.007420021574944299,1.093441742124982,-9.344174212498203,366.0,183.0
rmd17,rmd17_azobenzene,24,spherical_harmonics_ms,0.2748179831542074,0.3014130052179098,0.0265950220637024,1.0967732233475393,-9.677322334753935,366.0,183.0
rmd17,rmd17_azobenzene,24,conv_weight_nn_ms,0.4470999119803309,0.4961320082657039,0.04903209628537303,1.1096669781664596,-10.966697816645965,1830.0,915.0
rmd17,rmd17_azobenzene,24,conv_message_tp_ms,62.592808972112834,8.431416004896164,-54.16139296721667,0.1347026302758299,86.52973697241701,1830.0,1830.0
rmd17,rmd17_azobenzene,24,top_force_output_ms,27.649125026073307,41.709351004101336,14.06022597802803,1.508523360676663,-50.8523360676663,0.0,0.0
rmd17,rmd17_azobenzene,24,model_total_ms,156.7290499806404,119.90548699395733,-36.823562986683086,0.765049536182146,23.4950463817854,0.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,edge_length_norm_ms,0.024809967726469,0.0204379903152585,-0.004371977411210499,0.8237814148163454,17.621858518365464,728.0,364.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,radial_basis_ms,0.0401799916289746,0.0408930354751646,0.0007130438461900035,1.0177462417805934,-1.7746241780593364,728.0,364.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,cutoff_ms,0.087098975200206,0.0880389707162976,0.000939995516091599,1.01079226838124,-1.0792268381240033,728.0,364.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,spherical_harmonics_ms,0.2948560286313295,0.2934069489128887,-0.001449079718440771,0.9950854668796594,0.4914533120340625,728.0,364.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,conv_weight_nn_ms,0.4619929241016507,0.4717970150522887,0.009804090950638,1.0212213011047782,-2.1221301104778156,3640.0,1820.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,conv_message_tp_ms,62.16637301258743,7.995367981493473,-54.171005031093955,0.128612424917802,87.1387575082198,3640.0,3640.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,top_force_output_ms,27.090843999758363,39.93675200035796,12.8459080005996,1.4741789514093462,-47.41789514093462,0.0,0.0
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,model_total_ms,156.02211200166494,117.1088680275716,-38.913243974093334,0.7505914804327345,24.94085195672655,0.0,0.0
