dataset,group,natoms,baseline_stable_ms,pair_stable_ms,speedup_baseline_over_pair
qm9_hf,small molecular,29,28.58796447981149,47.14385146507993,0.6063985777866912
iso17,small molecular,19,29.043069458566606,47.231388511136174,0.61491034615082
salex_train_official,periodic medium,132,151.56103752087802,147.3670310806483,1.0284595978454265
oc20_s2ef_train_20m,periodic medium,225,125.32425503013656,118.60258149681613,1.0566739226793378
omat24_1m_official,periodic large,160,232.0935784955509,228.9856020361185,1.013572802970128
mptrj,periodic large,444,424.73339347634465,419.9460480012931,1.011399906006585
