dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
iso17,iso17,spice,19,e3nn_baseline,0,0.02198200672864914,340.0,0.0386012252420187,340.0,0.08158199489116669,340.0,0.00868900679051876,2720.0,0.2852180041372776,340.0,0.0,0.0,0.445634126663208,1700.0,0.06806198507547379,1700.0,0.0,0.0,0.0,0.0,61.18334038183093,1700.0,0.25491206906735897,1700.0,0.051435548812150955,0.0,0.9235909674316645,0.0,60.27972721494734,0.0,2.8805991169065237,0.0,27.281638933345675,0.0,154.62968195788562,0.0,62.28469777852297,0.0
iso17,iso17,spice,19,e3nn_baseline,1,0.024490058422088623,340.0,0.040362123399972916,340.0,0.08084508590400219,340.0,0.008767936378717422,2720.0,0.29260292649269104,340.0,0.0,0.0,0.44252327643334866,1700.0,0.0683153048157692,1700.0,0.0,0.0,0.0,0.0,61.29538873210549,1700.0,0.2639510203152895,1700.0,0.05152379162609577,0.0,0.9431391954421997,0.0,60.2395951282233,0.0,2.7937227860093117,0.0,27.31488016434014,0.0,154.703080188483,0.0,62.40955903194845,0.0
iso17,iso17,spice,19,e3nn_baseline,2,0.023237895220518112,340.0,0.03877095878124237,340.0,0.08368701674044132,340.0,0.008984934538602829,2720.0,0.29435218311846256,340.0,0.0,0.0,0.4466939717531204,1700.0,0.07357983849942684,1700.0,0.0,0.0,0.0,0.0,61.71934516169131,1700.0,0.25601591914892197,1700.0,0.05224929191172123,0.0,0.940654193982482,0.0,60.30389713123441,0.0,2.813840052112937,0.0,27.33473409898579,0.0,155.21935210563242,0.0,62.82365112565458,0.0
iso17,iso17,spice,19,e3nn_baseline,3,0.02179318107664585,340.0,0.03824196755886078,340.0,0.07940898649394512,340.0,0.008802162483334541,2720.0,0.2850450109690428,340.0,0.0,0.0,0.44792331755161285,1700.0,0.06850296631455421,1700.0,0.0,0.0,0.0,0.0,60.95273117534816,1700.0,0.2519299741834402,1700.0,0.0527708325535059,0.0,0.9336608927696943,0.0,60.20604050718248,0.0,2.7902990113943815,0.0,27.286021038889885,0.0,154.25829496234655,0.0,62.06595781259239,0.0
iso17,iso17,spice,19,e3nn_baseline,4,0.02218899317085743,340.0,0.038925791159272194,340.0,0.08276011794805527,340.0,0.01333584077656269,2720.0,0.2801551017910242,340.0,0.0,0.0,0.43945806100964546,1700.0,0.0687639694660902,1700.0,0.0,0.0,0.0,0.0,61.33237318135798,1700.0,0.25151576846838,1700.0,0.05192379467189312,0.0,0.9283367544412613,0.0,60.472296085208654,0.0,2.7944690082222223,0.0,27.397791855037212,0.0,155.02473409287632,0.0,62.440753914415836,0.0
iso17,iso17,spice,19,e3nn_pair_full,0,0.019222963601350784,170.0,0.03897608257830143,170.0,0.08578598499298096,170.0,0.008838949725031853,1360.0,0.2914769574999809,170.0,0.07387902587652206,12070.0,0.4571776371449232,850.0,0.0941429752856493,1700.0,0.08203717879951,1700.0,0.22717122919857502,4250.0,8.09022900648415,1700.0,0.4591490142047405,1700.0,0.04842760972678661,0.0,0.955421943217516,0.0,60.333557426929474,0.0,2.770343329757452,0.0,40.069259935989976,0.0,115.54413195699453,0.0,10.271870763972402,0.0
iso17,iso17,spice,19,e3nn_pair_full,1,0.018747057765722275,170.0,0.03881496377289295,170.0,0.08637993596494198,170.0,0.008773989975452423,1360.0,0.28500892221927643,170.0,0.07768301293253899,12070.0,0.4578095395117998,850.0,0.09374087676405907,1700.0,0.08174125105142593,1700.0,0.22698775865137577,4250.0,7.9806779976934195,1700.0,0.43529411777853966,1700.0,0.04902714863419533,0.0,0.9530510287731886,0.0,60.514748794957995,0.0,2.7948589995503426,0.0,40.11634783819318,0.0,115.65421498380601,0.0,10.153351817280054,0.0
iso17,iso17,spice,19,e3nn_pair_full,2,0.019549857825040817,170.0,0.03822101280093193,170.0,0.08365791290998459,170.0,0.008713919669389725,1360.0,0.2896939404308796,170.0,0.07448112592101097,12070.0,0.4606172442436218,850.0,0.09460351429879665,1700.0,0.07817358709871769,1700.0,0.2276760060340166,4250.0,8.073142962530255,1700.0,0.4435910377651453,1700.0,0.04932796582579613,0.0,0.9574100840836763,0.0,60.2041888050735,0.0,2.7795080095529556,0.0,39.92150002159178,0.0,115.24915206246078,0.0,10.262002004310489,0.0
iso17,iso17,spice,19,e3nn_pair_full,3,0.019110972061753273,170.0,0.037461984902620316,170.0,0.08099083788692951,170.0,0.009014038369059563,1360.0,0.2863779664039612,170.0,0.07298169657588005,12070.0,0.4595750942826271,850.0,0.09453785605728626,1700.0,0.07795565761625767,1700.0,0.22604037076234818,4250.0,8.092377567663789,1700.0,0.4359267186373472,1700.0,0.04835892468690872,0.0,0.9302427060902119,0.0,60.46949862502515,0.0,2.787807723507285,0.0,40.0020950473845,0.0,115.56508601643145,0.0,10.260318173095584,0.0
iso17,iso17,spice,19,e3nn_pair_full,4,0.01911493018269539,170.0,0.03841007128357887,170.0,0.08438108488917351,170.0,0.008969102054834366,1360.0,0.2886229194700718,170.0,0.07404969073832035,12070.0,0.45548914931714535,850.0,0.09403843432664871,1700.0,0.07751374505460262,1700.0,0.2273228019475937,4250.0,8.153759874403477,1700.0,0.450668390840292,1700.0,0.04790211096405983,0.0,0.9395829401910305,0.0,60.3999390732497,0.0,2.7788300067186356,0.0,39.97374093160033,0.0,115.58608594350517,0.0,10.3603380266577,0.0
