dataset,samples,natoms_min,natoms_max,edges_min,edges_max,speedup_median,speedup_mean,speedup_min,speedup_max
mptrj,3,444,444,24168,28508,1.006694910123758,1.15220339320276,1.0062349277554388,1.4436803417290835
md22_double_walled_nanotube,3,370,370,24024,24546,1.0052433917078774,1.0051931878620581,1.0045102994370236,1.0058258724412734
md22_stachyose,3,87,87,3522,3718,0.7562240945851592,0.7642043464094512,0.7471978656342998,0.7891910790088948
ani1x,3,62,63,1684,2086,0.7529287753927061,0.7456431703277789,0.72888044128953,0.7551202943011007
spice_2023,3,89,89,692,772,0.7602771628663912,0.75516727601951,0.7428323766520306,0.7623922885401078
rmd17,3,24,24,366,370,0.7611329951307818,0.7607691497365291,0.7560926430620402,0.7650818110167651
iso17,3,19,19,340,342,0.7611649425331635,0.7612582510835056,0.7605149361710429,0.7620948745463104
