edge_bin,count,speedup_median,speedup_mean,speedup_min,speedup_max
<=1k,9,0.7611329951307818,0.7590648922798482,0.7428323766520306,0.7650818110167651
1k-5k,6,0.7540245348469035,0.7549237583686151,0.72888044128953,0.7891910790088948
5k-15k,0,,,,
>15k,6,1.0060304000983562,1.0786982905324092,1.0045102994370236,1.4436803417290835
