dataset,natoms,baseline_pipeline_ms,pair_pipeline_ms,pipeline_speedup,baseline_model_ms,pair_model_ms,model_speedup,graph_build_delta_ms,pair_metadata_delta_ms,device_transfer_delta_ms,model_delta_ms
mptrj,444,627.3272429825738,428.9453719975427,1.4624874959279608,622.0380459562875,421.5429649921134,1.475621935638103,-0.07088098209351301,1.4222459867596624,-0.053621013648808,-200.49508096417412
md22_double_walled_nanotube,370,373.7711950088851,371.8750689877197,1.0050988253295035,370.0556289986707,366.72635696595535,1.0090783549354334,0.6061429739929736,1.1050120228901505,-0.04686799366027117,-3.32927203271538
spice_2023,89,60.49246597103775,79.20064503559843,0.7637875416778249,58.47100599203259,76.30105799762532,0.7663197277533471,0.32455998007208064,0.349478970747441,0.0616059987805784,17.830052005592734
md22_stachyose,87,61.64462800370529,81.21741499053314,0.7590075110232295,60.37896603811532,79.05060797929764,0.7638014125574824,0.31852303072810173,0.4455729504115879,0.07743900641798969,18.671641941182315
ani1x,63,58.602968987543136,78.3551000058651,0.7479151833531773,57.58606799645349,76.46272995043546,0.753125974364005,0.5967459874227643,0.369472021702677,0.06713595939800149,18.876661953981973
rmd17,24,58.90896997880191,77.25814904551953,0.7624952280968249,57.879882981069386,75.70978999137878,0.7644966785360292,0.3874769899994135,0.20085700089111921,0.056735007092356696,17.829907010309398
iso17,19,58.9613449992612,77.23744999384508,0.7633776750004011,57.95842100633308,75.52531501278281,0.7674038962501978,0.457312969956547,0.1977890497073532,0.05457800580188629,17.56689400644973
