dataset,sample_id,modal,natoms,case,repeat_idx,edge_length_norm_ms,edge_length_norm_ms_load,radial_basis_ms,radial_basis_ms_load,cutoff_ms,cutoff_ms_load,radial_combine_ms,radial_combine_ms_load,spherical_harmonics_ms,spherical_harmonics_ms_load,pair_expand_ms,pair_expand_ms_load,conv_weight_nn_ms,conv_weight_nn_ms_load,conv_src_gather_ms,conv_src_gather_ms_load,conv_filter_gather_ms,conv_filter_gather_ms_load,pair_indexing_ms,pair_indexing_ms_load,conv_message_tp_ms,conv_message_tp_ms_load,conv_aggregation_ms,conv_aggregation_ms_load,conv_denominator_ms,conv_denominator_ms_load,top_input_embedding_ms,top_input_embedding_ms_load,top_interaction_other_ms,top_interaction_other_ms_load,top_readout_ms,top_readout_ms_load,top_force_output_ms,top_force_output_ms_load,model_total_ms,model_total_ms_load,other_ms,other_ms_load
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0.024968991056084633,19152.0,0.042523955926299095,19152.0,0.08961488492786884,19152.0,0.009065959602594376,153216.0,0.3103839699178934,19152.0,0.0,0.0,1.1753439903259277,95760.0,0.4882349167019129,95760.0,0.0,0.0,0.0,0.0,88.1590296048671,95760.0,3.680278081446886,95760.0,0.10615726932883263,0.0,0.988418236374855,0.0,60.7841182500124,0.0,2.809524070471525,0.0,252.15571699663997,0.0,411.68155102059245,0.0,93.8979194033891,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,1,0.025406014174222946,19152.0,0.043652020394802094,19152.0,0.09288801811635494,19152.0,0.009858980774879456,153216.0,0.30910689383745193,19152.0,0.0,0.0,1.1787812691181898,95760.0,0.4916179459542036,95760.0,0.0,0.0,0.0,0.0,88.16866716369987,95760.0,3.696615807712078,95760.0,0.10713096708059311,0.0,1.0039256885647774,0.0,61.13719870336354,0.0,2.785749966278672,0.0,252.0804051309824,0.0,412.00881195254624,0.0,93.9328249078244,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,2,0.0257040373980999,19152.0,0.04260009154677391,19152.0,0.08948403410613537,19152.0,0.009182142093777657,153216.0,0.3034269902855158,19152.0,0.0,0.0,1.1836611665785313,95760.0,0.48978207632899284,95760.0,0.0,0.0,0.0,0.0,88.20012304931879,95760.0,3.685405943542719,95760.0,0.10625133290886879,0.0,0.9782551787793636,0.0,60.91339630074799,0.0,2.7896040119230747,0.0,252.07860209047794,0.0,411.75041906535625,0.0,93.95008790306747,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,3,0.025758054107427597,19152.0,0.04300312139093876,19152.0,0.08929590694606304,19152.0,0.009255949407815933,153216.0,0.307698966935277,19152.0,0.0,0.0,1.1803030502051115,95760.0,0.48566097393631935,95760.0,0.0,0.0,0.0,0.0,88.14440993592143,95760.0,3.6835873033851385,95760.0,0.10643783025443554,0.0,0.9987649973481894,0.0,61.14335125312209,0.0,2.770884893834591,0.0,252.07143416628242,0.0,411.92873008549213,0.0,93.8894092105329,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,4,0.025104032829403877,19152.0,0.04183710552752018,19152.0,0.08921697735786438,19152.0,0.009395880624651909,153216.0,0.31012482941150665,19152.0,0.0,0.0,1.1790029238909483,95760.0,0.4862244240939617,95760.0,0.0,0.0,0.0,0.0,88.12334691174328,95760.0,3.676815889775753,95760.0,0.1056829933077097,0.0,1.006496138870716,0.0,61.088353395462036,0.0,2.795022912323475,0.0,252.07158806733787,0.0,411.8634460028261,0.0,93.85937196202576,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,0,0.019857892766594887,9576.0,0.041176797822117805,9576.0,0.08893990889191628,9576.0,0.008878065273165703,76608.0,0.3034300170838833,9576.0,0.07996195927262306,679896.0,0.7895268499851227,47880.0,0.4537934437394142,95760.0,0.0989262480288744,95760.0,0.9515651036053896,239400.0,31.304087257012725,95760.0,4.305344074964523,95760.0,0.0759270042181015,0.0,1.0013182181864977,0.0,61.06233666650951,0.0,2.7782050892710686,0.0,246.42630014568567,0.0,351.36199882254004,0.0,38.90386875718832,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,1,0.03184494562447071,9576.0,0.06873416714370251,9576.0,0.1560619566589594,9576.0,0.01629791222512722,76608.0,0.472439918667078,9576.0,0.13161194510757923,679896.0,0.794603955000639,47880.0,0.45371404848992825,95760.0,0.09883986786007881,95760.0,0.9584289509803057,239400.0,31.384223140776157,95760.0,4.30767796933651,95760.0,0.07803225889801979,0.0,1.7068616580218077,0.0,63.2940074428916,0.0,2.8073189314454794,0.0,246.71027204021811,0.0,355.17822788096964,0.0,39.01367401704192,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,2,0.020939158275723457,9576.0,0.04258519038558006,9576.0,0.08952710777521133,9576.0,0.009282957762479782,76608.0,0.3113711718469858,9576.0,0.08156895637512207,679896.0,0.7819172460585833,47880.0,0.45389216393232346,95760.0,0.09551830589771271,95760.0,0.9583313949406147,239400.0,31.30271495319903,95760.0,4.296987317502499,95760.0,0.07705320604145527,0.0,0.996708869934082,0.0,61.00493879057467,0.0,2.7696518227458,0.0,246.55227805487812,0.0,351.4049369841814,0.0,38.88556896708906,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,3,0.020612962543964386,9576.0,0.04243198782205582,9576.0,0.08961698040366173,9576.0,0.008852919563651085,76608.0,0.30689407140016556,9576.0,0.08164183236658573,679896.0,0.7823349442332983,47880.0,0.45476388186216354,95760.0,0.09613204747438431,95760.0,0.9543155319988728,239400.0,31.331890961155295,95760.0,4.2986273765563965,95760.0,0.07670442573726177,0.0,1.0059117339551449,0.0,61.22950394637883,0.0,2.7728970162570477,0.0,246.5455480851233,0.0,351.69249889440835,0.0,38.942509796470404,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,4,0.020761042833328247,9576.0,0.04740990698337555,9576.0,0.08887005969882011,9576.0,0.009118113666772842,76608.0,0.30851690098643303,9576.0,0.08137407712638378,679896.0,0.7913440931588411,47880.0,0.4524434916675091,95760.0,0.09712763130664825,95760.0,0.9526698850095272,239400.0,31.316201202571392,95760.0,4.291432444006205,95760.0,0.07642037235200405,0.0,0.9982886258512735,0.0,61.29071721807122,0.0,2.790016122162342,0.0,246.46594119258225,0.0,351.65525507181883,0.0,38.90985646285117,0.0
