dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
qm9_hf,0_3057,qcml,29,e3nn_baseline,baseline,3,30,cuda,29.592795150044065,0.16478207315168972,29.59681849461049,29.90840576821938,112.78713354840875,40.15909074560321,0.0,5.21540641784668e-07
qm9_hf,0_3057,qcml,29,e3nn_pair_full,full,3,30,cuda,48.499889221663274,0.28805515628932343,48.4388543991372,48.99012399837375,132.74509001833698,51.012607158681774,0.0,9.08970832824707e-07
